# group	order	row-major I(i,j) = index of g_j * g_i^-1, 1-based
Z3xZ11	33	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 11 1 2 3 4 5 6 7 8 9 10 22 12 13 14 15 16 17 18 19 20 21 33 23 24 25 26 27 28 29 30 31 32 10 11 1 2 3 4 5 6 7 8 9 21 22 12 13 14 15 16 17 18 19 20 32 33 23 24 25 26 27 28 29 30 31 9 10 11 1 2 3 4 5 6 7 8 20 21 22 12 13 14 15 16 17 18 19 31 32 33 23 24 25 26 27 28 29 30 8 9 10 11 1 2 3 4 5 6 7 19 20 21 22 12 13 14 15 16 17 18 30 31 32 33 23 24 25 26 27 28 29 7 8 9 10 11 1 2 3 4 5 6 18 19 20 21 22 12 13 14 15 16 17 29 30 31 32 33 23 24 25 26 27 28 6 7 8 9 10 11 1 2 3 4 5 17 18 19 20 21 22 12 13 14 15 16 28 29 30 31 32 33 23 24 25 26 27 5 6 7 8 9 10 11 1 2 3 4 16 17 18 19 20 21 22 12 13 14 15 27 28 29 30 31 32 33 23 24 25 26 4 5 6 7 8 9 10 11 1 2 3 15 16 17 18 19 20 21 22 12 13 14 26 27 28 29 30 31 32 33 23 24 25 3 4 5 6 7 8 9 10 11 1 2 14 15 16 17 18 19 20 21 22 12 13 25 26 27 28 29 30 31 32 33 23 24 2 3 4 5 6 7 8 9 10 11 1 13 14 15 16 17 18 19 20 21 22 12 24 25 26 27 28 29 30 31 32 33 23 23 24 25 26 27 28 29 30 31 32 33 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 33 23 24 25 26 27 28 29 30 31 32 11 1 2 3 4 5 6 7 8 9 10 22 12 13 14 15 16 17 18 19 20 21 32 33 23 24 25 26 27 28 29 30 31 10 11 1 2 3 4 5 6 7 8 9 21 22 12 13 14 15 16 17 18 19 20 31 32 33 23 24 25 26 27 28 29 30 9 10 11 1 2 3 4 5 6 7 8 20 21 22 12 13 14 15 16 17 18 19 30 31 32 33 23 24 25 26 27 28 29 8 9 10 11 1 2 3 4 5 6 7 19 20 21 22 12 13 14 15 16 17 18 29 30 31 32 33 23 24 25 26 27 28 7 8 9 10 11 1 2 3 4 5 6 18 19 20 21 22 12 13 14 15 16 17 28 29 30 31 32 33 23 24 25 26 27 6 7 8 9 10 11 1 2 3 4 5 17 18 19 20 21 22 12 13 14 15 16 27 28 29 30 31 32 33 23 24 25 26 5 6 7 8 9 10 11 1 2 3 4 16 17 18 19 20 21 22 12 13 14 15 26 27 28 29 30 31 32 33 23 24 25 4 5 6 7 8 9 10 11 1 2 3 15 16 17 18 19 20 21 22 12 13 14 25 26 27 28 29 30 31 32 33 23 24 3 4 5 6 7 8 9 10 11 1 2 14 15 16 17 18 19 20 21 22 12 13 24 25 26 27 28 29 30 31 32 33 23 2 3 4 5 6 7 8 9 10 11 1 13 14 15 16 17 18 19 20 21 22 12 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 1 2 3 4 5 6 7 8 9 10 11 22 12 13 14 15 16 17 18 19 20 21 33 23 24 25 26 27 28 29 30 31 32 11 1 2 3 4 5 6 7 8 9 10 21 22 12 13 14 15 16 17 18 19 20 32 33 23 24 25 26 27 28 29 30 31 10 11 1 2 3 4 5 6 7 8 9 20 21 22 12 13 14 15 16 17 18 19 31 32 33 23 24 25 26 27 28 29 30 9 10 11 1 2 3 4 5 6 7 8 19 20 21 22 12 13 14 15 16 17 18 30 31 32 33 23 24 25 26 27 28 29 8 9 10 11 1 2 3 4 5 6 7 18 19 20 21 22 12 13 14 15 16 17 29 30 31 32 33 23 24 25 26 27 28 7 8 9 10 11 1 2 3 4 5 6 17 18 19 20 21 22 12 13 14 15 16 28 29 30 31 32 33 23 24 25 26 27 6 7 8 9 10 11 1 2 3 4 5 16 17 18 19 20 21 22 12 13 14 15 27 28 29 30 31 32 33 23 24 25 26 5 6 7 8 9 10 11 1 2 3 4 15 16 17 18 19 20 21 22 12 13 14 26 27 28 29 30 31 32 33 23 24 25 4 5 6 7 8 9 10 11 1 2 3 14 15 16 17 18 19 20 21 22 12 13 25 26 27 28 29 30 31 32 33 23 24 3 4 5 6 7 8 9 10 11 1 2 13 14 15 16 17 18 19 20 21 22 12 24 25 26 27 28 29 30 31 32 33 23 2 3 4 5 6 7 8 9 10 11 1
Z3xZ3xZ3	27	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 27 25 26 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 26 27 25 7 8 9 1 2 3 4 5 6 16 17 18 10 11 12 13 14 15 25 26 27 19 20 21 22 23 24 9 7 8 3 1 2 6 4 5 18 16 17 12 10 11 15 13 14 27 25 26 21 19 20 24 22 23 8 9 7 2 3 1 5 6 4 17 18 16 11 12 10 14 15 13 26 27 25 20 21 19 23 24 22 4 5 6 7 8 9 1 2 3 13 14 15 16 17 18 10 11 12 22 23 24 25 26 27 19 20 21 6 4 5 9 7 8 3 1 2 15 13 14 18 16 17 12 10 11 24 22 23 27 25 26 21 19 20 5 6 4 8 9 7 2 3 1 14 15 13 17 18 16 11 12 10 23 24 22 26 27 25 20 21 19 19 20 21 22 23 24 25 26 27 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 21 19 20 24 22 23 27 25 26 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 20 21 19 23 24 22 26 27 25 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 25 26 27 19 20 21 22 23 24 7 8 9 1 2 3 4 5 6 16 17 18 10 11 12 13 14 15 27 25 26 21 19 20 24 22 23 9 7 8 3 1 2 6 4 5 18 16 17 12 10 11 15 13 14 26 27 25 20 21 19 23 24 22 8 9 7 2 3 1 5 6 4 17 18 16 11 12 10 14 15 13 22 23 24 25 26 27 19 20 21 4 5 6 7 8 9 1 2 3 13 14 15 16 17 18 10 11 12 24 22 23 27 25 26 21 19 20 6 4 5 9 7 8 3 1 2 15 13 14 18 16 17 12 10 11 23 24 22 26 27 25 20 21 19 5 6 4 8 9 7 2 3 1 14 15 13 17 18 16 11 12 10 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 1 2 3 4 5 6 7 8 9 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 27 25 26 3 1 2 6 4 5 9 7 8 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 26 27 25 2 3 1 5 6 4 8 9 7 16 17 18 10 11 12 13 14 15 25 26 27 19 20 21 22 23 24 7 8 9 1 2 3 4 5 6 18 16 17 12 10 11 15 13 14 27 25 26 21 19 20 24 22 23 9 7 8 3 1 2 6 4 5 17 18 16 11 12 10 14 15 13 26 27 25 20 21 19 23 24 22 8 9 7 2 3 1 5 6 4 13 14 15 16 17 18 10 11 12 22 23 24 25 26 27 19 20 21 4 5 6 7 8 9 1 2 3 15 13 14 18 16 17 12 10 11 24 22 23 27 25 26 21 19 20 6 4 5 9 7 8 3 1 2 14 15 13 17 18 16 11 12 10 23 24 22 26 27 25 20 21 19 5 6 4 8 9 7 2 3 1
Z3xZ4	12	1 2 3 4 5 6 7 8 9 10 11 12 3 1 2 6 4 5 9 7 8 12 10 11 2 3 1 5 6 4 8 9 7 11 12 10 4 5 6 1 2 3 10 11 12 7 8 9 6 4 5 3 1 2 12 10 11 9 7 8 5 6 4 2 3 1 11 12 10 8 9 7 10 11 12 7 8 9 1 2 3 4 5 6 12 10 11 9 7 8 3 1 2 6 4 5 11 12 10 8 9 7 2 3 1 5 6 4 7 8 9 10 11 12 4 5 6 1 2 3 9 7 8 12 10 11 6 4 5 3 1 2 8 9 7 11 12 10 5 6 4 2 3 1
Z3xZ5	15	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 5 1 2 3 4 10 6 7 8 9 15 11 12 13 14 4 5 1 2 3 9 10 6 7 8 14 15 11 12 13 3 4 5 1 2 8 9 10 6 7 13 14 15 11 12 2 3 4 5 1 7 8 9 10 6 12 13 14 15 11 11 12 13 14 15 1 2 3 4 5 6 7 8 9 10 15 11 12 13 14 5 1 2 3 4 10 6 7 8 9 14 15 11 12 13 4 5 1 2 3 9 10 6 7 8 13 14 15 11 12 3 4 5 1 2 8 9 10 6 7 12 13 14 15 11 2 3 4 5 1 7 8 9 10 6 6 7 8 9 10 11 12 13 14 15 1 2 3 4 5 10 6 7 8 9 15 11 12 13 14 5 1 2 3 4 9 10 6 7 8 14 15 11 12 13 4 5 1 2 3 8 9 10 6 7 13 14 15 11 12 3 4 5 1 2 7 8 9 10 6 12 13 14 15 11 2 3 4 5 1
Z3xZ7	21	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 7 1 2 3 4 5 6 14 8 9 10 11 12 13 21 15 16 17 18 19 20 6 7 1 2 3 4 5 13 14 8 9 10 11 12 20 21 15 16 17 18 19 5 6 7 1 2 3 4 12 13 14 8 9 10 11 19 20 21 15 16 17 18 4 5 6 7 1 2 3 11 12 13 14 8 9 10 18 19 20 21 15 16 17 3 4 5 6 7 1 2 10 11 12 13 14 8 9 17 18 19 20 21 15 16 2 3 4 5 6 7 1 9 10 11 12 13 14 8 16 17 18 19 20 21 15 15 16 17 18 19 20 21 1 2 3 4 5 6 7 8 9 10 11 12 13 14 21 15 16 17 18 19 20 7 1 2 3 4 5 6 14 8 9 10 11 12 13 20 21 15 16 17 18 19 6 7 1 2 3 4 5 13 14 8 9 10 11 12 19 20 21 15 16 17 18 5 6 7 1 2 3 4 12 13 14 8 9 10 11 18 19 20 21 15 16 17 4 5 6 7 1 2 3 11 12 13 14 8 9 10 17 18 19 20 21 15 16 3 4 5 6 7 1 2 10 11 12 13 14 8 9 16 17 18 19 20 21 15 2 3 4 5 6 7 1 9 10 11 12 13 14 8 8 9 10 11 12 13 14 15 16 17 18 19 20 21 1 2 3 4 5 6 7 14 8 9 10 11 12 13 21 15 16 17 18 19 20 7 1 2 3 4 5 6 13 14 8 9 10 11 12 20 21 15 16 17 18 19 6 7 1 2 3 4 5 12 13 14 8 9 10 11 19 20 21 15 16 17 18 5 6 7 1 2 3 4 11 12 13 14 8 9 10 18 19 20 21 15 16 17 4 5 6 7 1 2 3 10 11 12 13 14 8 9 17 18 19 20 21 15 16 3 4 5 6 7 1 2 9 10 11 12 13 14 8 16 17 18 19 20 21 15 2 3 4 5 6 7 1
Z3xZ8	24	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 4 5 6 1 2 3 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 6 4 5 3 1 2 12 10 11 9 7 8 18 16 17 15 13 14 24 22 23 21 19 20 5 6 4 2 3 1 11 12 10 8 9 7 17 18 16 14 15 13 23 24 22 20 21 19 10 11 12 7 8 9 1 2 3 4 5 6 22 23 24 19 20 21 13 14 15 16 17 18 12 10 11 9 7 8 3 1 2 6 4 5 24 22 23 21 19 20 15 13 14 18 16 17 11 12 10 8 9 7 2 3 1 5 6 4 23 24 22 20 21 19 14 15 13 17 18 16 7 8 9 10 11 12 4 5 6 1 2 3 19 20 21 22 23 24 16 17 18 13 14 15 9 7 8 12 10 11 6 4 5 3 1 2 21 19 20 24 22 23 18 16 17 15 13 14 8 9 7 11 12 10 5 6 4 2 3 1 20 21 19 23 24 22 17 18 16 14 15 13 22 23 24 19 20 21 13 14 15 16 17 18 1 2 3 4 5 6 7 8 9 10 11 12 24 22 23 21 19 20 15 13 14 18 16 17 3 1 2 6 4 5 9 7 8 12 10 11 23 24 22 20 21 19 14 15 13 17 18 16 2 3 1 5 6 4 8 9 7 11 12 10 19 20 21 22 23 24 16 17 18 13 14 15 4 5 6 1 2 3 10 11 12 7 8 9 21 19 20 24 22 23 18 16 17 15 13 14 6 4 5 3 1 2 12 10 11 9 7 8 20 21 19 23 24 22 17 18 16 14 15 13 5 6 4 2 3 1 11 12 10 8 9 7 16 17 18 13 14 15 22 23 24 19 20 21 10 11 12 7 8 9 1 2 3 4 5 6 18 16 17 15 13 14 24 22 23 21 19 20 12 10 11 9 7 8 3 1 2 6 4 5 17 18 16 14 15 13 23 24 22 20 21 19 11 12 10 8 9 7 2 3 1 5 6 4 13 14 15 16 17 18 19 20 21 22 23 24 7 8 9 10 11 12 4 5 6 1 2 3 15 13 14 18 16 17 21 19 20 24 22 23 9 7 8 12 10 11 6 4 5 3 1 2 14 15 13 17 18 16 20 21 19 23 24 22 8 9 7 11 12 10 5 6 4 2 3 1
Z3xZ9	27	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 27 25 26 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 26 27 25 7 8 9 1 2 3 4 5 6 16 17 18 10 11 12 13 14 15 25 26 27 19 20 21 22 23 24 9 7 8 3 1 2 6 4 5 18 16 17 12 10 11 15 13 14 27 25 26 21 19 20 24 22 23 8 9 7 2 3 1 5 6 4 17 18 16 11 12 10 14 15 13 26 27 25 20 21 19 23 24 22 4 5 6 7 8 9 1 2 3 13 14 15 16 17 18 10 11 12 22 23 24 25 26 27 19 20 21 6 4 5 9 7 8 3 1 2 15 13 14 18 16 17 12 10 11 24 22 23 27 25 26 21 19 20 5 6 4 8 9 7 2 3 1 14 15 13 17 18 16 11 12 10 23 24 22 26 27 25 20 21 19 21 19 20 24 22 23 27 25 26 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 19 23 24 22 26 27 25 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 19 20 21 22 23 24 25 26 27 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 27 25 26 21 19 20 24 22 23 7 8 9 1 2 3 4 5 6 16 17 18 10 11 12 13 14 15 26 27 25 20 21 19 23 24 22 9 7 8 3 1 2 6 4 5 18 16 17 12 10 11 15 13 14 25 26 27 19 20 21 22 23 24 8 9 7 2 3 1 5 6 4 17 18 16 11 12 10 14 15 13 24 22 23 27 25 26 21 19 20 4 5 6 7 8 9 1 2 3 13 14 15 16 17 18 10 11 12 23 24 22 26 27 25 20 21 19 6 4 5 9 7 8 3 1 2 15 13 14 18 16 17 12 10 11 22 23 24 25 26 27 19 20 21 5 6 4 8 9 7 2 3 1 14 15 13 17 18 16 11 12 10 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 27 25 26 1 2 3 4 5 6 7 8 9 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 26 27 25 3 1 2 6 4 5 9 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 2 3 1 5 6 4 8 9 7 18 16 17 12 10 11 15 13 14 27 25 26 21 19 20 24 22 23 7 8 9 1 2 3 4 5 6 17 18 16 11 12 10 14 15 13 26 27 25 20 21 19 23 24 22 9 7 8 3 1 2 6 4 5 16 17 18 10 11 12 13 14 15 25 26 27 19 20 21 22 23 24 8 9 7 2 3 1 5 6 4 15 13 14 18 16 17 12 10 11 24 22 23 27 25 26 21 19 20 4 5 6 7 8 9 1 2 3 14 15 13 17 18 16 11 12 10 23 24 22 26 27 25 20 21 19 6 4 5 9 7 8 3 1 2 13 14 15 16 17 18 10 11 12 22 23 24 25 26 27 19 20 21 5 6 4 8 9 7 2 3 1
Z4sZ4	16	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 6 5 8 7 1 2 3 4 13 14 15 16 10 9 12 11 5 6 7 8 2 1 4 3 14 13 16 15 9 10 11 12 8 7 6 5 3 4 1 2 15 16 13 14 12 11 10 9 7 8 5 6 4 3 2 1 16 15 14 13 11 12 9 10 11 12 9 10 15 16 13 14 1 2 3 4 5 6 7 8 12 11 10 9 16 15 14 13 2 1 4 3 6 5 8 7 9 10 11 12 13 14 15 16 3 4 1 2 7 8 5 6 10 9 12 11 14 13 16 15 4 3 2 1 8 7 6 5 15 16 13 14 12 11 10 9 6 5 8 7 1 2 3 4 16 15 14 13 11 12 9 10 5 6 7 8 2 1 4 3 13 14 15 16 10 9 12 11 8 7 6 5 3 4 1 2 14 13 16 15 9 10 11 12 7 8 5 6 4 3 2 1
Z4sZ6	24	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 2 3 1 5 6 4 8 9 7 11 12 10 14 15 13 17 18 16 20 21 19 23 24 22 4 5 6 1 2 3 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 6 4 5 3 1 2 12 10 11 9 7 8 18 16 17 15 13 14 24 22 23 21 19 20 5 6 4 2 3 1 11 12 10 8 9 7 17 18 16 14 15 13 23 24 22 20 21 19 7 8 9 10 11 12 1 2 3 4 5 6 22 23 24 19 20 21 16 17 18 13 14 15 9 7 8 12 10 11 3 1 2 6 4 5 24 22 23 21 19 20 18 16 17 15 13 14 8 9 7 11 12 10 2 3 1 5 6 4 23 24 22 20 21 19 17 18 16 14 15 13 10 11 12 7 8 9 4 5 6 1 2 3 19 20 21 22 23 24 13 14 15 16 17 18 12 10 11 9 7 8 6 4 5 3 1 2 21 19 20 24 22 23 15 13 14 18 16 17 11 12 10 8 9 7 5 6 4 2 3 1 20 21 19 23 24 22 14 15 13 17 18 16 13 14 15 16 17 18 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 15 13 14 18 16 17 21 19 20 24 22 23 3 1 2 6 4 5 9 7 8 12 10 11 14 15 13 17 18 16 20 21 19 23 24 22 2 3 1 5 6 4 8 9 7 11 12 10 16 17 18 13 14 15 22 23 24 19 20 21 4 5 6 1 2 3 10 11 12 7 8 9 18 16 17 15 13 14 24 22 23 21 19 20 6 4 5 3 1 2 12 10 11 9 7 8 17 18 16 14 15 13 23 24 22 20 21 19 5 6 4 2 3 1 11 12 10 8 9 7 22 23 24 19 20 21 16 17 18 13 14 15 7 8 9 10 11 12 1 2 3 4 5 6 24 22 23 21 19 20 18 16 17 15 13 14 9 7 8 12 10 11 3 1 2 6 4 5 23 24 22 20 21 19 17 18 16 14 15 13 8 9 7 11 12 10 2 3 1 5 6 4 19 20 21 22 23 24 13 14 15 16 17 18 10 11 12 7 8 9 4 5 6 1 2 3 21 19 20 24 22 23 15 13 14 18 16 17 12 10 11 9 7 8 6 4 5 3 1 2 20 21 19 23 24 22 14 15 13 17 18 16 11 12 10 8 9 7 5 6 4 2 3 1
Z4sZ8	32	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 6 5 8 7 1 2 3 4 14 13 16 15 9 10 11 12 22 21 24 23 17 18 19 20 30 29 32 31 25 26 27 28 5 6 7 8 2 1 4 3 13 14 15 16 10 9 12 11 21 22 23 24 18 17 20 19 29 30 31 32 26 25 28 27 8 7 6 5 3 4 1 2 16 15 14 13 11 12 9 10 24 23 22 21 19 20 17 18 32 31 30 29 27 28 25 26 7 8 5 6 4 3 2 1 15 16 13 14 12 11 10 9 23 24 21 22 20 19 18 17 31 32 29 30 28 27 26 25 11 12 9 10 15 16 13 14 1 2 3 4 5 6 7 8 25 26 27 28 29 30 31 32 19 20 17 18 23 24 21 22 12 11 10 9 16 15 14 13 2 1 4 3 6 5 8 7 26 25 28 27 30 29 32 31 20 19 18 17 24 23 22 21 9 10 11 12 13 14 15 16 3 4 1 2 7 8 5 6 27 28 25 26 31 32 29 30 17 18 19 20 21 22 23 24 10 9 12 11 14 13 16 15 4 3 2 1 8 7 6 5 28 27 26 25 32 31 30 29 18 17 20 19 22 21 24 23 16 15 14 13 11 12 9 10 6 5 8 7 1 2 3 4 30 29 32 31 25 26 27 28 24 23 22 21 19 20 17 18 15 16 13 14 12 11 10 9 5 6 7 8 2 1 4 3 29 30 31 32 26 25 28 27 23 24 21 22 20 19 18 17 14 13 16 15 9 10 11 12 8 7 6 5 3 4 1 2 32 31 30 29 27 28 25 26 22 21 24 23 17 18 19 20 13 14 15 16 10 9 12 11 7 8 5 6 4 3 2 1 31 32 29 30 28 27 26 25 21 22 23 24 18 17 20 19 22 21 24 23 17 18 19 20 30 29 32 31 25 26 27 28 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 21 22 23 24 18 17 20 19 29 30 31 32 26 25 28 27 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 24 23 22 21 19 20 17 18 32 31 30 29 27 28 25 26 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 23 24 21 22 20 19 18 17 31 32 29 30 28 27 26 25 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 6 5 8 7 1 2 3 4 14 13 16 15 9 10 11 12 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 5 6 7 8 2 1 4 3 13 14 15 16 10 9 12 11 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 8 7 6 5 3 4 1 2 16 15 14 13 11 12 9 10 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 7 8 5 6 4 3 2 1 15 16 13 14 12 11 10 9 30 29 32 31 25 26 27 28 24 23 22 21 19 20 17 18 11 12 9 10 15 16 13 14 1 2 3 4 5 6 7 8 29 30 31 32 26 25 28 27 23 24 21 22 20 19 18 17 12 11 10 9 16 15 14 13 2 1 4 3 6 5 8 7 32 31 30 29 27 28 25 26 22 21 24 23 17 18 19 20 9 10 11 12 13 14 15 16 3 4 1 2 7 8 5 6 31 32 29 30 28 27 26 25 21 22 23 24 18 17 20 19 10 9 12 11 14 13 16 15 4 3 2 1 8 7 6 5 26 25 28 27 30 29 32 31 20 19 18 17 24 23 22 21 16 15 14 13 11 12 9 10 6 5 8 7 1 2 3 4 25 26 27 28 29 30 31 32 19 20 17 18 23 24 21 22 15 16 13 14 12 11 10 9 5 6 7 8 2 1 4 3 28 27 26 25 32 31 30 29 18 17 20 19 22 21 24 23 14 13 16 15 9 10 11 12 8 7 6 5 3 4 1 2 27 28 25 26 31 32 29 30 17 18 19 20 21 22 23 24 13 14 15 16 10 9 12 11 7 8 5 6 4 3 2 1
Z4xD4	32	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 23 24 21 22 19 20 17 18 31 32 29 30 27 28 25 26 6 5 8 7 2 1 4 3 14 13 16 15 10 9 12 11 24 23 22 21 20 19 18 17 32 31 30 29 28 27 26 25 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 8 7 6 5 4 3 2 1 16 15 14 13 12 11 10 9 22 21 24 23 18 17 20 19 30 29 32 31 26 25 28 27 10 9 12 11 14 13 16 15 1 2 3 4 5 6 7 8 26 25 28 27 30 29 32 31 17 18 19 20 21 22 23 24 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 25 26 27 28 29 30 31 32 18 17 20 19 22 21 24 23 12 11 10 9 16 15 14 13 3 4 1 2 7 8 5 6 28 27 26 25 32 31 30 29 19 20 17 18 23 24 21 22 11 12 9 10 15 16 13 14 4 3 2 1 8 7 6 5 27 28 25 26 31 32 29 30 20 19 18 17 24 23 22 21 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 32 31 30 29 28 27 26 25 23 24 21 22 19 20 17 18 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 31 32 29 30 27 28 25 26 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 30 29 32 31 26 25 28 27 21 22 23 24 17 18 19 20 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1 29 30 31 32 25 26 27 28 22 21 24 23 18 17 20 19 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 23 24 21 22 19 20 17 18 31 32 29 30 27 28 25 26 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 24 23 22 21 20 19 18 17 32 31 30 29 28 27 26 25 6 5 8 7 2 1 4 3 14 13 16 15 10 9 12 11 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 22 21 24 23 18 17 20 19 30 29 32 31 26 25 28 27 8 7 6 5 4 3 2 1 16 15 14 13 12 11 10 9 26 25 28 27 30 29 32 31 17 18 19 20 21 22 23 24 10 9 12 11 14 13 16 15 1 2 3 4 5 6 7 8 25 26 27 28 29 30 31 32 18 17 20 19 22 21 24 23 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 28 27 26 25 32 31 30 29 19 20 17 18 23 24 21 22 12 11 10 9 16 15 14 13 3 4 1 2 7 8 5 6 27 28 25 26 31 32 29 30 20 19 18 17 24 23 22 21 11 12 9 10 15 16 13 14 4 3 2 1 8 7 6 5 32 31 30 29 28 27 26 25 23 24 21 22 19 20 17 18 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 31 32 29 30 27 28 25 26 24 23 22 21 20 19 18 17 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 30 29 32 31 26 25 28 27 21 22 23 24 17 18 19 20 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 29 30 31 32 25 26 27 28 22 21 24 23 18 17 20 19 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1
