# Created by Octave 5.1.0, Fri Sep 17 15:39:02 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2010804158176348e-13


# name: H
# type: complex matrix
# rows: 34
# columns: 34
 (0.99999999999999989,0) (0.3168595977058456,-0.94847245365465915) (0.77144194440243452,-0.63629971429868726) (-0.68410489266691799,0.72938364104851172) (0.30580791344566149,0.95209323076787544) (-0.87685044733713113,-0.48076324007215165) (0.97840953947891607,0.20667552602244804) (0.62948731471207342,0.77701075965303279) (0.79294296127460784,-0.60929587243395633) (-0.54848568890798965,-0.83615994227368251) (-0.72412174564070242,0.68967216667795272) (-0.73467198591865401,0.6784224886502076) (-0.64104164168977606,-0.76750610005372355) (0.73243345023788731,-0.68083863064064176) (0.99006010014451096,-0.14064493628226182) (0.13593268903387315,0.99071807495978415) (0.9828740263982102,-0.18427872430579167) (-0.6780736435971505,-0.73499396858673927) (-0.38713516648869317,0.9220229730694196) (-0.9739596563823667,0.22672138791816937) (-0.94177564716355011,-0.33624192244524864) (0.72362801275858613,-0.69019019056420861) (-0.81149506366201707,-0.58435927446407443) (0.88938485779276089,-0.45715924438750022) (-0.98759725447405489,0.15700848052034866) (0.85737290166603775,-0.51469574263710316) (-0.86417139846012259,0.50319756963192486) (-0.88154546884604879,0.4720991276808289) (-0.97102626662012603,0.23897277990135163) (0.50563065094260051,0.86275004771217634) (0.44147247426328917,-0.89727479317534009) (-0.81986101474293149,0.57256258741266974) (0.52798460338047859,0.849253942347728) (0.94419394496045972,-0.32939003369865977)
 (1,0) (-0.11876723949418799,-0.99292212324176243) (0.76773827671356543,0.64076355894267578) (0.20508968519938134,-0.97874318440784969) (-0.17071582243194144,-0.98532030729676157) (-0.93086692016371198,0.3653584225728555) (-0.93884404565178514,-0.34434264613054916) (0.18446895817417264,-0.98283834045591423) (0.93451950052530552,-0.35591193171616653) (0.8163823246795826,-0.57751181801826401) (-0.91088250587122777,0.41266579758656052) (0.76087566158679643,0.64889770195683005) (0.94835760424016424,-0.31720317539371296) (0.14680792921918129,-0.98916501753669761) (-0.48359006669023241,0.87529460606046061) (-0.98014878943677286,0.19826333641303578) (0.94430361205163371,-0.32907550541818964) (-0.71945229245314646,0.69454186258562722) (0.75540395645773439,0.65525938571530618) (-0.98215211731088281,0.18808832622400784) (-0.47775464442334414,0.87849331228639616) (-0.76133983494507318,-0.64835303325102789) (0.50023633249898469,0.86588891415005675) (0.93290594873571386,0.3601201060945044) (0.88938485779276122,-0.45715924438750033) (-0.82582896100006298,0.56392067453991779) (0.66408140429542062,0.74766027610741848) (0.47651013836176637,-0.87916897581662323) (0.93853335520370063,-0.34518855886324384) (-0.43851506017276326,0.89872384078852474) (-0.37718060920164359,-0.92613972382264043) (-0.96961786200007927,0.24462461382778866) (-0.94975456480689679,0.3129956335613352) (-0.8301882096821136,0.55748321634360076)
 (1,0) (-0.13622055229294733,0.99067853571832543) (-0.87288059349260838,-0.48793387820891471) (-0.96197933223304677,-0.27312225166848247) (-0.44635053899339944,-0.89485819901272745) (-0.99978146520719524,-0.020905067044954651) (0.96422013802999706,-0.26510285818416718) (0.55185566317200663,-0.83393964231530937) (0.72605518759645093,0.68763643341833147) (-0.99764098947492252,0.068647331481262563) (0.20338167380746475,0.97909953261110005) (-0.26992042531857152,-0.96288263251335182) (0.18506058070343517,0.98272711444719363) (-0.71364400206199075,-0.70050855692200165) (0.085790838769228828,-0.99631316963255756) (-0.64572493674035603,0.76357010553823024) (-0.14237622547132317,-0.98981261379138796) (0.78871788476449145,-0.61475531575792652) (-0.81200265092920321,0.58365374571225637) (0.37415161088299903,-0.92736754961215706) (0.71266182516897658,-0.70150774974110131) (0.89847620949045015,-0.4390222101211661) (-0.93167371431237422,0.36329614649674624) (0.50023633249898469,0.86588891415005675) (-0.81149506366201729,-0.58435927446407476) (-0.78964278536744448,0.61356684356078528) (0.50470813912107448,0.86329004066127291) (0.85073983188150459,0.52558704174497139) (0.778081158450459,-0.62816376118365214) (-0.56341005130883015,0.82617741078062734) (-0.75325827995259609,0.65772483888238331) (0.6708602609921972,-0.74158378503138966) (0.95538266987030795,0.29537087553020941) (0.097621601618798404,0.99522360447156843)
 (0.99999999999999989,0) (-0.93697445238126587,0.34939787575889258) (-0.26850529424510772,0.96327820849552481) (0.39191099854074146,0.92000313544182988) (-0.77465847512200359,-0.63237982804770998) (-0.69166651530402923,-0.72221702528199994) (0.3587794768663457,0.93342235187481482) (-0.86339536453563326,0.50452794223747544) (-0.61604438225279001,0.78771144405472382) (0.53105335613895055,-0.84733838160061947) (0.9885596693980393,-0.15083030212672266) (-0.51954298550205513,-0.85444431428596423) (0.99609913133685313,-0.088241263306719039) (0.91342239976668338,0.407012923141849) (0.21929521193458928,-0.9756585519650629) (0.97793560873420904,-0.20890654649783419) (0.26202757878484728,-0.96506038565270624) (0.5709064837414739,-0.82101509536789075) (0.84740984867586933,0.53093930761165142) (-0.12264764619911429,0.99245027829197363) (-0.76587991892122953,0.64298363104608669) (-0.60748896613315162,-0.79432811609968479) (0.89847620949044971,-0.43902221012116582) (-0.76133983494507296,-0.64835303325102767) (0.72362801275858635,-0.69019019056420849) (0.055226654700754177,0.99847384372879977) (-0.46774225625978849,0.883864911459326) (-0.25423039994112873,0.9671436830925243) (-0.43924277733994005,0.89836840024273756) (-0.97549918667018776,0.22000303817402603) (-0.87566267899366657,-0.48292325748262921) (-0.089131317523577225,-0.99601988345439729) (-0.70471806885518351,-0.70948745121321266) (0.99963988025653261,0.026834861667319063)
 (1,0) (-0.46314797590218421,-0.88628096697250047) (-0.33946512362165471,-0.94061864208856416) (0.69268371984686317,0.72124147430601404) (-0.99288755188260236,0.11905590836481857) (0.25601250462725261,-0.96667346993412473) (-0.95694149084045521,-0.2902808693456177) (0.73025586223462191,-0.68317375218312448) (0.5432700573142949,0.83955800563494343) (-0.33415662075140456,0.94251756100775264) (-0.9385052694306022,-0.3452649116996882) (-0.57902228248075649,-0.81531171731477992) (0.46707263988174125,0.8842189486060007) (0.92401559381572551,0.38235478601081002) (-0.96627373840313124,0.25751711102844776) (0.19854828831151744,0.98009110658579413) (-0.69751365133445309,-0.71657149413165944) (0.62865143776113197,0.77768719277153009) (-0.13358162509775243,0.99103781433214944) (0.37974881057083237,0.92508963937017363) (0.88361495578927896,0.46821427776768099) (-0.76587991892122975,0.64298363104608691) (0.71266182516897636,-0.70150774974110108) (-0.4777546444233442,0.87849331228639604) (-0.94177564716355044,-0.33624192244524864) (0.0050840089124234156,-0.99998707634317863) (-0.82343256138348941,0.56741414932430634) (-0.4101161048415875,-0.91203332206096765) (0.033780647630355445,-0.99942927105707358) (0.7056093478540153,0.70860105011284868) (0.90434638660107902,-0.42679926551198766) (0.53362169117922553,0.84572329440723293) (-0.15977502454418696,-0.98715345389250631) (0.38125145352304962,-0.92447137824086378)
 (0.99999999999999989,0) (0.66309126888493897,-0.7485385555390992) (0.74148114959725031,0.67097369903144455) (-0.17598649954877005,-0.98439258021206644) (-0.74873130552460965,-0.66287361700961733) (0.61423748344983409,-0.78912122891556669) (0.81509767646066955,-0.57932355193658136) (-0.8982912849640482,0.43940046353826145) (0.39759364562312344,-0.91756160172498136) (-0.30425546836078221,0.95259047337907032) (0.2288765450971631,0.97345545717530702) (-0.88795748404345631,0.45992554455174073) (-0.60462470371465049,0.79651049438031252) (-0.93247583106339416,0.36123236909589346) (-0.60646046582041901,-0.79511364181284205) (0.86529161765186458,0.50126880655135442) (0.90254902597757847,0.43058710582984583) (0.48850671582781907,0.87256013465612714) (0.053014593080072628,-0.99859373767341131) (-0.92443937906397444,-0.3813290369691405) (0.37974881057083232,0.92508963937017363) (-0.12264764619911435,0.99245027829197374) (0.37415161088299903,-0.92736754961215673) (-0.98215211731088281,0.18808832622400776) (-0.97395965638236692,0.22672138791816943) (-0.73478411699192225,-0.67830104040639716) (0.7878652124258636,0.61584771417059547) (0.95348792507858871,-0.30143121392670591) (-0.53172717534237846,0.84691570477965217) (0.0022335465369819826,-0.99999750563182221) (0.20265570448369269,-0.97925005256074282) (-0.29679330339682469,-0.95494174432726531) (-0.54164654790413913,0.84060633898604875) (0.79705045400246066,0.60391272032841847)
 (1,5.5511151231257827e-17) (-0.89261227040737312,-0.45082517090130941) (0.99351378367018572,0.11371174810612622) (0.60336190817713287,-0.79746749636637149) (0.8702425284474844,-0.49262352936225873) (-0.31707068385173803,-0.9484019092356315) (-0.45522563809569005,-0.8903761106523308) (-0.99855285397206583,0.053779157898224406) (0.90096400138696331,0.43389384439605966) (-0.51041816697953735,-0.85992633104077509) (0.86795411013955859,-0.49664440265832765) (0.24952439845676461,-0.96836851176336292) (0.50696561830743136,-0.86196627651791757) (-0.48680750621893015,0.87350927407149226) (-0.09982249531838866,-0.99500526100539322) (0.9924036852741509,-0.12302408485448668) (-0.61150682965816938,-0.79123915302607095) (-0.43445764299046652,0.90069226512009548) (-0.99939552945671339,0.034764575388395613) (0.053014593080072669,-0.9985937376734112) (-0.1335816250977524,0.99103781433214932) (0.84740984867586955,0.53093930761165142) (-0.81200265092920276,0.58365374571225614) (0.75540395645773428,0.65525938571530618) (-0.38713516648869323,0.9220229730694196) (0.083340376794988624,0.99652113956286392) (-0.41161216537863682,-0.91135910886560478) (-0.64679828957256713,0.76266111255655411) (-0.40755522642186331,0.91318056123431768) (0.96328017359317208,0.26849824424436836) (0.74361591240473124,0.6686070406587703) (-0.086327775534811246,0.99626678915399525) (-0.83827338771400139,-0.54525015126131915) (-0.9018389907796388,0.43207225635252411)
 (0.99999999999999989,0) (0.0079163160190534598,0.99996866547941754) (-0.81451759996290318,0.58013884489031842) (-0.90068238856977778,0.43447811788424995) (-0.16532732889686069,-0.98623875117530713) (-0.45038900902751933,-0.89283242579288591) (0.35367185754239389,0.93536956182169706) (0.92712176362072674,-0.37476023724615448) (0.36564922090328583,-0.9307527315312164) (-0.82565353237404893,-0.5641774937714692) (0.96393987203686127,-0.26612012907249161) (0.49011512497374321,0.87165771049877916) (0.70764195164853527,-0.70657120537639539) (-0.99640591231370768,0.084706894089492446) (-0.29783640692353947,0.95461692563607758) (-0.047312481308480842,-0.99888013751021976) (0.20960821595134566,0.97778545489575275) (-0.90410334635858147,-0.42731386486190226) (-0.43445764299046635,0.9006922651200957) (0.48850671582781913,0.87256013465612692) (0.62865143776113197,0.77768719277152987) (0.57090648374147379,-0.82101509536789108) (0.78871788476449112,-0.61475531575792641) (-0.71945229245314635,0.69454186258562722) (-0.67807364359715061,-0.73499396858673949) (0.06713886272930758,-0.99774364097768908) (0.98755698688374827,-0.15726155810334633) (-0.75778444312547422,-0.65250497144237574) (-0.81558614969962484,0.57863566466140048) (-0.33785378393963783,-0.94119860851877035) (0.86465748936046916,0.50236184776797188) (-0.13864615578915118,0.99034198309719812) (0.4696107047688054,-0.88287359568997559) (-0.60732877120312079,0.79445060492701969)
 (1,0) (-0.44698916910489683,0.89453936900670461) (0.58363009860699744,0.81201964754554212) (0.75770767747383572,-0.65259411236786835) (-0.70246184476486562,0.71172140381580573) (-0.93829687804778195,-0.34583083819374139) (0.034735471325886669,0.99939654143476409) (-0.98040155989047029,-0.19700959713763441) (-0.49280487797333911,0.87013984637280117) (-0.83944975203671646,0.54343731359329284) (0.97280665970084057,-0.23161865823308087) (-0.20792576126032192,0.97814460986314056) (-0.47332140941106271,0.88088980207124923) (-0.80149872839143299,-0.5979964785740095) (-0.98375427763609813,-0.17952025298745328) (-0.7354952661094758,0.67752986172607232) (0.94403316957914574,0.3298505339306752) (0.2096082159513456,0.97778545489575297) (-0.61150682965816949,-0.79123915302607117) (0.90254902597757858,0.43058710582984583) (-0.6975136513344532,-0.71657149413165966) (0.26202757878484728,-0.96506038565270658) (-0.14237622547132323,-0.98981261379138785) (0.94430361205163382,-0.32907550541818964) (0.98287402639821042,-0.18427872430579176) (0.56806971463272871,0.82298043677665256) (-0.89425943806744446,-0.44754894416957114) (0.99253157692711103,-0.12198798630431688) (-0.13779536966570485,-0.9904607191093906) (0.61362520724210179,-0.78959743226348367) (0.37200852857220246,-0.92822931146863952) (-0.39346862339500832,0.91933804577186795) (0.84832925761510702,-0.52946904600193634) (-0.50952015862100819,-0.8604587194972354)
 (1,-5.5511151231257827e-17) (0.99680799135398324,0.079836259762326278) (0.86008794371581887,-0.51014579197979626) (-0.45469080810779594,0.8906493524515019) (-0.99105799699625075,-0.13343180501581831) (0.7923120420803168,-0.61011607745946006) (0.39135838638015219,-0.92023834597886844) (-0.14111017220053867,0.98999389861833709) (-0.7555651835555881,-0.65507347175611585) (-0.72911076705734534,-0.6843957110919453) (-0.97581369022389408,0.21860384711076281) (0.99043841285128043,-0.13795561006583584) (0.67394704424040586,0.73877965697467574) (-0.035566643116968,-0.99936730679835151) (-0.4993348871063093,0.86640906650295957) (-0.31551122280340216,0.94892184519332368) (-0.73549526610947602,0.67752986172607221) (-0.047312481308480814,-0.99888013751021976) (0.9924036852741509,-0.12302408485448674) (0.86529161765186446,0.5012688065513542) (0.19854828831151744,0.98009110658579401) (0.97793560873420915,-0.2089065464978343) (-0.6457249367403558,0.76357010553823002) (-0.98014878943677275,0.19826333641303578) (0.13593268903387312,0.99071807495978426) (0.41490036152258747,0.9098668529012508) (-0.55702617313317704,-0.83049493824141229) (-0.11591056024469598,0.99325965488575063) (0.21423418332558924,-0.97678232718186364) (0.68600781119886367,-0.72759417464280496) (-0.5377958389541091,-0.84307510673939667) (-0.12391082302588102,-0.99229335780153716) (-0.62578900173769458,-0.77999238797833126) (-0.92333082381587794,0.38400545541891923)
