# Created by Octave 5.2.0, Fri Sep 17 14:20:46 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
8.4953632425315818e-14


# name: H
# type: complex matrix
# rows: 31
# columns: 31
 (1,0) (-0.98799450898246177,0.15448899708556468) (0.75114085227007876,0.66014196961788407) (-0.86552382421771767,-0.50086775670982964) (-0.15330787314028183,0.9881784737754632) (-0.99449805316232875,-0.10475505838067264) (0.99914287955956316,0.04139451926794932) (-0.80593669137195478,0.59200173099445086) (0.64703990697574909,0.76245613564375903) (-0.19143607062690071,0.98150508448144702) (0.44985991909828787,0.89309912842241779) (-0.030867711164271339,-0.99952347866744939) (-0.99999849233225646,0.0017364714840665263) (0.089915575628019218,-0.99594939091275192) (0.28264524509876621,-0.95922451252199459) (0.35609355183975377,0.9344503102563283) (0.84823310788577166,-0.52962306849914031) (-0.68213693665838049,0.73122445230334077) (-0.05993687350610033,-0.99820216949990304) (-0.5211454840685491,-0.85346785788039914) (-0.28699842268595882,-0.95793105460454309) (-0.50198242205550792,-0.8648778225548891) (0.89863988212608614,-0.43868708922467092) (-0.54318085796681526,-0.83961571896816889) (0.0024857955708380008,0.99999691040541738) (0.97271449693195777,0.23200540394225497) (0.78556625066438723,-0.61877755762236308) (0.27204875036482168,0.96228347041032514) (-0.78224179852410669,0.62297493420022254) (-0.86752065423561409,0.49740116050790695) (0.91918046068512615,-0.39383661675202192)
 (1,-2.7755575615628914e-17) (-0.97987970746177866,0.19958897490748284) (-0.95479503219065598,0.29726494328131559) (-0.9628269323442602,0.27011904477941223) (0.50469703635914775,-0.86329653161025377) (-0.58732942733553606,-0.80934797447433693) (0.89263402968707528,0.45078208598458558) (-0.33154076998187687,0.94344089260526809) (-0.02518490985011701,-0.99968280985312652) (0.30609896406225301,-0.95199969758399405) (0.061767308518473368,0.99809057685081093) (0.22974051028885834,0.97325191904882224) (-0.98900106433070134,0.14790839987215412) (0.7861083294443737,0.61808874312527107) (0.95796300699642511,0.28689175175729209) (-0.91102133745020475,-0.41235921562448374) (-0.98095796089280385,0.1942201816522503) (-0.49998837803595286,-0.86603211362453369) (0.85337019649639123,0.52130538816677374) (-0.44984853087204635,0.8931048646560279) (-0.51886583742567094,-0.85485568533674638) (-0.28699842268595899,-0.95793105460454298) (-0.54107731290029859,-0.84097285417817957) (-0.093687002813613612,0.99560170023147432) (-0.98037183246782045,-0.1971574753938809) (0.36406651402001466,-0.93137295073956006) (0.47816481988917914,0.87827012076032152) (0.97111155964328244,-0.23862593892364617) (0.76744170857933236,0.64111872842152706) (0.99998219114273468,0.005968031281420566) (0.92022828391175571,-0.39138204543492544)
 (1,0) (-0.97934354163262927,0.20220343088696113) (-0.93926159579550117,0.34320206098403383) (0.2684428790890091,-0.96329560398997116) (-0.26842303273024976,-0.96330113438109077) (0.25254338639915275,0.96758557140236856) (0.26454336183279625,0.96437379148865421) (-0.6900096091868394,0.72380020670750378) (-0.58686071024368103,-0.80968790701867521) (-0.83433858140065575,0.55125233023211928) (0.053965771595383516,-0.99854278601175384) (-0.16949961127266722,0.98553025411623696) (0.93866421910891873,-0.3448325445265345) (0.86934366687675624,0.49420804208478442) (-0.76082513542668972,0.64895694256472836) (0.41396293677073298,-0.91029373664776458) (0.55718749702405934,-0.83038671301994194) (0.16283223628806398,0.98665377049166958) (-0.74613700043013742,0.66579244257434778) (-0.47812331156328181,-0.87829271825500244) (-0.4498485308720464,0.89310486465602801) (-0.52114548406854944,-0.85346785788039925) (-0.33309963962203498,-0.94289163220577521) (0.99965088716273598,-0.026421653898943645) (0.64952686620383926,0.76033864171132348) (0.84141231571622743,0.54039366665520416) (0.93492760235682304,-0.35483852433370605) (0.074927612325515591,0.99718897552630292) (0.66527121410247991,-0.74660177583944454) (-0.19769107986259471,-0.98026437094426799) (-0.99259558874493603,-0.12146603312899583)
 (0.99999999999999989,0) (0.74683459790668338,-0.66500983704721406) (0.63954316518086118,-0.76875518851611302) (0.29611298831643473,0.95515291872574548) (-0.96882269628240225,0.2477550870680475) (-0.9999576995457633,0.0091977779460337139) (0.40701414049725138,0.91342185732293646) (0.87864995658061384,-0.47746649495109555) (0.66501194239999961,0.74683272321543259) (-0.13850972042947884,-0.99036107422825703) (0.20447913856387756,-0.97887092197703685) (0.23554481677048836,0.97186348799229849) (-0.88982852192280637,0.45629508168801658) (0.97790913742884888,-0.20903042585509998) (0.19013386206469118,-0.98175817516146258) (-0.88860268659989416,-0.45867773585323485) (-0.99763033931469658,-0.068801933685347372) (0.9951037798912683,0.098835556588247553) (-0.62752170836333709,0.77859906597218442) (-0.74613700043013731,0.66579244257434789) (0.85337019649639134,0.52130538816677374) (-0.059936873506100441,-0.99820216949990304) (0.90035704380755455,0.43515192021421822) (-0.94980139848473932,0.31285348557501025) (-0.21792250815196768,0.97596607545588188) (0.75680711868323469,0.65363826778301459) (-0.63527647592740388,-0.77228479146831475) (-0.89468314614618294,0.44670131855857198) (-0.93235984755802015,-0.36153162332164718) (0.77060926464159962,-0.63730790144837535) (-0.57049052656686894,-0.82130418183365927)
 (1,5.5511151231257827e-17) (0.001362713329137899,-0.99999907150576051) (0.6224916893100334,0.78262640943169093) (-0.99517053979310899,0.098161075421431043) (-0.093751594519337844,-0.99559561998086465) (0.73775002521276156,0.67507399616528629) (-0.52762045556745552,0.84948022629534514) (0.079564062372584288,-0.99682975476195101) (-0.95144955879469362,-0.30780470605463939) (0.88253061731874904,0.47025494095754883) (0.98179835754866973,-0.18992626230917842) (0.80028248252036049,0.59962317180963631) (0.15246151423739326,0.9883094083719135) (-0.38621033586107251,0.92241074173823323) (-0.98149816565649628,-0.1914715404777782) (0.50733649237286071,-0.86174803945631484) (0.66191221295526592,0.74958136472344583) (-0.95362800870368214,-0.30098774230165876) (0.99510377989126853,0.098835556588247553) (0.16283223628806387,0.98665377049166958) (-0.49998837803595275,-0.86603211362453369) (-0.6821369366583806,0.73122445230334066) (0.99534747597918793,0.096350412878515423) (-0.36191974166718904,-0.93220925794134624) (-0.79195999104936698,-0.61057298710071251) (0.69878225048814091,0.71533444374133814) (-0.98348724205883753,-0.18097747016549143) (0.99821069772722837,-0.05979467319853865) (-0.75790360328381301,-0.65236655963454515) (-0.94921121235731087,0.31463959435386452) (-0.36183084354500872,-0.93224376675819454)
 (1,5.5511151231257827e-17) (-0.23333817260840292,-0.9723956484907631) (0.98385717727045252,-0.17895545460649787) (-0.12985358203747954,-0.99153318009637814) (0.99176032213331067,-0.12810723415183461) (-0.61364285403287289,0.78958371797700544) (0.87681031653987052,-0.48083642625039585) (0.72961312997943562,-0.68386013230894771) (-0.6079135777813216,0.79400320021339565) (-0.96169016926543038,0.27413868449788009) (-0.19923492742965826,0.97995175579826344) (-0.009139487732408913,0.99995823400979589) (0.88191887479189179,0.47140120734444918) (0.8868025833209211,0.46214843742605205) (0.53363445933936704,-0.84571523801193416) (-0.95634101369060698,-0.29225308472832662) (-0.61795739741704447,0.78621158410287628) (0.66191221295526603,0.74958136472344583) (-0.99763033931469658,-0.068801933685347372) (0.55718749702405956,-0.83038671301994205) (-0.98095796089280407,0.1942201816522503) (0.84823310788577166,-0.52962306849914054) (-0.78364646609044097,-0.62120706385549451) (-0.81971040190836075,-0.57277819180135903) (0.35954608012645023,-0.93312733121782765) (-0.84002497577028701,0.54254773069484807) (-0.99955514815906543,-0.029824583630112145) (0.54269669713411972,-0.83992874395374639) (0.63940250156583567,0.76887218768229126) (-0.9767290661476481,0.21447687833970225) (0.23399058021177718,0.97223886384579217)
 (0.99999999999999989,0) (0.36120524316021557,0.93248633894206123) (-0.85208126280712704,0.52340951612767905) (0.97418238734353801,0.22576243307876809) (-0.29017817732222778,-0.95697263566203961) (0.88136888350372833,0.47242871546021736) (-0.65641613472925742,-0.75439900455070974) (0.93098293642278795,-0.36506269610794567) (0.95131887011283633,-0.30820838302556985) (-0.071139321743892814,-0.99746638885820027) (0.64478908894566089,0.76436053716595298) (0.96463191019674288,0.26360060286384424) (-0.27353134309131721,-0.96186309022992478) (-0.83619210511574693,0.54843665390097263) (0.87140453592304179,0.49056511777005546) (-0.50791459572547992,0.86140743173542533) (-0.95634101369060698,-0.29225308472832634) (0.50733649237286049,-0.86174803945631484) (-0.88860268659989428,-0.45867773585323485) (0.41396293677073276,-0.91029373664776436) (-0.91102133745020497,-0.4123592156244838) (0.35609355183975383,0.93445031025632841) (-0.698003738112699,-0.7160941150300697) (-0.49789872713649852,-0.8672351800497109) (0.34932280266514482,0.93700244372048913) (0.83958587514372196,0.54322698594524021) (-0.095857391056328067,0.99539507763494273) (-0.28350041152622757,0.95897211464383014) (-0.98118364770242938,0.19307679684870133) (-0.98314998791671782,0.1828007146029727) (-0.26317363267411048,-0.96474848487318776)
 (1,0) (-0.33294961201615819,-0.94294461971967936) (-0.79318912145825871,0.60897538341075497) (0.99361472794474892,-0.11282629308491826) (-0.99561673087505775,-0.093527136178037207) (-0.34873565858072803,0.93722112675412272) (0.65655817879077005,-0.7542753859585688) (0.52950747973920209,0.84830526869767797) (-0.99538008384391552,-0.096012961035894295) (0.53371510522689503,-0.84566434621109876) (0.89421462890258074,-0.44763846735576734) (-0.82281968494739688,0.56830253040354051) (0.99994295903167374,0.010680762284663747) (-0.96829299056827667,-0.24981730207562564) (0.86879062649692629,-0.49517961116253517) (0.8714045359230419,0.49056511777005563) (0.53363445933936704,-0.84571523801193427) (-0.9814981656564965,-0.1914715404777782) (0.19013386206469118,-0.9817581751614628) (-0.76082513542668995,0.64895694256472847) (0.95796300699642545,0.2868917517572922) (0.28264524509876637,-0.95922451252199481) (-0.8533577544416171,0.52132575510362256) (0.35520722176812142,0.9347875852854346) (0.112772547467486,-0.99362082935981932) (0.99278183790626628,-0.11993424166374339) (-0.95624261999647597,0.29257486512391301) (-0.92726781295705518,-0.37439872202484925) (-0.90028656101332394,0.43529772347073437) (-0.33887382144686495,0.94083183042348173) (0.20244933053135267,0.97929273895368385)
 (0.99999999999999989,0) (0.39115097048842407,0.92032652807900917) (-0.77309508431420559,0.63429014702201636) (-0.96121012709418252,0.27581713429659394) (0.95246144056239135,-0.30465916077120525) (-0.77641010687401812,-0.63022801107525872) (-0.86882506829680806,-0.49511917827836877) (0.72554982547421432,-0.68816963806487186) (0.15004180830951674,0.98867965274865988) (0.78950738889379124,-0.61374105523592548) (-0.994215363640923,-0.10740489141723256) (-0.41711501634589532,-0.90885370832646251) (0.60345831116166138,-0.79739454894670292) (-0.45981165176096761,0.88801646657303079) (-0.96829299056827633,-0.2498173020756255) (-0.83619210511574682,0.5484366539009724) (0.88680258332092088,0.46214843742605183) (-0.38621033586107251,0.92241074173823323) (0.97790913742884877,-0.20903042585509976) (0.86934366687675602,0.4942080420847843) (0.78610832944437359,0.61808874312527107) (0.08991557562801919,-0.99594939091275192) (-0.99920891860061722,-0.039768542706326904) (-0.97979038686911391,0.20002699267566923) (0.20708988723344163,-0.9783219197205183) (0.95904484591281369,0.28325427362719113) (0.49421049279602125,-0.86934227368184147) (0.071565675865544132,0.99743588968810792) (0.4045758236932302,0.91450445755225518) (0.027192389825811597,-0.99963021859863832) (-0.96555099757395291,-0.26021389487101609)
 (0.99999999999999989,0) (0.64560277752858131,-0.76367339461800121) (-0.9379408054164855,-0.34679539433890105) (0.70247110225875065,0.71171226664388487) (0.80935632998303364,0.58731791315810833) (-0.1873855363242474,-0.98228644537959231) (-0.9299590069564756,-0.36766322277394975) (-0.14593333201131908,0.98929442665370071) (-0.73022834295666761,-0.68320316681259552) (-0.19487712574083543,0.9808276636917368) (0.012471007635015185,0.99992223396050517) (0.94744756552471887,-0.31991109793391559) (0.34749812013232512,-0.93768067939171085) (0.60345831116166138,-0.7973945489467027) (0.9999429590316733,0.010680762284663858) (-0.2735313430913171,-0.96186309022992456) (0.88191887479189146,0.47140120734444901) (0.15246151423739318,0.98830940837191317) (-0.88982852192280615,0.45629508168801641) (0.93866421910891851,-0.34483254452653439) (-0.98900106433070123,0.14790839987215404) (-0.99999849233225624,0.0017364714840664708) (0.58415339973052127,0.81164327483400855) (0.080218484905341003,0.99677730445646251) (-0.096601554048357019,-0.99532313333682898) (-0.084230080238504479,-0.99644633251521131) (-0.89727719799279471,-0.44146758653631529) (-0.27165840905697625,0.96239373895959668) (-0.97325351669301241,-0.22973374206825681) (0.39498578857223865,0.91868723014199272) (-0.49894612548930756,-0.86663300413681943)
