# Created by Octave 5.2.0, Fri Sep 17 14:18:41 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
1.1703014581179901e-13


# name: H
# type: complex matrix
# rows: 30
# columns: 30
 (1,5.5511151231257827e-17) (-0.60067153943561391,-0.79949590475001808) (-0.5872042284960669,0.80943881426352393) (0.65908994786184882,-0.7520641200239937) (0.48598585026641505,0.87396667747736834) (-0.67393657089063175,-0.73878921108539242) (-0.50681206248387434,-0.8620565719956208) (-0.33313642079999378,-0.94287863754386159) (-0.17622798240090815,0.98434937812694601) (0.64907928768210321,-0.76072076237085395) (0.85269953711609014,0.52240166481549932) (-0.99978162686668737,0.020897334274937618) (-0.070413089353528746,0.9975179180584629) (-0.97146343528902501,-0.23718936294961812) (-0.98897295972868771,0.14809620159031128) (0.99933675103614372,-0.036415079685817642) (0.77777101564765494,-0.62854772867174935) (0.90794367928619757,0.41909220375025197) (0.83387000713138315,-0.55196087832989227) (-0.15941635459723483,0.98721143930108912) (0.48293361642816129,-0.87565696601101584) (0.14756930321457354,-0.98905171793428748) (-0.34814815890112505,0.93743952309136003) (-0.99552996320252407,-0.094446240613279719) (-0.13855715085229686,0.99035443955570435) (-0.25593812819616368,0.96669316462642008) (-0.63964614710185241,0.76866950407685297) (0.57282371342005467,0.81967859148794286) (-0.10934951830152295,-0.99400336158748703) (0.18610262780711276,-0.98253031094378307)
 (1,-5.5511151231257827e-17) (-0.99274246771335362,-0.12025968900010292) (0.48148874992566904,-0.87645227120192759) (-0.32908093358501433,-0.94430172040021976) (-0.74234765215911658,0.67001489784470325) (-0.97758262555789988,0.2105521555513577) (0.46704644493431191,0.8842327851161258) (-0.43299259630182418,-0.90139747700323924) (-0.9871640849766623,-0.15970932763050633) (0.79660511930550171,-0.60450002803661429) (-0.3545858455815093,0.93502346393726699) (0.9950387863509419,0.099487756318272391) (-0.938121255433922,0.34630695936276146) (0.74952039722299157,-0.66198124908994727) (0.99949811853605774,-0.03167824242095682) (-0.25604439296046261,0.9666650241078899) (-0.91058139788773718,0.41332979304765094) (0.86974159764690584,0.49350739946084732) (-0.084588497438540244,-0.99641597041651708) (0.78618081119941752,-0.61799654699830242) (-0.1594163545972348,0.98721143930108912) (-0.29733695497355001,-0.95477260916254658) (-0.022860222330328833,0.9997386709710735) (0.6437152204725749,0.76526512721536222) (-0.13176649696773668,-0.99128078276382015) (0.78605895892883626,0.6181515292286458) (0.29967611458676924,-0.95404099825226418) (-0.55291267144168366,0.83323920800645279) (-0.80996518886112034,0.58647795596524166) (0.10551931965771977,-0.99441725305777551)
 (1,-1.1102230246251565e-16) (-0.97966139641497696,-0.20065778921900246) (-0.22025284986014704,-0.97544281335631577) (0.37008478272500972,0.92899798363364661) (0.13646570031942973,0.99064479640097458) (-0.34983963078200048,-0.93680960324620566) (0.99245547294066949,0.12260560439927476) (0.31532311425283432,0.94898436953297272) (-0.99107652544480174,-0.13329411356942555) (0.55171338193147978,0.83403377881098339) (-0.61251129456508202,0.79046183590999952) (0.0060634744178968969,0.9999816169700233) (0.98853036796185401,-0.15102222226282142) (0.87531370629884997,0.48355549378056795) (-0.61126657067601953,0.79142477821583113) (0.4415856826871849,-0.89721908408464712) (-0.049258930698477865,-0.99878604202623955) (-0.65910184151851847,-0.75205369655822973) (0.080373968261828521,-0.99676477928639007) (-0.084588497438540189,-0.99641597041651708) (0.83387000713138315,-0.55196087832989238) (0.53484710959721526,0.8449488560590539) (0.33882937324951173,0.94084783882588718) (0.81376327037418628,0.581196472623423) (-0.66402787884675851,0.74770781466711611) (-0.88850862005745634,-0.45885992643027229) (-0.70142467685496945,-0.71274358832535356) (0.27409541708291674,-0.96170250199016394) (-0.79573464713343089,-0.60564541718024523) (-0.94606146894107102,0.32398718645196695)
 (0.99999999999999989,-5.5511151231257827e-17) (0.5953381285049818,-0.8034752720203574) (0.95678432645569045,0.29079847428886729) (-0.78514296155179353,0.61931456459999334) (0.96766478554946156,0.2522396931640945) (0.62536031094639466,-0.78033613365845722) (-0.91579568206978756,-0.40164445558520162) (-0.66217863533699317,0.74934601814064361) (-0.6414309993590962,0.76718073037661205) (-0.98464560150566538,0.17456528702908575) (0.91664797608932602,-0.39969549400930499) (-0.74759940254177326,-0.66414993286093482) (-0.98413975688950539,-0.17739486720157904) (0.90963250566499676,-0.41541389557598996) (0.68214486904576455,-0.73121705234118906) (-0.9999330738490213,-0.011569261983726709) (-0.8338139513861984,-0.5520455547087898) (-0.092728772314584706,0.99569140539879641) (-0.65910184151851847,-0.75205369655822984) (0.86974159764690562,0.49350739946084737) (0.90794367928619757,0.41909220375025202) (0.76657026952442486,0.64216043313275772) (0.9851690554571183,-0.17158651511622308) (-0.63446850386440146,0.77294871602459458) (-0.6132757737698098,-0.78986886589296723) (-0.9800832337375831,-0.19858714698208141) (-0.86209107116525541,0.50675337691735622) (0.93288979758993529,-0.36016194350959729) (-0.70187540347673272,0.71229973887007259) (0.98241736257552281,-0.18669795314934395)
 (1,0) (-0.47551148326349602,0.87970951414915899) (0.55517829315257838,-0.8317313645716331) (0.28870646706160824,0.95741766010284368) (-0.1750101451615117,-0.98456663009191403) (0.60156376072520346,0.79882478791168621) (0.26348441609794038,0.96466365250978914) (-0.76560309847860442,0.64331321733659386) (0.99960958494557561,0.027940609959943186) (0.2426191473978366,-0.97012161573482458) (-0.14387174492918792,-0.98959634246041461) (-0.46727245426841379,-0.88411337139643587) (-0.69514194672495266,0.71887250184121176) (0.97119569114220217,-0.23828329674322357) (0.31889087937211291,0.94779143647391162) (-0.99929547267641583,0.037530764559474905) (-0.0031212620390639323,-0.99999512884977726) (-0.83381395138619852,-0.55204555470878969) (-0.049258930698477976,-0.99878604202623933) (-0.91058139788773707,0.41332979304765094) (0.77777101564765494,-0.62854772867174924) (0.001535084971288514,-0.99999882175637111) (-0.81170135067284255,0.58407269865649625) (-0.75285175060989284,-0.65819012572631297) (-0.74168337517869187,0.67075015541074878) (-0.23981695962398447,0.97081812193464367) (0.5813974102000522,-0.81361972162225304) (0.26152586631477515,0.96519646769365419) (0.99994793428361661,-0.010204348187267565) (0.20110977228702642,0.97956871095939957)
 (0.99999999999999989,2.7755575615628914e-17) (0.87262920000344912,0.48838333233367126) (0.89555157700799159,0.44495772037183445) (0.015330732174853257,-0.99988247741971303) (-0.21214423027337129,0.97723836680807841) (-0.87317391077602657,-0.48740878278925226) (0.0021957993665606135,0.99999758922966508) (0.20525554226925108,-0.97870841539641196) (0.18973369546762522,-0.98183558949765015) (0.39738213358582192,0.91765322421205486) (0.28676379512337841,-0.95800131826967616) (0.20327395900502213,0.97912190129238963) (0.41619009251190359,0.90927762916225574) (-0.93434789127094808,-0.35636220068566765) (0.99255890782004286,-0.12176540767838812) (-0.8903438087492761,-0.45528881187860676) (-0.99929547267641572,0.037530764559474905) (-0.99993307384902119,-0.011569261983726681) (0.44158568268718495,-0.89721908408464712) (-0.25604439296046261,0.96666502410788968) (0.99933675103614361,-0.036415079685817642) (-0.45724273065311782,0.88934193945010853) (0.26284699035052317,-0.96483753019027618) (0.27809053793179572,-0.96055486710172089) (-0.7716039685137932,0.63610322729393953) (0.18084891241159398,-0.98351089006657355) (-0.62676695800381022,0.7792067635452421) (-0.78453620357984155,0.62008301482344264) (0.99413858315965364,0.1081132622452803) (-0.82828025060671051,-0.56031404270719898)
 (1,0) (-0.28309487478056472,-0.95909191002373539) (-0.94878216163583362,0.31593102057511929) (-0.78911971348676135,-0.61423943034176076) (-0.96234908122951135,0.27181656656046094) (0.1013743355777893,-0.99484835230610047) (-0.34770807152018979,0.93760284609194278) (-0.94730079514828525,0.32034544403101323) (0.29473494456124005,-0.95557904563384155) (-0.86390452152391006,-0.50365561417554383) (0.39921518958544311,-0.91685725846734667) (0.84365766120050167,-0.536881505266944) (-0.58573947329649534,0.81049939507833357) (0.99820316008258525,-0.059920373840121721) (0.30920268226334036,0.95099616260064734) (0.99255890782004319,-0.12176540767838812) (0.31889087937211313,0.94779143647391195) (0.68214486904576455,-0.73121705234118939) (-0.61126657067601964,0.79142477821583135) (0.99949811853605797,-0.031678242420956737) (-0.98897295972868804,0.14809620159031128) (0.94895248988184022,0.31541904182698965) (0.99832272607674344,-0.057894167225204407) (0.36558291303824747,-0.93077877806408427) (0.34524825042197937,0.93851139874833833) (-0.84210392646549315,0.53931528536784457) (-0.98381032620715492,0.17921284007618532) (-0.98696400612964186,-0.16094114018649719) (0.45966677448211402,-0.88809146850828924) (0.083862579882744925,0.99647732924307486)
 (1,0) (0.92425887068126533,0.38176634210861421) (-0.90476559527298805,0.42590987028984795) (-0.52913687944087218,0.84853648290192818) (-0.49797315101600081,-0.86719244742282819) (-0.28712690381932571,0.95789255196140211) (0.58613539744302512,-0.81021311755877301) (0.65179835902638095,-0.75839231217788339) (0.43053486792335027,-0.90257394572534733) (0.96742121909181467,-0.253172243444865) (-0.89822681213993238,-0.43953224449741235) (-0.22973307618308481,0.97325367387308404) (-0.80901970732582162,0.58778151821781621) (-0.99469845557699754,-0.10283473378549635) (0.99820316008258514,-0.059920373840121721) (-0.93434789127094831,-0.35636220068566771) (0.97119569114220239,-0.23828329674322352) (0.90963250566499676,-0.41541389557599001) (0.87531370629884997,0.483555493780568) (0.74952039722299157,-0.66198124908994715) (-0.97146343528902501,-0.23718936294961809) (0.77543546996694812,-0.63142682229783065) (0.89301053973137567,0.45003574961182352) (-0.66618883302717902,0.74578310436070128) (-0.913627959789578,-0.40655128961882825) (-0.90216402297479825,-0.43139317988341708) (-0.96818249160670877,0.25024520564083547) (0.99985185751345662,-0.017212292900421089) (-0.40414360691143436,0.91469554770569161) (-0.82151322014454775,0.57018946774535872)
 (1,5.5511151231257827e-17) (0.7922465549115203,-0.61020111129924082) (-0.72377829679316252,-0.69003259132535866) (0.5720208773285258,0.82023906021372961) (0.10214493874311681,0.99476952681973829) (-0.53796536540544304,0.8429669421894237) (0.22998574046156128,0.97319399874040902) (0.066862655652207781,0.99776218873994926) (0.90766418342945987,0.4196971886007006) (0.40110655611300228,-0.91603140265122296) (0.19285419358396588,-0.9812274252267299) (0.71665612222993325,-0.69742670042833432) (-0.76933221918762151,-0.63884891525293297) (-0.80901970732582162,0.58778151821781621) (-0.58573947329649523,0.81049939507833335) (0.41619009251190364,0.90927762916225596) (-0.69514194672495278,0.71887250184121176) (-0.98413975688950528,-0.17739486720157904) (0.98853036796185401,-0.15102222226282142) (-0.938121255433922,0.34630695936276129) (-0.070413089353528802,0.99751791805846302) (0.2255407064782034,-0.97423374490997439) (-0.014708889674637515,-0.99989181843064301) (-0.20434803082517611,0.97889830028347313) (0.9625562030135415,-0.27108219425140012) (0.16838874577967999,-0.98572066544977432) (-0.95957886913049828,0.281439858439123) (0.41942779773191163,-0.90778869925206629) (-0.72486331847029006,-0.68889271264561824) (-0.1450255174193319,-0.98942791515969253)
 (1,0) (-0.89901373307258803,-0.43792043540680919) (0.67994283720131643,0.73326512131603883) (0.99138779756560091,0.13095890514976682) (-0.15860276766349984,-0.9873424745697299) (-0.86494255529815178,-0.50187087585782786) (0.91452456766033086,-0.40453036368817047) (-0.18330002508692825,0.98305701808345314) (0.72079731035496697,0.69314589906097335) (-0.060410004895126268,-0.9981736478732397) (-0.39084998749389055,0.92045439174139676) (0.076714949396240406,-0.99705306605974131) (0.71665612222993325,-0.69742670042833432) (-0.22973307618308481,0.97325367387308381) (0.84365766120050156,-0.53688150526694378) (0.20327395900502215,0.97912190129238985) (-0.46727245426841379,-0.88411337139643598) (-0.74759940254177337,-0.66414993286093482) (0.0060634744178966749,0.9999816169700233) (0.99503878635094178,0.099487756318272447) (-0.99978162686668748,0.020897334274937562) (0.3919037113857356,0.92000623965388639) (-0.42139475221577027,0.90687731408664596) (-0.67200642796849186,-0.74054531310989091) (-0.9517852677491192,-0.30676506335587883) (0.55269966359122025,-0.8333805144507227) (-0.52052244006111437,0.85384798962861241) (-0.9981556757134753,0.060706235602075442) (0.732512639630998,0.68075343023801671) (-0.25980328291258986,-0.9656615629649139)
