# Created by Octave 5.1.0, Fri Sep 17 15:08:22 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
4.9995655603493677e-14


# name: H
# type: complex matrix
# rows: 21
# columns: 21
 (1,0) (0.19928884042167505,0.97994079315200666) (0.99981238955476892,-0.019369710704673269) (0.89087669925256252,0.45424520551004111) (-0.80351754114936269,-0.59528107736201541) (-0.33618430024599755,-0.94179621801539892) (-0.96579289224847531,0.2593146530420618) (0.94563380365912575,-0.32523331529407351) (-0.98876214058643219,0.14949725530235197) (-0.023972593823558916,-0.99971261607792627) (-0.19729176818803323,-0.9803448159730529) (-0.48012586990224271,-0.87719960616191262) (0.99893234607727632,-0.046197055756275432) (0.035276853374640177,0.99937757810348304) (-0.98159099521503557,-0.19099507353006825) (-0.41503809773018874,0.90980403243363706) (0.90842472974171129,-0.41804845460029921) (-0.70782285929097222,0.70638997718339125) (-0.14492665398914722,0.98944240103378922) (0.66041715794999722,0.75089891296049138) (-0.59363710766231115,-0.80473286524555787)
 (0.99999999999999989,0) (0.95468296830026589,0.29762464621968587) (-0.15179208473392367,-0.98841244579989429) (-0.98669446067184785,0.16258548914184068) (0.3809008532950201,0.92461588779293902) (-0.81003806658110844,0.58637729380454295) (0.23060691409647091,-0.97304699330037636) (-0.5528581287136356,0.83327539836194453) (-0.94140189273431163,0.33728693475475047) (-0.86643472547428968,-0.49929036290748957) (0.90603540731935162,0.42320189116266543) (-0.19729176818803332,-0.9803448159730529) (-0.99999792423402689,-0.0020375297881268795) (-0.17826575871533901,-0.98398237751986395) (-0.6210795716354397,-0.78374751399742126) (0.74210811470216453,0.67028019968756269) (0.98961143506701321,0.14376789483263144) (-0.063674788400499616,0.99797070163514889) (0.13227502944798977,-0.99121305307412733) (0.048515771795821366,0.9988224165921864) (0.98479267605835674,-0.17373366162554493)
 (1,0) (-0.15808176328023227,-0.98742602564354831) (0.11027193658371653,0.99390145386857998) (0.72671275609693708,-0.68694146047970805) (-0.084139838984769566,0.99645395653568314) (-0.51852074211262555,-0.85506505015640299) (0.48989277966390854,0.87178269335492631) (-0.58091547810793809,0.81396388574348111) (-0.99372739143474831,-0.11182965399343175) (0.13176112092980896,0.99128149736153193) (-0.86643472547428968,-0.49929036290748968) (-0.023972593823558874,-0.99971261607792616) (0.15606952519866646,0.98774607227984612) (0.82986874430965052,-0.5579586608503575) (0.2914919397100349,-0.95657328474303616) (0.83168537253068564,-0.55524718920359661) (-0.99994917882862466,0.010081654624080283) (0.98414122339877097,0.1773867312038036) (-0.49671994828823818,0.86791087847343551) (-0.8666934642732671,0.4988410959273531) (0.037259726186113062,-0.99930561531722406)
 (0.99999999999999989,2.7755575615628914e-17) (0.932097253987759,-0.36220810193655023) (0.70564710649232121,0.70856344888726408) (-0.79998818056048482,-0.6000157589293178) (0.750743077181796,-0.66059430217313186) (0.96050128051518879,-0.27827556509453355) (-0.59911521913800925,-0.80066282179030557) (0.94384896501228122,-0.33037725594423939) (-0.065714017635726818,-0.99783849789741563) (-0.9937273914347482,-0.1118296539934318) (-0.94140189273431163,0.33728693475475024) (-0.98876214058643208,0.14949725530235186) (-0.98124508876188377,0.19276430110547615) (0.57142123023562752,-0.82065691835017218) (0.3229095998199295,0.94642981268773063) (-0.16460477483407107,0.98635960384731114) (-0.99967285033278364,-0.025577183338416437) (-0.18680343724542425,-0.98239731057922497) (-0.41007826909682082,0.91205033480315945) (0.34007588635376995,0.94039799634021815) (0.60386886276202223,0.7970836822984777)
 (1,1.3877787807814457e-17) (-0.95080301056244765,-0.30979611860929901) (0.9524525567277119,-0.30468693306875655) (0.79225789962183668,0.61018638176117723) (0.20454549201671102,0.97885705886796459) (0.39147453107729513,0.92018894337946278) (-0.95344354507904328,-0.3015715609057108) (0.97622753608507196,0.21674823595422943) (0.94384896501228133,-0.3303772559442395) (-0.58091547810793798,0.81396388574348122) (-0.55285812871363571,0.83327539836194442) (0.94563380365912575,-0.3252333152940734) (0.35746389573210091,-0.93392695819749771) (-0.30906874992181266,-0.95103969834164592) (-0.013823137141519226,-0.99990445587544385) (-0.22445463732868093,0.97448453850312633) (-0.99443112950648116,0.10538846553804813) (-0.50843714769664849,0.86109910396080203) (-0.73717492273889262,-0.67570195595758642) (0.23900519507115259,-0.97101828856566874) (-0.977499988206187,-0.21093547131031407)
 (1,-5.5511151231257827e-17) (0.51918687912176886,0.85466074236962453) (0.46609620427872372,0.88473404385553422) (-0.96399880420753137,-0.26590657285304198) (-0.49400851278452174,0.86945706581545767) (0.67980784874629308,0.73339027044469118) (-0.78084907893481448,0.62471970989128567) (-0.95344354507904339,-0.30157156090571086) (-0.59911521913800947,-0.80066282179030557) (0.48989277966390854,0.87178269335492642) (0.23060691409647105,-0.97304699330037658) (-0.96579289224847531,0.25931465304206175) (0.77975271481503505,-0.62608761666286217) (-0.57741754034549786,-0.81644900888013572) (0.22442743405817744,0.97449080387762677) (-0.94938758176388904,0.31410701933022001) (0.7866946113810549,0.61734235916872826) (0.89664059942310836,-0.44275911675104856) (0.56655144385486733,-0.82402637182675442) (-0.29567307022958506,-0.95528918948191333) (-0.059971184708041192,-0.99820010869800735)
 (1,0) (0.96286917987992815,-0.26996841007302036) (-0.8787381576270139,-0.47730414866233978) (-0.93361603256016268,-0.35827517880341847) (-0.92024839673908809,-0.39133475222517233) (0.9694710594591166,0.24520576027332108) (0.67980784874629296,0.73339027044469107) (0.39147453107729507,0.92018894337946278) (0.96050128051518879,-0.27827556509453366) (-0.51852074211262555,-0.85506505015640288) (-0.81003806658110855,0.58637729380454284) (-0.33618430024599755,-0.94179621801539892) (0.32880750048539881,0.94439696506529724) (-0.98280784616000605,-0.18463135575066775) (0.96762171188435553,-0.25240487849879156) (-0.2566057628127501,-0.96651615738759744) (0.92414693045194385,0.38203723763037739) (-0.55204100448216298,0.83381696394971727) (0.11692048277316178,0.99314127932942675) (-0.16644440781172856,-0.98605084002205579) (-0.94637580814003697,0.32306784081256246)
 (1,-5.5511151231257827e-17) (0.0043980260000451854,0.99999032863688375) (-0.50700869693280315,-0.86194093836787966) (-0.047025789904612481,0.99889367556504594) (0.69492766293229002,-0.71907965017198539) (-0.9202483967390882,-0.39133475222517222) (-0.49400851278452157,0.86945706581545767) (0.20454549201671107,0.97885705886796448) (0.750743077181796,-0.66059430217313198) (-0.084139838984769511,0.99645395653568314) (0.38090085329502005,0.92461588779293902) (-0.80351754114936269,-0.5952810773620153) (-0.14610347880556276,-0.98926931291782849) (0.69946769957242005,0.71466421293840265) (0.68582746666005179,0.72776416920225984) (-0.019354698768575485,-0.99981268027344905) (-0.75116635267535159,-0.66011295291670291) (-0.8362367904938901,-0.54836851680642407) (0.93031002541764496,-0.36677412205255222) (-0.81517572387991477,0.57921372497279111) (0.072865518042473154,-0.99734177506028521)
 (1.0000000000000002,0) (0.91859035844332881,-0.39521102385302687) (-0.61678221717516257,-0.78713384921275709) (0.98263235598989618,0.18556307003751443) (-0.047025789904612592,0.99889367556504605) (-0.9336160325601629,-0.35827517880341875) (-0.96399880420753137,-0.26590657285304198) (0.79225789962183657,0.61018638176117734) (-0.79998818056048504,-0.60001575892931802) (0.72671275609693731,-0.68694146047970828) (-0.98669446067184807,0.16258548914184051) (0.89087669925256241,0.45424520551004138) (-0.41864248907473722,0.90815112527668507) (-0.55024419751173415,0.83500378628163641) (-0.85398863458030472,0.52029166052096953) (-0.79670937273021025,-0.60436261913178924) (-0.53052722765524074,0.84766789529652797) (0.48597800299338334,-0.87397104105717605) (0.70962064341263265,-0.70458394989003403) (0.28861733708580956,-0.9574445324578843) (0.70293135373564275,0.71125769727671606)
 (1,0) (-0.90211801894354426,-0.4314893740260296) (0.97716652221040401,-0.21247491115711675) (-0.61678221717516268,-0.78713384921275709) (-0.50700869693280337,-0.86194093836787977) (-0.87873815762701413,-0.47730414866233983) (0.46609620427872378,0.88473404385553445) (0.95245255672771201,-0.30468693306875677) (0.70564710649232143,0.7085634488872643) (0.11027193658371642,0.99390145386858031) (-0.15179208473392353,-0.98841244579989462) (0.99981238955476925,-0.019369710704673138) (-0.89935849622298114,0.43721195691739517) (-0.90352149581677499,-0.42854277102410426) (-0.091632238408406008,0.99579291666704783) (-0.99033319684158194,-0.13870890106093908) (0.48746865619349039,-0.87314048653633802) (0.36405735974862036,0.9313765290218905) (-0.0023261582241190792,-0.99999729449029862) (-0.67349404233950849,0.73919265075701901) (0.55413207147606203,0.83242876413639655)
