# Created by Octave 5.2.0, Fri Sep 17 14:14:20 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
9.4418463319843864e-14


# name: H
# type: complex matrix
# rows: 28
# columns: 28
 (1,-5.5511151231257827e-17) (0.077478759463408264,-0.99699400290674345) (-0.89882764469404097,-0.43830225316984461) (-0.18665134957134311,-0.98242621794371754) (-0.085157810778949294,0.99636747601642284) (-0.7397883222049606,-0.67283968248697223) (-0.99875963946853252,0.049791390507681998) (0.99230982194347361,-0.12377890480413961) (-0.17172217708960924,0.98514541763924646) (-0.86714882249539382,0.49804911368744798) (-0.97619093159905956,-0.21691303571652892) (-0.62793491602594376,0.77826585511346369) (-0.65087018920999218,0.75918903890780065) (0.97904770045682477,0.20363103945666772) (0.28582971042115779,-0.95828042693178128) (-0.18384914843842637,0.98295447026729832) (-0.9725921542898458,0.23251774429887445) (-0.65211788024426098,-0.75811758340361135) (0.62885937211714937,0.77751906092418399) (0.099157897960936547,0.99507171162281982) (0.76104910773085166,0.64869426976201661) (0.93872979994219163,-0.34465397531508923) (0.98638646835551991,-0.16444371391185558) (-0.93521924175857696,-0.35406915969131347) (0.4901247855482237,-0.87165227848684435) (0.97291293755076136,-0.23117183207810699) (-0.249663812613374,-0.96833257751216573) (0.98460767899181079,0.17477905615479078)
 (0.99999999999999989,0) (-0.42359586934870436,-0.9058512788922447) (-0.96831124126206403,-0.24974655161887838) (0.94000861295021243,0.34115071094666927) (0.88854498508471469,0.45878950454517187) (-0.60988874165581353,0.79248704898028943) (0.75107850033904111,-0.66021290984685976) (-0.393029723958085,-0.91952576695024302) (-0.98810605031641341,0.153773968304451) (0.79750866410648491,0.60330749263960737) (-0.99907694306480876,-0.042956510988169883) (0.97098375682111271,0.23914544526199522) (0.63437846817934607,0.77302261228920566) (-0.99505424907687123,-0.099332982407979997) (0.57821510544694799,0.81588436180194956) (-0.68569642509971496,0.7278876373489731) (-0.12270207625337959,-0.99244355027533437) (0.48495303096508752,-0.8745401979084636) (-0.65211788024426087,-0.75811758340361135) (0.93023513109940292,0.36696403211823941) (0.29610440154351941,0.95515558072313789) (-0.94635441526556008,0.32313050104776697) (0.039490888282295356,-0.99921993061721714) (-0.24480101297025175,-0.96957334124280559) (0.95252506582585883,-0.30446017633418559) (-0.97311508033933958,-0.23031943126050008) (0.53139465791084928,0.84712438138906876) (-0.7935715596996058,0.60847693434996786)
 (1,0) (-0.38241636901636211,0.92399010855546582) (0.84336993065889843,0.53733337888168164) (-0.55978367522570682,-0.82863878556992554) (0.96335614315007678,0.26822554213759903) (0.3015486187313059,-0.95345080132183069) (-0.026595518461871859,0.99964627663876426) (-0.24293764956526451,-0.97004190549878055) (0.38536908080860532,-0.92276252175558793) (0.91296770706959596,-0.40803181965146429) (0.45376350879299721,-0.89112214543678969) (-0.62503060694673629,-0.78060024364574343) (-0.95686195782824024,0.29054292911910301) (0.89309576694579096,-0.44986659251772615) (-0.10750563052140383,0.9942044756518631) (-0.62799169115086617,0.77822004333316563) (-0.9572869220734207,0.28913967010287001) (-0.1227020762533797,-0.9924435502753346) (-0.97259215428984569,0.23251774429887448) (0.38528915677053222,0.92279589600033007) (-0.53670085932722733,-0.84377259234785307) (0.48441412206866663,0.87483881849197975) (0.77842758804742851,-0.62773441053256251) (0.70583011753993463,0.70838114399916297) (-0.088666786232126371,-0.99606134400410562) (-0.23830739142102797,0.97118977918535832) (-0.67078232373591051,0.74165428210417028) (-0.99127012853444207,0.13184662405731576)
 (1,0) (0.1291366126862889,0.99162681249747919) (-0.64085481213474194,-0.76766210650503275) (0.71817732645274712,0.69586013520619494) (-0.92934070003877367,-0.3692233243599895) (-0.40837541891434415,-0.91281406498066897) (-0.74791360279177643,-0.66379608522423883) (0.99980791607845543,-0.019599258834345656) (0.032224975131532607,-0.99948064062180419) (0.38223263708087213,0.92406612920840403) (-0.8996046030042415,-0.43670534488780982) (0.71856151867252671,-0.69546340225998271) (0.98681578027419481,-0.16184750786413937) (0.56143113733529793,0.8275234607129841) (-0.8306686212415787,-0.55676713416348012) (-0.77157587160719343,0.63613730778315403) (-0.62799169115086639,0.77822004333316563) (-0.68569642509971507,0.72788763734897333) (-0.18384914843842634,0.98295447026729843) (0.90401757294267593,-0.42749529565930022) (-0.28489664214456906,-0.95855824199406336) (-0.96180246782585288,-0.27374442986862524) (-0.98131971880658553,-0.19238401565973037) (0.43752711289485846,0.8992052187803905) (0.91152266121094083,0.41124984875246329) (0.99815848090417625,-0.060660093958594674) (0.97555328162555133,0.21976304218320666) (-0.80127729009145354,-0.59829315923190718)
 (1,-1.1102230246251565e-16) (0.78524960722053505,0.61917933941629244) (-0.91295672488021951,0.40805639131863108) (-0.95416802650314314,-0.29927141059429319) (0.82393135826723995,-0.56668961245456206) (0.88553853193322019,0.46456593553720404) (-0.71462532491338848,0.69950743026249163) (0.093779093932384927,0.99559303007866673) (0.87000800315885951,-0.49303759941766534) (0.99913455247775629,0.041595024282650772) (-0.28938262918829949,-0.95721350487969403) (-0.99995877946845302,-0.0090796125446908627) (0.85732849508279096,0.51476970726634419) (-0.94496364594548288,-0.32717534723970332) (-0.30754350222032711,-0.95153402158937883) (-0.8306686212415787,-0.55676713416348) (-0.10750563052140366,0.9942044756518631) (0.57821510544694832,0.81588436180194956) (0.28582971042115773,-0.95828042693178139) (-0.71439191439693717,-0.69974580573539669) (-0.44582674305011738,0.89511927427652049) (-0.97618179076012357,0.21695416886605035) (0.20157674151747507,-0.97947272411190567) (-0.34685642019212692,-0.937918239385237) (0.99981896308013485,-0.019027376733644963) (0.31617038535281494,0.94870242301042595) (-0.75348669767857523,-0.65746315213967321) (0.60193590306885925,0.79854440615201705)
 (1,0) (-0.92710109444661648,-0.37481136679119692) (0.093231827288456026,-0.99564442768513284) (0.29142125405532177,-0.95659482158582876) (0.21737277285873924,-0.9760886627861749) (0.71019924845298088,-0.70400072975588612) (0.15378122764579785,0.98810492055436694) (-0.9531792795321139,0.30240578875186819) (-0.76651579135915238,-0.64222546009719361) (-0.710145732243737,-0.70405471305574385) (0.98975475914391398,-0.14277785805919638) (0.85207610244788567,0.5234179168095221) (0.51019960029511446,0.86005602599987985) (0.7295650616384759,0.68391141300350156) (-0.94496364594548266,-0.32717534723970332) (0.5614311373352977,0.82752346071298399) (0.89309576694579085,-0.44986659251772615) (-0.99505424907687123,-0.099332982407979775) (0.97904770045682465,0.20363103945666761) (-0.82730176934508159,-0.56175776135136446) (-0.98464972994114963,0.17454199874764095) (-0.96920881829642014,-0.24624026181040415) (0.54510444894275412,0.83836814093977574) (-0.80900157420428753,0.58780647575114719) (0.97928370533317333,-0.20249302325988711) (-0.86644995373015821,-0.49926393589063334) (-0.17208947076371173,0.98508132357296585) (0.4200964960442557,0.90747943999373193)
 (1,0) (-0.98527492159079322,-0.17097756836572867) (0.39172712859748399,0.92008144026535554) (0.82700768998369933,0.56219060887551953) (0.99999892513476252,-0.0014661955261784862) (-0.1709385071689585,-0.98528169919411801) (0.99819281942292959,-0.060092389306003254) (-0.1005567142744202,0.99493132788868088) (0.2683964745327857,-0.96330853440544817) (-0.20933921241051739,0.97784308257886909) (-0.92723154027156063,-0.37448854551992539) (-0.46956685565314027,0.88289691814618021) (-0.20455670580085314,-0.9788547155282572) (0.51019960029511457,0.86005602599988007) (0.85732849508279074,0.5147697072663443) (0.98681578027419481,-0.16184750786413929) (-0.95686195782824035,0.29054292911910301) (0.63437846817934607,0.77302261228920577) (-0.65087018920999218,0.75918903890780065) (0.29488056349557484,-0.9555341193659872) (-0.84386781054322757,0.53655113300502932) (-0.56555879028663969,-0.82470798148769842) (0.31588839716251543,0.94879635356492453) (-0.049381021598681921,-0.99878001316900167) (-0.63684713910118917,-0.77099009164750654) (-0.99213482767590611,-0.12517381400476782) (-0.69309827775278376,-0.72084310177466937) (0.37127012900570761,-0.92852490074746319)
 (1,0) (0.80083602509269591,-0.59888367895087047) (-0.98993654331662984,-0.14151197902058277) (0.75655250432301946,-0.65393295390473116) (-0.49172907774760627,-0.87074824955177998) (-0.35648007769824719,0.93430292421904082) (0.26173921085993324,0.96513863537753963) (-0.8144962362937973,0.58016883841105948) (0.99100097917793228,-0.13385461989927439) (0.51593367086850805,-0.85662853516804205) (-0.84161957786800012,-0.54007081586518635) (-0.20061388415756815,0.97967038818329721) (-0.46956685565314032,0.88289691814618032) (0.85207610244788579,0.52341791680952232) (-0.9999587794684528,-0.0090796125446910847) (0.71856151867252671,-0.6954634022599826) (-0.62503060694673629,-0.78060024364574376) (0.97098375682111282,0.23914544526199516) (-0.62793491602594376,0.77826585511346358) (-0.99994023710229807,0.010932622000204839) (0.9943177331173878,-0.10645302066310136) (0.972480168068101,-0.23298567061997094) (-0.40267239342310712,-0.91534416673451635) (0.57139811363372428,0.82067301389519343) (-0.601525876878379,0.7988533153500057) (-0.92266058075402968,-0.38561308681453649) (0.91864619772869827,-0.39508121114348743) (-0.98036033747758866,-0.1972146259810062)
 (0.99999999999999989,5.5511151231257827e-17) (0.44416836143176175,0.89594333900254175) (0.47069557724275279,0.88229568375013057) (-0.99990771372352327,-0.013585434707687527) (-0.071160854821215369,-0.99746485288510955) (-0.033743766629011074,0.99943051695137197) (0.89899951138831247,0.43794963012151933) (0.80103714747420496,-0.59861464095558836) (-0.78254083614436898,0.62259926097488372) (-0.3126410665096393,0.94987134051497468) (-0.88363948077440768,0.46816799123469938) (-0.84161957786800012,-0.54007081586518613) (-0.92723154027156041,-0.37448854551992539) (0.98975475914391398,-0.14277785805919618) (-0.2893826291882991,-0.9572135048796937) (-0.89960460300424105,-0.43670534488780982) (0.45376350879299732,-0.89112214543678947) (-0.99907694306480876,-0.042956510988169883) (-0.97619093159905956,-0.21691303571652898) (0.14062693338195159,-0.99006265741496768) (0.97250086811733016,-0.23289925184731541) (0.39530840812395096,-0.91854845406571073) (-0.13299481127469914,0.99111673387851051) (0.86812234951816014,-0.49635026570665713) (0.96417970122875762,0.26524988923357146) (-0.94183459151916238,-0.33607678024215104) (-0.04605725113303244,0.99893880173815863) (0.73846947168093446,0.6742869117781245)
 (1,0) (-0.84240365896101621,-0.53884698697226874) (0.66020768654786499,-0.75108309169033838) (-0.91678890967609961,-0.39937212608657152) (0.1134089196230698,-0.99354839688357866) (-0.064833705387637788,-0.99789608208756331) (-0.91353139068967759,0.40676823649909705) (0.44852359718315643,0.89377099011429206) (-0.32822055253210602,0.94460111628957943) (0.68987242355157319,0.72393096302277282) (-0.31264106650963941,0.94987134051497479) (0.51593367086850783,-0.85662853516804194) (-0.20933921241051739,0.97784308257886909) (-0.71014573224373723,-0.70405471305574419) (0.99913455247775607,0.04159502428265098) (0.38223263708087207,0.92406612920840414) (0.91296770706959607,-0.4080318196514644) (0.79750866410648513,0.60330749263960737) (-0.86714882249539393,0.49804911368744786) (-0.65195692309123598,0.75825600586702147) (-0.58470236197936931,-0.81124789546460341) (0.26044383856739517,0.96548899887688078) (-0.97287231833364107,-0.23134271594352512) (0.87125264414701364,-0.49083482972058667) (0.18316080572164462,0.9830829666144143) (-0.5444063010065554,-0.83882166127512403) (-0.52143609523981238,-0.85329033662702269) (0.60577990361150402,-0.79563226956957744)
