# Created by Octave 5.2.0, Fri Sep 17 14:08:09 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
4.2259577484784727e-14


# name: H
# type: complex matrix
# rows: 25
# columns: 25
 (1,0) (-0.98465200957330512,0.17452913809232984) (-0.79766891536431617,-0.60309559894059594) (-0.99074880985671188,-0.13570849556129205) (0.79635178561412545,-0.60483372388549361) (0.49373650407707187,0.86961155957229097) (-0.99632088308320321,0.085701213132054366) (-0.1917028654032078,0.9814530102843434) (-0.24279652381207478,0.97007723817476121) (-0.99650027763702698,-0.083589453098628475) (0.21986234800489574,-0.97553090567637768) (-0.85967747533035643,-0.51083719364355706) (-0.99867801000079259,-0.051402649161853997) (-0.21450646121341321,0.97672256966740478) (-0.90123585387662053,-0.4333289001293113) (0.67958354583033054,0.73359812175105421) (-0.51343676869739219,0.85812742908590267) (-0.27803110830134853,-0.96057207059997496) (0.95012647431603892,0.311864847015135) (0.99714897690017801,-0.075458053691628779) (0.78655067691671254,-0.61752573439643932) (0.81388570357815493,0.58102500936800616) (0.73396542940926124,-0.67918682881227799) (0.49634118353016821,-0.86812754220325927) (0.99840333397283276,0.056487013657408047)
 (1,5.5511151231257827e-17) (-0.99998112926730687,0.0061433793046888896) (0.50433151286126854,0.86351011872187355) (-0.3159407354420839,-0.94877892666749053) (-0.85854703479131866,-0.51273481357426243) (-0.51911994239794468,0.8547014013120342) (0.99803621375025142,-0.062639572500633178) (-0.42671883033061425,-0.90438434298768799) (0.76017250645817369,0.64972129442176796) (0.96764803808774513,0.2523039325593972) (0.16440647367101813,-0.98639267607533476) (0.86279951923001219,0.50554622896077417) (0.29719615646042358,0.95481644549366218) (-0.72988832577054441,0.68356640635996091) (-0.65966616159850222,-0.75155875035947683) (-0.90123585387662042,-0.43332890012931136) (0.54627509509035033,0.83760582643868264) (0.80400332106978545,-0.5946248058303274) (0.73892667227654518,-0.67378585099296284) (-0.06566967483540076,-0.99784141716357555) (0.55146877468893907,0.83419553495753007) (-0.80061990211640444,0.59917257308318073) (-0.99990518183418575,0.013770524359788927) (-0.28085419084921392,-0.95975044854505442) (-0.63711732053437253,0.77076683885277597)
 (1,0) (0.59749920376430876,0.80186950403480051) (0.54571109523822292,-0.83797338891751183) (0.8467921690143716,-0.53192388787864764) (-0.85071895171934708,0.52562083785323344) (-0.45403290308340377,-0.8909849173345511) (0.35721671516723391,-0.93402152994731946) (0.49586032763873089,-0.86840228896175231) (0.53184358311404978,0.84684260822209989) (-0.99657442852508382,-0.082700715897156662) (0.95601198551062505,-0.2933276044971424) (-0.16004624906013271,-0.9871095168023567) (-0.5880637227453579,0.80881460050549936) (-0.16844988744406991,-0.98571021878647502) (-0.72988832577054441,0.68356640635996102) (-0.21450646121341305,0.97672256966740478) (0.016767215070539687,0.99985942036807285) (-0.68416832390649696,0.72932414231463227) (-0.15716022460688661,-0.98757311820518545) (0.18456718895048485,0.98281989843659379) (-0.93510186070102841,-0.35437904863785896) (-0.36679627104918766,0.93030129288548846) (-0.94286641994154541,0.33317099835762082) (0.98274512463082231,-0.18496491563090967) (0.73335942166710866,-0.67984112750854053)
 (1,-1.7347234759768071e-18) (-0.69819754891557495,-0.71590514922598747) (0.9820993359200153,-0.18836372895402598) (0.91613094312433951,0.40087915267585128) (0.79884070673220919,0.60154262132253311) (0.9922225863461327,-0.1244762593613427) (-0.70634333032127516,-0.70786940865575643) (0.68638181529198095,0.72724136546024731) (0.26327253269840917,-0.96472150049978955) (0.96814084919722643,0.2504062621335042) (0.82393910489905042,-0.5666783491701014) (-0.72751908084380001,0.68608744851381209) (-0.98112750156897144,0.19336190334455269) (-0.58806372274535801,0.80881460050549958) (0.29719615646042369,0.9548164454936624) (-0.99867801000079248,-0.051402649161853928) (-0.92819556217610832,0.37209272816944244) (0.92540676174373659,-0.37897536241683433) (-0.45364133073426161,-0.89118434852147654) (-0.96551644195598862,-0.26034208325326252) (-0.99397392065762613,-0.109616810081792) (0.37218074845591476,0.92816027197828044) (0.51915972194141113,-0.85467723914570048) (-0.79944361643715134,0.60074112905467836) (-0.70427119645394221,-0.70993104020414033)
 (1,5.5511151231257827e-17) (0.73912455428011248,-0.67356877396463732) (-0.28417287758687776,-0.95877305742495389) (-0.94910733916620138,0.31495278811411398) (-0.99665365279769103,-0.081740420631529309) (0.89477435632293267,-0.44651859005743755) (0.39308335064428956,0.91950284363141521) (0.2969156814898174,0.9549037009486544) (-0.56111472942389551,0.82773803852641004) (0.89753140058567593,-0.44095054707156778) (-0.38786503181308701,-0.92171618033786995) (-0.85575607350123017,-0.51737949579178133) (-0.7275190808437999,0.68608744851381198) (-0.16004624906013254,-0.98710951680235681) (0.86279951923001241,0.50554622896077439) (-0.85967747533035621,-0.51083719364355695) (0.87168127101856097,-0.49007322081038673) (-0.7522451231388072,0.6588833544064383) (-0.99996512031367701,0.0083521348201576195) (-0.015805366402870058,-0.99987508739485609) (0.82943796573644868,0.55859883726604886) (-0.8253808957842409,0.56457628082873346) (0.98434062337442352,-0.17627687646101303) (0.96243756370334854,0.27150310490446222) (-0.35681727122275636,0.9341741994709265)
 (1,-5.5511151231257827e-17) (0.30932676191522507,0.95095581094130788) (-0.16942681928860254,0.9855427707135529) (-0.99998494720680453,-0.0054868351354953604) (0.2245779034593845,0.97445613820109256) (-0.56623280606254633,-0.82424535748679495) (-0.95001524159976725,0.31220352452868855) (0.87593916971028918,0.48242156975745676) (-0.095336759112562064,-0.99544507752156408) (0.29284717883032385,-0.95615925966918269) (0.77534831760597711,-0.63153383629507942) (-0.38786503181308718,-0.92171618033786984) (0.82393910489905042,-0.5666783491701014) (0.95601198551062483,-0.29332760449714229) (0.16440647367101807,-0.98639267607533476) (0.21986234800489568,-0.97553090567637746) (-0.38674647094265424,0.92218608057886153) (0.41296103518143956,0.91074869388974278) (-0.085440528035266972,0.9963432722556288) (0.76512176386864517,-0.64388561597113914) (-0.73977888521408997,-0.6728500583275574) (-0.30265763078526176,0.95309934347236447) (-0.99958598610830851,-0.028772493390040843) (-0.99972214054541331,0.023572053438261853) (-0.13754879594250918,0.99049499177672051)
 (1,0) (0.087500539726351634,0.99616447213680392) (-0.68100504363746495,-0.7322787246263095) (0.77076778825480186,0.63711617197242831) (-0.3204990946630587,0.94724882175707092) (-0.77543201879090595,0.63143106055519671) (0.2276821502159373,0.97373550745212478) (-0.72893189409973624,0.68458622084012943) (-0.59279704322128135,-0.80535188926835355) (0.16636097379517956,0.98606491997125578) (0.29284717883032396,-0.95615925966918291) (0.89753140058567604,-0.440950547071568) (0.96814084919722643,0.2504062621335042) (-0.99657442852508404,-0.082700715897156607) (0.96764803808774535,0.2523039325593972) (-0.99650027763702687,-0.083589453098628419) (-0.9524895351164937,-0.30457131429858164) (-0.75807226622914237,-0.65217055988001449) (0.82190573924321741,0.56962352110763481) (-0.3698025005229495,-0.9291103866640249) (0.27747718131924981,-0.96073222796319468) (0.62856855098916253,-0.77775418784303851) (-0.91801623691388368,0.39654279562548089) (0.91740860055735129,0.39794655372725923) (0.066281348554803665,-0.99780097355823227)
 (1,5.5511151231257827e-17) (-0.015955620509374158,-0.9998727009845606) (0.43551072389139961,0.90018354204883666) (0.98770469361417301,-0.15633118119087025) (-0.88345062466108293,0.46852427235517013) (0.9982614867825913,-0.058940682101674524) (-0.97145444438304951,0.2372261842386304) (-0.56014816457757211,-0.8283924394394101) (-0.96902910575818224,0.24694653711582465) (-0.59279704322128113,-0.80535188926835344) (-0.095336759112561953,-0.99544507752156419) (-0.56111472942389562,0.82773803852641004) (0.26327253269840928,-0.96472150049978933) (0.53184358311404956,0.84684260822209989) (0.76017250645817369,0.64972129442176807) (-0.24279652381207462,0.9700772381747611) (0.2407692630531762,-0.97058238288608467) (-0.63999202581120995,0.76838155033685107) (0.97060732088743307,0.24066871138500667) (0.97732438927278498,0.21174758117290882) (0.78158545408761659,0.62379818688310873) (-0.95695315178560647,-0.29024242503051489) (-0.99934702190189362,-0.036132116127004232) (-0.99901406257809211,-0.044394850728615876) (0.5403373236760709,-0.84144849910293429)
 (1,0) (-0.49728298129969795,-0.86758840270584758) (-0.7729370503544547,-0.63448271543782464) (-0.9348520049524891,0.35503764425242557) (0.2658227500648076,0.96402192171546719) (0.9813492232470673,0.19223345710978024) (0.99285703453863028,-0.1193101377384026) (0.44565950284353262,-0.89520255111636904) (-0.56014816457757233,-0.8283924394394101) (-0.72893189409973624,0.68458622084012932) (0.87593916971028929,0.48242156975745687) (0.29691568148981751,0.9549037009486544) (0.68638181529198083,0.7272413654602472) (0.49586032763873089,-0.8684022889617522) (-0.42671883033061442,-0.90438434298768799) (-0.19170286540320769,0.98145301028434329) (-0.99502519634604703,0.099623584740312743) (-0.99236508067018536,-0.12333509908560447) (-0.27386511931042301,-0.96176810948642277) (0.79357260940241159,-0.60847556533212388) (-0.68982271406132534,0.72397833059081718) (0.1813882571230343,-0.98341156195047252) (0.7536509286614157,0.65727488749212482) (-0.99986860917162268,0.016210009043943763) (0.29412321056565816,0.95576751200621457)
 (1,-5.5511151231257827e-17) (-0.34187528594490579,0.93974533191715748) (0.49565535732299687,0.86851929555825769) (-0.99729495180059435,-0.073503599320375645) (-0.38419838665327755,0.92325056170739406) (-0.95840943226407216,0.28539684677175203) (-0.53845537178819236,-0.842654029001487) (0.99285703453863028,-0.11931013773840257) (-0.9714544443830494,0.23722618423863048) (0.22768215021593727,0.97373550745212456) (-0.95001524159976714,0.3122035245286886) (0.39308335064428979,0.91950284363141521) (-0.70634333032127494,-0.7078694086557562) (0.35721671516723397,-0.93402152994731935) (0.99803621375025164,-0.062639572500633206) (-0.9963208830832031,0.085701213132054505) (0.75362529828821145,0.65730427488340915) (0.60524884949341273,-0.79603632466546337) (-0.99977680128428748,-0.021126940473202016) (0.30050920934902225,0.95377891311164209) (0.69117897881640178,-0.72268362320057866) (-0.41811678401210695,-0.9083932820796139) (0.9953662155657349,-0.096156626970512221) (-0.036565758693975992,-0.99933124903163817) (0.48836729867658357,-0.87263817334754279)
