 (1,0) (0.96824583655185426,0.25000000000000022) (0.875,0.48412291827592724) (-0.26761656732981759,-0.96352549156242118) (0.24999999999999983,-0.96824583655185437) (-0.26761656732981748,-0.96352549156242118) (-1.0000000000000002,8.3266726846886741e-17) (0.9682458365518547,0.24999999999999969) (-0.87500000000000011,-0.48412291827592713) (-0.70062926922203683,0.71352549156242118) (-0.24999999999999983,0.96824583655185437) (-0.70062926922203683,0.71352549156242118)
 (1,0) (-0.50000000000000011,0.86602540378443871) (0.96824583655185426,0.25000000000000017) (-0.70062926922203683,0.71352549156242107) (-0.50000000000000022,-0.86602540378443882) (-0.96352549156242118,0.26761656732981753) (-0.86602540378443871,-0.50000000000000011) (2.2204460492503131e-16,1.0000000000000002) (0.7135254915624214,0.70062926922203672) (0.25000000000000011,-0.96824583655185448) (0.8660254037844386,-0.50000000000000011) (-0.26761656732981759,-0.96352549156242118)


# name: N
# type: scalar
12


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
1


# name: info
# type: complex matrix
# rows: 1
# columns: 11
 (4.9960036108132044e-16,-2.2204460492503131e-16) (4.4408920985006262e-16,-2.2204460492503131e-16) (-8.3266726846886741e-17,1.1102230246251565e-16) (-4.4408920985006262e-16,-3.3306690738754696e-16) (4.4408920985006262e-16,-1.1102230246251565e-16) (2.2204460492503131e-16,4.3217947540607808e-16) (5.5511151231257827e-16,1.6653345369377348e-16) (0,0) (0,8.3266726846886741e-17) (-1.1102230246251565e-16,2.2204460492503131e-16) (3.3306690738754696e-16,1.1102230246251565e-16)


# name: is_convergent
# type: scalar
3.9429148920714248e-15


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 12
 1.8823302438572376 1.8823302438572374 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572376 1.8823302438572371


# name: spectrum
# type: scalar
3.4641016151377553


# name: x
# type: complex matrix
# rows: 1
# columns: 12
 (-1.555370849194238,-1.0601833183070002) (-1.0240700746388613,-1.5793820402830987) (1.7710271786031928,0.63767537163392285) (1.0240700746388611,1.5793820402830991) (-1.5553708491942377,-1.0601833183070006) (-0.85574993184663084,1.6765617200342295) (1.0601833183070004,-1.555370849194238) (-1.879820006485492,0.097179679751130357) (0.63767537163392285,-1.7710271786031928) (1.879820006485492,-0.09717967975113094) (1.0601833183070004,-1.555370849194238) (0.8557499318466304,-1.6765617200342293)


# name: x0
# type: complex matrix
# rows: 1
# columns: 12
 (-1.555370849194238,-1.0601833183070002) (-1.0240700746388613,-1.5793820402830987) (1.7710271786031928,0.63767537163392285) (1.0240700746388611,1.5793820402830991) (-1.5553708491942377,-1.0601833183070006) (-0.85574993184663084,1.6765617200342295) (1.0601833183070004,-1.555370849194238) (-1.879820006485492,0.097179679751130357) (0.63767537163392285,-1.7710271786031928) (1.879820006485492,-0.09717967975113094) (1.0601833183070004,-1.555370849194238) (0.8557499318466304,-1.6765617200342293)


