# Created by Octave 5.1.0, Fri Sep 17 15:07:15 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
7.8222689755184681e-14


# name: H
# type: complex matrix
# rows: 20
# columns: 20
 (1,0) (-0.97154592460031597,0.23685125372798133) (-0.99983560693737039,0.018131715312697194) (0.75118226236708918,-0.66009484826429476) (0.35020180044008847,0.93667427581231277) (0.8478421836516713,0.53024865074865302) (0.30904425318326711,-0.95104765893954968) (-0.99999733816619563,-0.0023073059018151043) (0.6695559856931228,-0.74276159164466127) (-0.46822222022288051,0.8836107471559842) (-0.58635902082170421,-0.81005129387034058) (0.37781305249479519,0.92588190249327518) (0.57157500801733163,0.82054982189382497) (0.09424819009343921,-0.99554873244061315) (-0.96409819385287632,0.26554598963197013) (-0.92666851822927732,-0.37587957821988083) (0.58918650096922454,-0.80799707120486586) (0.58822649616256051,0.80869622801909813) (0.20907479619262112,-0.97789965211007979) (-0.44122370643459086,0.897397147800305)
 (1,5.5511151231257827e-17) (0.14224891236671272,0.98983091835448611) (-0.33436605723528767,-0.94244328199044791) (0.22972190105242846,-0.97325631165528981) (-0.79130385832519901,-0.61142309720818733) (-0.53299040715871149,-0.84612128319573077) (0.49721218644358589,-0.86762897695500529) (-0.49339534728606266,-0.8698051685730922) (0.51704026571085127,0.85596107600383975) (-0.12700583154518275,-0.99190197033452643) (-0.46822222022288051,0.88361074715598398) (-0.86272303803738493,0.50567673432692584) (-0.75821002946337035,0.65201039195794641) (0.94130759784383189,0.33755000554210529) (0.44463233093860677,0.89571317411552043) (0.98366391697195044,0.18001471730777707) (-0.83008261138122541,-0.55764043817008513) (0.99376186955251766,0.11152285247196164) (-0.94438792100558355,0.32883347557502574) (0.39309834078040307,0.91949643527079228)
 (1,-5.5511151231257827e-17) (-0.65805110148848589,0.75297327165696171) (-0.8159541163630688,-0.57811666641791382) (0.71794354967475738,0.69610132845758033) (-0.62101523968663885,-0.78379848945819353) (0.25352473690714256,0.96732890361870361) (-0.9663080314333985,-0.25738839986935924) (0.52368120011160024,-0.85191431532148432) (-0.97992223537060097,0.19938007078512815) (0.51704026571085138,0.85596107600383986) (0.66955598569312258,-0.74276159164466116) (0.12583295980745918,0.9920514433365305) (0.0079945470610750524,-0.99996804309802134) (-0.89277355819755422,0.45050568673800134) (-0.79601025352687516,-0.60528313728376681) (0.75125960614797294,-0.66000682130595489) (0.31707102455386832,0.94840179533168245) (0.80412661912475281,-0.594458056060302) (-0.95406159050309125,0.29961054975869822) (0.99606563177711172,-0.08861860522746895)
 (0.99999999999999989,0) (-0.91990280019380355,-0.39214644993369308) (0.91764586096930179,-0.39739913669497073) (0.15809015204644875,0.98742468260922567) (0.4323887151335139,0.90168730667853381) (-0.94646769334138414,0.32279855244570088) (-0.24824041324412394,0.96869845526478793) (-0.024159188622101702,-0.99970812420682109) (0.52368120011160024,-0.85191431532148421) (-0.49339534728606266,-0.86980516857309209) (-0.99999733816619518,-0.0023073059018152431) (0.98102865436189945,-0.19386278477541988) (0.09657886682055003,-0.99532533499537623) (0.99792910185416361,-0.06432346129167768) (0.4589267591647318,0.88847410188623788) (-0.99720425913979982,-0.074723928921348812) (-0.03105874505961273,0.99951756080387133) (-0.2909685626188937,-0.95673261445792346) (-0.97948606054341203,-0.20151192818576885) (0.3646110977531794,0.93115989357103435)
 (1,1.3877787807814457e-17) (-0.63456371313925541,0.77287055447010045) (0.90497962870134829,-0.42545489964927019) (-0.62209898897056848,0.78293859779793551) (0.88725927258339221,0.46127105178494543) (0.17774287466627525,-0.98407696371034381) (-0.4466172286422464,0.89472512599117326) (-0.24824041324412405,0.96869845526478826) (-0.96630803143339872,-0.2573883998693593) (0.497212186443586,-0.86762897695500529) (0.30904425318326711,-0.95104765893954957) (-0.80094674734521576,0.59873559098914442) (-0.30722826541816994,0.95163585101032366) (0.30396059793641239,-0.95268460410680489) (-0.97789374011167829,-0.20910244630418379) (0.71955528009116598,-0.69443516536313521) (-0.44361742873938786,-0.89621625566525787) (-0.9417686744631466,-0.33626145155210363) (0.67580954528191883,0.73707629083144877) (0.91371959261982605,0.40634530397515289)
 (1,-5.5511151231257827e-17) (-0.99457381054331417,0.10403333783624163) (0.58440461279865863,-0.81146241351010762) (-0.98861682771156034,0.15045520252065625) (-0.49508996344589762,0.86884171636445928) (0.30847935564719492,-0.9512310377292631) (0.1777428746662752,-0.98407696371034348) (-0.94646769334138414,0.32279855244570083) (0.25352473690714256,0.96732890361870338) (-0.53299040715871138,-0.84612128319573077) (0.84784218365167074,0.53024865074865279) (0.43414559661033253,-0.90084271709541974) (0.60086768712213112,-0.79934849882419901) (-0.96449569996429219,0.26409855120842712) (-0.97848846694574187,0.20630152702821103) (-0.64340642865324327,0.76552476613606557) (0.49941961960264064,0.86636022736270268) (0.80721363177946892,0.59025939439317643) (0.78054978877983838,0.6250936147776176) (0.24993921019879189,-0.96826153037555074)
 (0.99999999999999989,0) (0.061572328186461189,-0.99810262418335405) (0.0016864442522248058,0.99999857795188007) (-0.47272554580069243,-0.8812097130351193) (-0.13823380977849575,-0.9903996233006771) (-0.49508996344589762,0.86884171636445939) (0.88725927258339188,0.46127105178494537) (0.43238871513351385,0.90168730667853381) (-0.62101523968663874,-0.78379848945819353) (-0.79130385832519901,-0.61142309720818733) (0.35020180044008836,0.93667427581231255) (-0.75760026847881423,0.65271880101681501) (-0.94583664812097501,-0.32464293473180422) (-0.2288256430695001,0.97346742373529405) (-0.81499437936457775,0.57946886163464095) (-0.90204067621370987,-0.43165103782559411) (0.89546684513973207,-0.44512821664717467) (0.66978233420462185,-0.74255748921373632) (0.90420748722729438,-0.42709345586428976) (0.965100805117171,0.26187866648924951)
 (1,0) (-0.99878694786804367,-0.049240560196214367) (-0.15121367459640342,0.98850109995642021) (0.426149120133269,-0.90465293201848429) (-0.47272554580069248,-0.88120971303511952) (-0.98861682771156056,0.15045520252065628) (-0.62209898897056859,0.7829385977979354) (0.15809015204644869,0.98742468260922589) (0.71794354967475726,0.69610132845758055) (0.22972190105242862,-0.97325631165528981) (0.75118226236708907,-0.66009484826429454) (0.069346757423342731,0.99759261586825509) (0.66599170980909717,-0.74595914262481899) (-0.095286854694776685,-0.99544985575486289) (0.9912627835081248,-0.13190183483077619) (-0.0236861087190956,0.99971944477125529) (0.74764618940778949,-0.66409726355708742) (-0.70553380006294708,0.70867627092258201) (-0.93899797995356882,0.3439226564841546) (-0.76038769704469067,-0.64946943745111818)
 (1,0) (0.9238953662717625,-0.3826452040488208) (-0.95460273130368634,0.29788189838850693) (-0.15121367459640328,0.98850109995642033) (0.0016864442522249168,0.99999857795188019) (0.58440461279865863,-0.81146241351010795) (0.90497962870134829,-0.42545489964927014) (0.91764586096930212,-0.39739913669497079) (-0.81595411636306892,-0.57811666641791382) (-0.33436605723528767,-0.94244328199044802) (-0.99983560693737028,0.018131715312697083) (-0.64139656606493589,0.76720951834561313) (0.59890005287696069,0.8008237800315201) (-0.99033264893899298,0.13871281283817094) (0.62121171804586672,-0.78364277662880455) (-0.06750825513099018,0.99771871561536241) (0.99979917428970011,-0.020040236765887509) (0.076215642406008033,-0.99709135782667302) (-0.73593552755025571,0.6770516223223495) (-0.93759331649084054,-0.34773376722962451)
 (1,5.5511151231257827e-17) (0.999162722993721,-0.040912748377140762) (0.92389536627176261,-0.38264520404882085) (-0.9987869478680439,-0.0492405601962142) (0.061572328186461023,-0.99810262418335416) (-0.99457381054331451,0.10403333783624169) (-0.63456371313925541,0.77287055447010045) (-0.91990280019380388,-0.39214644993369308) (-0.65805110148848589,0.75297327165696182) (0.14224891236671272,0.98983091835448622) (-0.97154592460031575,0.23685125372798127) (0.9838317458415673,0.17909521454894639) (-0.4576286101978233,0.88914343900655701) (0.40082663908876509,-0.91615392014486519) (-0.55844051218837398,-0.82954457044018204) (0.34189041659352526,0.93973982731472261) (0.93030116467225255,0.36679659623481981) (0.90622463873105052,-0.42279652808032309) (0.45457452076020111,-0.89070870944188729) (-0.9510350352866026,-0.30908309830433767)
