# Created by Octave 5.1.0, Fri Sep 17 15:01:53 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.0373953327566108e-14


 (1,0) (0.16713320673384915,0.98593432398251601) (-0.027199571553477089,-0.99963002321224181) (0.92384984820942417,-0.38275508874922104) (-0.96453313467358126,0.26396180048778872) (0.16722169451060293,-0.98591931966312663) (-0.78751935154115915,-0.61628992442534092) (-0.8722098853468786,-0.48913179809043811) (0.36071512366381608,0.93267604212834698) (-0.36777161696100924,0.92991614555178281) (-0.22416702433322985,0.97455074018831112) (-0.52696274596603998,0.84988838347393048) (0.28879953727099023,-0.95738959012100322) (0.86264391998669321,-0.50581169155130401)
 (1,0) (-0.78716651856463749,0.61674052246534639) (-0.66102809765452397,-0.75036114912170226) (-0.6360977400757456,0.77160849209332161) (0.92384984820942406,-0.38275508874922115) (-0.69167178896423298,-0.72221197466603748) (-0.50292029668278382,-0.86433279191784773) (0.98465096245957717,0.1745350455565553) (0.92663128661753946,0.37597135351183919) (0.96378436937167455,0.26668275038862788) (-0.68631547899979473,0.72730396897396488) (-0.10935317550559148,-0.9940029592545705) (0.25833094901839587,0.9660564790835241) (-0.98269431922930139,-0.18523464836379994)
 (1,2.7755575615628914e-17) (0.18843452248947015,-0.98208575528523223) (0.35666805826082826,0.93423117921446519) (-0.66102809765452386,-0.75036114912170238) (-0.027199571553477131,-0.9996300232122417) (-0.99937746012206286,0.035280195577326839) (0.82271622959626567,-0.56845228960652827) (-0.98700320262057528,0.16070058499186612) (0.78577450628380152,-0.61851307607394057) (-0.30295851990400596,0.95300374354856232) (-0.99776406659985861,0.066834627268449409) (0.29158453298912612,0.95654506434433728) (0.99742877593146806,-0.071664753846319346) (-0.46727570709645661,0.88411165220095722)
 (1,-2.7755575615628914e-17) (0.99391999717784929,-0.11010467387892338) (0.18843452248947012,-0.98208575528523212) (-0.7871665185646376,0.61674052246534627) (0.1671332067338491,0.9859343239825159) (-0.99953826051754802,-0.030385288571176033) (0.98455091443793186,-0.17509853477237286) (0.85825014265047095,-0.5132316169532487) (-0.96450943999117755,-0.26404836709948715) (-0.50242555486342155,0.86462047270474851) (0.94638702388964102,-0.32303498419413934) (-0.98851230862260797,-0.1511403840857927) (-0.52943388047937434,-0.84835120451411605) (-0.36708984434044534,0.9301854902018778)


# name: N
# type: scalar
14


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 13
 (-1.1102230246251565e-16,6.6613381477509392e-16) (7.7715611723760958e-16,1.1102230246251565e-16) (0,0) (-2.2204460492503131e-16,0) (2.2204460492503131e-16,2.2204460492503131e-16) (0,1.1102230246251565e-16) (-1.1102230246251565e-16,-6.6613381477509392e-16) (6.6613381477509392e-16,2.2204460492503131e-16) (5.5511151231257827e-16,2.2204460492503131e-16) (-1.1102230246251565e-16,2.2204460492503131e-16) (-3.3306690738754696e-16,3.3306690738754696e-16) (4.0245584642661925e-16,-5.5511151231257827e-16) (5.5511151231257827e-16,-1.6653345369377348e-16)


# name: is_convergent
# type: scalar
6.0673035159632433e-15


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 14
 1.8015549248968998 1.8015549248968996 1.8015549248968996 1.8015549248968996 1.8015549248968998 1.8015549248968998 1.8015549248968996 1.8015549248968996 1.8015549248968996 1.8015549248968998 1.8015549248968998 1.8015549248968998 1.8015549248968996 1.8015549248968996


# name: spectrum
# type: scalar
3.7416573867739409


# name: x
# type: complex matrix
# rows: 1
# columns: 14
 (-1.4455749703376426,-1.0751340160899003) (-1.3213227670575616,1.2246249600084194) (1.1242197556427673,1.4077393538730067) (-0.533154917759465,-1.7208561767588748) (1.2792806880502345,-1.2684798258553398) (1.2993570223621693,-1.2479068378121789) (0.9430858876189232,1.5349883243837072) (1.5423642383989316,-0.93097406168397501) (-1.4091124364653262,-1.1224982355527449) (1.6245190299160441,-0.77880553982422951) (1.7394942185905677,0.4687856769465813) (0.21242001208079003,-1.788987950179618) (1.6192285848446035,0.78974612214458895) (-1.7958321621241966,-0.14348168141127568)


# name: x0
# type: complex matrix
# rows: 1
# columns: 14
 (-1.4455749703376426,-1.0751340160899003) (-1.3213227670575616,1.2246249600084194) (1.1242197556427673,1.4077393538730067) (-0.533154917759465,-1.7208561767588748) (1.2792806880502345,-1.2684798258553398) (1.2993570223621693,-1.2479068378121789) (0.9430858876189232,1.5349883243837072) (1.5423642383989316,-0.93097406168397501) (-1.4091124364653262,-1.1224982355527449) (1.6245190299160441,-0.77880553982422951) (1.7394942185905677,0.4687856769465813) (0.21242001208079003,-1.788987950179618) (1.6192285848446035,0.78974612214458895) (-1.7958321621241966,-0.14348168141127568)


