# Created by Octave 5.2.0, Sun Sep 19 15:40:22 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
8.6558123678288301e-15


# name: H
# type: complex matrix

# name: K
# type: complex matrix
# rows: 9
# columns: 9
 (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237)
 (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195)
 (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881)
 (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309)
 (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101)
 (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778)
 (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443) (0.97929451195895634,-0.20244075391844776)
 (0.97929451195895634,-0.20244075391844776) (-0.81312194211505195,-0.58209338361730778) (0.84680970199545502,-0.53189597536207101) (-0.24872513066562763,-0.96857411145217309) (0.36941793138542267,0.92926335985602881) (0.75481999756105123,0.65593198678059195) (0.94186477961628157,0.33599216794201237) (-0.77014729374773649,-0.63786608777472864) (0.1906437649262655,-0.98165928656267443)
