# Created by Octave 5.2.0, Fri Sep 17 14:17:28 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
8.2940857942169763e-14


# name: H
# type: complex matrix
# rows: 29
# columns: 29
 (1,0) (0.041032425514974324,-0.99915781539072068) (-0.49157922802850151,0.8708328557024605) (-0.98918497028604446,0.14667342826905264) (0.5434231167755369,0.83945894250639896) (0.29916926890547929,0.95420005687620912) (-0.32735915377506059,-0.94489998647458773) (-0.096997120653765589,-0.99528466208662081) (-0.0076658444353211452,-0.99997061698286582) (-0.96178262317394181,-0.27381414455913633) (-0.33713209699544777,0.94145735388038243) (0.9920401690902938,0.12592181269066005) (-0.24169596768716345,-0.97035202849469304) (-0.94552942089927206,0.32553665571466345) (-0.25106639108958678,0.96796986898624571) (-0.96779279297740928,-0.25174810795909813) (0.25050148567160924,0.96811621496404887) (0.99345851214963465,0.11419362783200288) (-0.72277379988557122,-0.69108467947059327) (0.96770729905555819,0.25207654265043516) (0.99787850950373747,-0.065103611809175677) (0.96728900337871782,0.25367692828202926) (-0.94269169650361173,-0.33366504962782906) (0.85375449477052479,0.52067577498778028) (-0.93622765767893901,-0.35139404234706073) (0.85288018844561042,0.52210667890478146) (-0.44405016726674618,-0.8960019246354185) (-0.35062583978731704,0.93651562745820682) (0.25502029786202207,-0.96693569986755801)
 (1,-5.5511151231257827e-17) (-0.45314254693947809,-0.89143806972397288) (0.14709647704712969,-0.98912214940336007) (-0.32146611426216543,-0.94692108297428057) (0.27163805104098265,-0.96239948525893193) (0.49275731703623971,-0.87016678085712185) (0.58394083328054114,0.81179622025951026) (0.93475632221196547,-0.35528948490598466) (-0.91219624679952394,0.40975359342519752) (-0.47986188482834879,0.87734404396963028) (-0.99630425316441507,-0.085894325345144518) (-0.33728411124674068,-0.94140290434037677) (-0.1370919376942164,-0.99055832772191954) (0.38760992825262036,-0.92182348826659777) (-0.78003102235050736,-0.62574084425648746) (0.22461220130023052,0.97444823311813966) (0.54211415892905468,0.84030484866424771) (-0.084625581268404415,0.99641282157295852) (-0.42408803387993238,0.90562096901510314) (-0.72277379988557133,-0.69108467947059338) (0.96728234169546545,-0.25370232841686241) (-0.90837295557350495,0.4181609422012717) (-0.076332429254739265,0.99708242399716862) (0.37185207337189241,0.92829199906550108) (-0.20266287189876209,-0.97924856923752801) (0.99762097253549498,0.068937617868142398) (-0.27947309344262239,0.96015352420413014) (-0.64127934374857798,0.76730750242741208) (0.83570554953589382,0.54917778039074905)
 (1,0) (-0.70114174617328084,0.71302191535259396) (-0.77301857821989661,0.63438338386727056) (0.5258698521470111,-0.85056504666185262) (-0.22650661962570956,-0.97400962585886908) (0.50505686926021642,0.86308606686301426) (-0.99181809197359672,0.1276592042660975) (0.82871202067358574,0.55967525118688388) (-0.5303617128165905,0.8477714630596217) (-0.23530472237540151,-0.9719216468562859) (0.99989674912271731,-0.014369797974261633) (-0.79886776099823564,-0.60150669193090955) (0.80241067668194699,0.59677223959130299) (-0.98364359421947256,-0.1801257326175166) (-0.46939907959303995,-0.88298612904009177) (0.12740999687027543,0.99185013620885076) (-0.98137512022562545,-0.19210120614441351) (0.84803120215489636,-0.52994629932826287) (-0.084625581268404471,0.99641282157295852) (0.99345851214963465,0.11419362783200282) (0.071792248314916596,0.99741960732777324) (0.81125033905635557,0.58469897159217521) (-0.59381515543250829,0.80460149215538079) (-0.82392166874045547,-0.56670370016432925) (-0.99344485144957939,-0.11431241021132443) (0.68393374158353337,-0.72954412966149496) (0.86752442898332038,-0.49739457688756872) (-0.43926834312993396,-0.89835589981024899) (0.56116598924332195,-0.82770328772849666)
 (1,0) (-0.72305359924353796,-0.69079193149671747) (-0.51898287745114047,0.85478463539802474) (-0.29123645733961845,-0.95665109936500281) (0.80322213869688319,0.59567960843662049) (-0.49978492190283408,0.86614954357696106) (0.92729690427948031,0.37432666390960251) (-0.47560354368353874,-0.87965974628583521) (-0.068910659724423437,-0.99762283503152871) (0.666321926838364,-0.74566419373227921) (-0.69384403697717412,-0.72012530322938828) (-0.50605217779019451,0.86250286570758827) (-0.04366476357519157,0.99904623938130288) (0.5867976384261242,0.80973361764071738) (-0.65934483506336194,-0.75184066694697205) (-0.96537107924966037,-0.26088058446029688) (0.274122184330925,-0.96169487263770037) (-0.98137512022562556,-0.19210120614441356) (0.54211415892905479,0.84030484866424793) (0.25050148567160929,0.96811621496404898) (0.74195596930137886,-0.67044861072124839) (-0.70046534813722383,-0.71368641297070945) (-0.10630963873999388,0.99433307332652476) (0.91172808694375762,-0.41079422522459613) (0.46810430421766647,0.8836732203551797) (0.8710651049484619,-0.49116757114158599) (0.9888989103590814,0.14858985527491894) (-0.95599597157019456,-0.29337979197886199) (-0.84213378226907287,0.53926866473139889)
 (1,-5.5511151231257827e-17) (0.93689711389976438,0.34960520300231734) (0.99209600765695172,0.12548112045697379) (0.8618358394568757,0.50718732814184242) (-0.81586135015401262,0.57824757442195251) (0.55326514377970892,0.83300521047495057) (-0.51393145378290184,-0.857831254275917) (-0.37963804483909452,-0.92513510089648499) (0.0067530108800806232,-0.99997719816206443) (-0.29949308776770506,-0.95409846995966052) (0.20400788594842861,0.97896924490550374) (-0.80962948235924426,0.58694130992349036) (-0.8885874707356709,0.45870721255674984) (-0.057498147901117125,-0.99834561299579072) (-0.35489086404218612,-0.93490773588594789) (0.9312977984897941,-0.36425871372976432) (-0.96537107924966015,-0.26088058446029672) (0.12740999687027543,0.99185013620885076) (0.22461220130023046,0.97444823311813977) (-0.96779279297740917,-0.25174810795909813) (-0.99802197488428313,-0.062866029364638087) (-0.27024380105733531,-0.96279192351726905) (0.12833020925135979,0.99173149460602583) (-0.21115446703358667,0.97745270527619998) (0.94019070148764206,-0.34064856499943613) (0.99873896614552948,0.050204357406085698) (-0.99885140411956852,-0.047915263626166882) (0.84615839118618608,0.53293149374493221) (-0.22062784544905256,-0.97535806441147987)
 (1,-5.5511151231257827e-17) (0.010039208943192712,-0.99994960587211312) (0.58650065299062848,0.80994875396012878) (-0.97250500905809067,0.23288196013629431) (-0.99073200955639884,0.13583109084572093) (0.57882207413916487,0.81545386533465747) (0.41296281817720537,0.91074788542336971) (0.99602867340408974,-0.089033037446156094) (-0.97272066507283672,0.2319795416416226) (-0.83889130437345016,0.54429897983241737) (-0.015190111778958293,-0.99988462359621377) (-0.4013797767621195,-0.91591171780166158) (0.39927958848886297,0.91682921540282736) (-0.7985356587640029,-0.60194750741434178) (0.99016860638021753,-0.13987898676733573) (-0.35489086404218612,-0.93490773588594811) (-0.65934483506336194,-0.75184066694697194) (-0.46939907959303995,-0.88298612904009166) (-0.78003102235050759,-0.62574084425648757) (-0.25106639108958673,0.96796986898624582) (-0.97513176022673997,-0.22162592401860298) (0.9843826533987714,0.17604201682437398) (0.99964603632398352,0.026604549643777398) (0.93248983640515215,-0.36119621399052904) (0.99828140105477692,-0.058602425786915102) (-0.98764645517223881,0.15669869044031676) (-0.26140586461000248,0.96522897487979264) (-0.11349734625954233,0.99353829940875449) (0.9537666040670163,-0.30054827393693329)
 (1,5.5511151231257827e-17) (-0.99569265526002493,-0.092715350731372825) (-0.77772124893584027,-0.62860930549402183) (-0.61786241788185625,0.78628622814416993) (-0.73141940756301249,-0.68192789225853823) (0.99853439324686977,-0.054120841670324105) (0.93090992525381355,-0.36524883444569534) (-0.10750676839929446,0.99420435260983431) (-0.9889272931220553,-0.14840083867109488) (0.7427626716499367,-0.66955478760400777) (0.20236599420833712,0.97930996338650145) (0.99022241378245357,-0.13949756715746564) (0.11342405225088054,0.99354666944788739) (0.70060174629734739,0.71355251599662051) (-0.79853565876400279,-0.601947507414342) (-0.057498147901117125,-0.99834561299579083) (0.5867976384261242,0.80973361764071727) (-0.98364359421947256,-0.18012573261751663) (0.38760992825262053,-0.92182348826659788) (-0.94552942089927217,0.3255366557146635) (0.95367065841310239,0.30085258064693399) (0.40807779144486078,-0.91294715954949146) (0.84724051729795802,0.53120947454717726) (-0.99137310491354169,0.13107008374943485) (-0.84824535963974612,0.52960344584381003) (-0.21279323203569062,0.97709725227318334) (-0.99025570927280482,-0.13926101483406506) (0.40144734282720768,-0.91588210536999437) (0.78333894545621829,-0.6215948009206147)
 (0.99999999999999989,0) (-0.89678015891368945,-0.44247637968454079) (-0.90359244284544626,0.42839315731299848) (0.69414376892901763,-0.71983638978383047) (-0.902106541318064,-0.43151336956247399) (0.36421205085526503,0.93131604840236804) (0.52672704115740043,-0.85003448407318727) (0.86530930401778883,0.50123827505513763) (0.65283919942816393,-0.75749652123953248) (0.99988804828446398,0.014962984257349488) (0.0036802137574764582,-0.99999322799041956) (-0.99931658007869395,-0.036964479975022724) (-0.86536922855274589,-0.50113481047920239) (0.11342405225088067,0.99354666944788739) (0.39927958848886286,0.91682921540282747) (-0.8885874707356709,0.45870721255674984) (-0.043664763575191418,0.99904623938130277) (0.80241067668194688,0.5967722395913031) (-0.13709193769421643,-0.99055832772191965) (-0.2416959676871635,-0.97035202849469326) (-0.085630023906556468,0.99632700405326946) (-0.76301323573409052,0.64638286030385494) (0.92032882930784687,-0.39114555595692058) (-0.71966195709160907,-0.69432461249409494) (0.99896602637777809,0.045462931526603911) (0.080358573804329286,-0.99676602049635221) (-0.7688268794093972,0.6394569801774066) (0.7937523305560642,0.60824110165033773) (-0.99998251635475044,0.0059132888327935729)
 (1,-2.7755575615628914e-17) (0.97875341900024859,-0.20504083689675981) (0.73707263898225439,-0.67581352817455154) (0.85216631826583444,0.52327102539052683) (-0.99310652347748807,0.11721532760888623) (-0.97391191735248361,-0.22692636964180471) (-0.90948306018392056,0.41574098094666123) (-0.70951605486479319,0.70468927045123897) (0.89436924312558908,0.44732947248192928) (-0.087412856133870676,-0.99617217015058146) (-0.087278160468801047,0.99618398034960509) (-0.91291057425718869,0.40815962981339904) (-0.99931658007869406,-0.036964479975022779) (0.99022241378245357,-0.13949756715746567) (-0.40137977676211944,-0.91591171780166181) (-0.80962948235924437,0.58694130992349036) (-0.5060521777901944,0.86250286570758827) (-0.79886776099823575,-0.60150669193090966) (-0.33728411124674074,-0.9414029043403771) (0.99204016909029391,0.12592181269066002) (0.88154915966735192,-0.47209223578638371) (0.99985967033798029,-0.016752302278363385) (0.8143864719322873,-0.58032290522921992) (0.65297832102251441,-0.75737659871072005) (-0.96118128445855167,-0.27591762974954903) (0.019192097602555747,-0.99981581473270087) (-0.078073922529996925,0.99694757265403888) (-0.66408444175322567,0.74765757818757306) (0.41689876190618358,0.90895292635047453)
 (1,0) (-0.21589856593755907,0.97641579730466499) (-0.83206158465735758,-0.55468326037251747) (0.62524719491885894,-0.78042677122590942) (0.99594489040484402,0.08996541155624227) (0.089263906189989639,-0.99600800953190349) (0.82698803882380023,0.56221951552962313) (-0.22741832079026514,0.97379715925285804) (-0.40695650683286616,-0.91344753628568642) (-0.088925876189407116,0.99603824652668127) (-0.39770914855760875,0.91751154388028344) (-0.087278160468801103,0.99618398034960531) (0.0036802137574766247,-0.99999322799041979) (0.20236599420833712,0.97930996338650145) (-0.015190111778958237,-0.99988462359621388) (0.20400788594842872,0.97896924490550397) (-0.69384403697717412,-0.72012530322938828) (0.99989674912271742,-0.014369797974261689) (-0.99630425316441529,-0.085894325345144573) (-0.33713209699544766,0.94145735388038265) (-0.95449782064532518,-0.29821789078344257) (0.98557913198638736,-0.16921517246676948) (0.47157278101166028,-0.88182714417788743) (0.60710941978895949,0.79461824318569008) (0.7974790976364875,0.60334657439393324) (-0.7792197629651334,-0.6267507965727378) (-0.90431722163727624,-0.42686105778137828) (-0.9388452888131017,-0.3443392566546013) (0.066463452612748442,-0.99778886016370838)
