# Created by Octave 5.2.0, Fri Sep 17 14:22:05 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
7.434870937648497e-14


# name: H
# type: complex matrix
# rows: 32
# columns: 32
 (0.99999999999999978,0) (-0.049510941679906106,-0.99877358127554072) (-0.87168428723708524,-0.4900678558975029) (0.9467573215452374,0.32194809224545601) (0.96313676633873402,0.26901221036705381) (-0.83628631990919211,-0.54829297928456211) (0.36070963438454062,0.93267816510421842) (-0.90177025319816373,0.4322156989824873) (-0.94329049095532735,-0.33196844680369553) (0.5836336720515749,-0.81201707916003529) (0.74823701461018477,-0.66343151113527832) (-0.23053563723417825,0.97306388277699052) (0.9970920071074274,-0.076207147712551826) (-0.97410574349780099,0.22609290233131329) (0.51316863550314806,0.85828780227604162) (-0.96773635846935735,0.25196495886624398) (0.99969220344341858,0.024809239699009167) (-0.8407836656685137,0.54137124743101928) (0.13259565122011963,-0.9911702140790517) (0.9480076830683607,0.3182474396493376) (0.068469176274411458,-0.99765323229081171) (0.26470308639444423,0.96432996222934797) (-0.62747440008461974,-0.77863719230360906) (0.15314964053624164,-0.98820300930710614) (0.76030041528021386,0.64957161154466603) (-0.94954235536144138,0.31363882950720084) (0.91941559603625445,0.39328737809049941) (-0.52782392319022198,0.84935381679726563) (-0.99184865131892019,0.12742155577781916) (0.98903241288594979,0.14769863324011323) (-0.98759422005065611,-0.157027566123074) (-0.64811366882487831,-0.76154361154326322)
 (1,0) (-0.77129338520765833,0.63647978281710627) (-0.78395370086927663,-0.62081929326766727) (-0.72325426722083552,-0.69058183073901758) (0.97063306891405465,0.24056484683029888) (0.99256224340504406,-0.12173821489880358) (-0.89964217211468434,0.43662794476851075) (0.81017578330353335,-0.58618700100608412) (0.52355300590634446,0.8519931044359641) (0.3030668640385028,0.95296929432268085) (0.020289392311983623,0.99979414909250719) (-0.4415248767237151,-0.89724900848878597) (0.59962899907073419,-0.80027811632796164) (-0.9997566711783008,-0.022058976279140767) (0.58405162915969089,0.81171651115146792) (-0.79661701379284822,0.60448435325967331) (0.53409710323396353,-0.84542313921319279) (0.73751478522987646,0.67533098667788816) (-0.99958185096903907,-0.028915795221820528) (-0.31686145638044833,-0.94847183271853774) (0.54380491623701066,0.83921166166614902) (0.99999997956986042,0.00020213925894094209) (0.26470308639444429,0.9643299622293483) (-0.2494348368606738,0.96839158513500589) (0.30636731692295166,-0.95191337164756329) (-0.41620594798964805,-0.90927037170362002) (-0.93990568620976922,0.34143418257483188) (-0.95587914757617953,0.29376020021275284) (-0.89010624573272568,-0.45575308151190064) (0.95319460813957391,-0.30235746892320292) (-0.67514738671345331,-0.7376828628984109) (0.71552186370168813,-0.69859033958741779)
 (1,0) (0.58234062983867907,0.81294488794695685) (0.99522982231307189,0.097558191755954593) (-0.83505547358543741,0.55016575323715089) (-0.67854143469857897,0.7345621290246287) (-0.083044082785149298,-0.99654587466627653) (-0.88471814827168282,-0.46612637569518139) (0.80159254970593741,-0.59787070864521763) (-0.78870834128253864,0.61476755964457575) (-0.90398253157907793,-0.42756938922224275) (-0.63477751537405092,0.77269496308410557) (0.31088878687064403,-0.95044629632510014) (0.9997703325930245,0.02143086715076703) (0.6897157204127331,0.724080261445888) (0.95376735478420727,-0.30054589158385864) (0.61755982951888111,0.78652390743359546) (-0.97196404548392223,-0.23512952661571063) (-0.22060495593017612,-0.97536324178177114) (0.98721528620062637,-0.15939253022590338) (0.35055666538266683,0.93654152302809579) (-0.91396199606086848,-0.40579979023705026) (0.54380491623701066,0.8392116616661488) (0.068469176274411514,-0.99765323229081182) (-0.74462292975190558,-0.66748535001727838) (0.88789968438526135,0.46003711857691798) (0.68644895549734919,0.72717799162007013) (-0.92476924904388069,0.3805283642815836) (-0.83187862817079039,-0.55495760918531789) (-0.95151998256638881,0.30758693531562742) (0.35427879542111518,-0.93513984789172799) (-0.42824212027238256,0.90366403404396634) (-0.033147070578789517,-0.99945048487258537)
 (1,-2.7755575615628914e-17) (-0.20740258376028825,0.97825567631859733) (0.83960641798920266,-0.54319523458084595) (0.94793374978075129,-0.3184675902295302) (-0.22938252675360304,0.97333635317917377) (0.31512155366365691,0.94905131916909735) (-0.97666302783538816,0.2147773965281542) (0.42988022883814986,0.90288592239222565) (-0.98817538198934951,-0.15332780057837964) (0.91730192857941095,-0.39819238041993349) (0.64204273252738653,-0.76666885264028239) (0.95997958400376338,0.2800699882100226) (-0.054558548342114849,0.99851057320531222) (-0.85138444834338345,0.52454220146622443) (-0.25504873432465996,-0.96692819956778064) (0.88545051187039092,0.46473367752774641) (-0.86809802493897681,0.49639280725756657) (-0.96050031848738338,-0.27827888562669506) (-0.28920797998944908,-0.95726628704369532) (0.2795865458833463,-0.96012049418862999) (0.35055666538266705,0.93654152302809579) (-0.31686145638044855,-0.94847183271853774) (0.94800768306836103,0.31824743964933766) (-0.32117791327252332,0.94701887416561437) (-0.97665642567331523,-0.21480741651773477) (-0.97119706026943708,-0.23827771638154449) (0.99364136774749678,0.11259143973182092) (-0.19267308903770386,-0.98126300284922041) (-0.16569042861364597,-0.98617781452729247) (0.39566575401797111,-0.91839458355185799) (-0.36308983156039976,0.93175413828833642) (-0.9170069437804852,-0.39887123869536517)
 (1,0) (-0.97262606774327365,0.23237584286292881) (0.18606220123957076,0.98253796734267995) (0.99139339200322429,0.13091654705323041) (0.99892117182464124,0.046438049921217306) (-0.28829036694772997,0.95754303523400108) (0.78167536207097732,0.62368552037962777) (0.018372731835389733,0.99983120711693352) (0.99567660096187216,-0.092887600340478049) (0.03694950230518923,0.99931713398670341) (-0.8266733491088929,0.56268212506981785) (-0.14956919265201232,-0.98875126124289991) (-0.40877746315253916,-0.9126340918564102) (0.57150065331077315,-0.82060161056712477) (0.47275780291159009,0.8811924079258775) (0.99619509381555515,0.087151219485544718) (-0.98273461483417868,-0.18502074696292392) (-0.79452646497691359,-0.6072295253454737) (-0.23031530376492348,-0.97311605723658179) (-0.28920797998944892,-0.9572662870436951) (0.98721528620062615,-0.15939253022590333) (-0.99958185096903895,-0.028915795221820473) (0.13259565122011963,-0.9911702140790517) (0.13844561686680651,-0.99037003749627317) (-0.80755732602607144,0.58978908533612318) (0.44787659455915962,0.89409538419907397) (-0.78594180458090213,-0.61830047696254831) (-0.99101858118991326,0.13372423765470043) (0.98407525314887723,0.17775234496336001) (-0.1093328097646139,0.9940051995381991) (-0.9996299147001001,0.027203559264736499) (-0.1039298238738191,-0.99458463275357167)
 (1,0) (-0.27624392585573865,0.96108755762823694) (0.11592689646499529,0.99325774835940506) (0.5124317559937579,0.85872795194354445) (0.85014683020674409,-0.52654569325883405) (0.5825446062093006,-0.81279873386740187) (0.97364780215254387,0.22805691693856109) (-0.18380299571856204,-0.98296310142592991) (0.74954079020548958,-0.66195815866120322) (-0.97355484274839776,-0.22845342667848731) (-0.95842548269401318,-0.2853429412527117) (0.80192805092041175,0.59742062330236834) (0.33415657128126808,0.9425175785467067) (0.79787340286517217,0.60282504344158727) (-0.9255540626137696,0.37861547403552631) (-0.35895279631351928,0.93335571462262223) (-0.29974420457287115,0.95401960767322702) (-0.95483046978583119,-0.29715109619277835) (-0.79452646497691382,-0.6072295253454737) (-0.96050031848738326,-0.27827888562669495) (-0.22060495593017621,-0.97536324178177103) (0.73751478522987635,0.67533098667788805) (-0.84078366566851381,0.54137124743101939) (-0.44609935932464334,0.89498344208713909) (-0.29979283947301139,-0.95400432567190674) (0.69865687898293471,-0.71545689279636282) (0.88883457856997405,0.45822820945281917) (0.80401982588729204,-0.5946024887100364) (-0.72973303410712875,-0.68373218363099242) (-0.82438525396943108,0.56602910970881837) (0.1888153734913787,-0.98201260416214187) (0.011496523778764324,-0.99993391278674271)
 (1,-2.7755575615628914e-17) (-0.16353135112820449,0.98653813773122012) (0.96033347568679972,0.2788541114549179) (0.55025044112441845,0.83499967188160262) (0.97335961198183629,0.22928381051127472) (-0.094604059863222956,-0.99551497821850798) (-0.90309140847886948,-0.42944837632904387) (-0.67711558348395406,-0.7358766789368888) (-0.53564659757766475,0.84444225528065098) (-0.87003039752789624,0.49299808050077759) (0.42702154120719898,-0.90424145190597671) (0.15846837442198272,0.98736405358310209) (-0.94470959469124605,-0.32790819095945423) (-0.81860038638390709,-0.57436348022146966) (-0.44861127230567233,-0.89372698647869331) (-0.93742074110273688,-0.34819872795631523) (-0.89215915234636389,-0.45172120482064837) (-0.29974420457287121,0.95401960767322702) (-0.98273461483417901,-0.18502074696292392) (-0.86809802493897692,0.49639280725756652) (-0.97196404548392235,-0.23512952661571057) (0.53409710323396342,-0.84542313921319279) (0.99969220344341891,0.024809239699009195) (0.93650596501034666,-0.35065164693758399) (0.096429541495262061,0.99533981309250041) (0.55350789507597953,0.83284392900984705) (0.027493861866687619,-0.9996219723273676) (-0.58739229047917996,0.80930235208210188) (0.99095439430398269,0.13419906262573983) (0.98977399011729517,-0.14264448284910705) (0.80394808354613467,-0.59469948626385882) (0.99361724268356177,0.11280414461320518)
 (1,0) (0.99803367309404101,0.062680039649129771) (0.065391393397069064,-0.99785969237643324) (-0.28156365122022142,-0.95954255263200183) (0.085041087022581285,-0.9963774453077604) (-0.83117408973810458,-0.55601225935048737) (0.36559104119671187,0.93077558551817641) (0.80709359540856274,-0.59042351600396048) (0.99546652262790558,-0.095112577123669217) (-0.78281391109696785,-0.62225588032020163) (-0.91856061983222959,0.39528013824809149) (0.10864026045623998,0.99408113039530177) (-0.84358079556009757,0.53700227314434434) (-0.37622562770828816,-0.92652807677668614) (0.82422189634143828,-0.56626695611815758) (-0.9843428822278899,-0.17626426242233881) (-0.93742074110273665,-0.34819872795631518) (-0.35895279631351934,0.93335571462262223) (0.99619509381555538,0.087151219485544662) (0.88545051187039059,0.46473367752774636) (0.61755982951888111,0.78652390743359535) (-0.79661701379284799,0.60448435325967353) (-0.96773635846935746,0.25196495886624398) (-0.13663537452334498,0.99062140822256872) (-0.85147762869508781,-0.5243909303485238) (-0.88689219282280773,0.46197644778706226) (0.13623192185361946,-0.99067697231139362) (0.077703042225704788,-0.99697654798338697) (0.26975163647254208,0.96292993235249758) (0.7597577324008955,0.65020626577806029) (0.27625131015119903,0.96108543514078193) (0.68561313525016221,-0.72796609040012539)
 (0.99999999999999989,0) (0.54775599677569065,0.83663813443822244) (-0.62763433488667753,-0.77850827977058656) (-0.91070463354046371,-0.4130581925684681) (-0.96638583865246108,0.25709611209036293) (-0.98026111371060964,0.19770723038583152) (0.32625824218978278,0.94528067757848155) (-0.49804049891303087,-0.86715377035590346) (-0.81072603886227135,0.58542573389857955) (-0.80725531242629134,0.59020238948985193) (0.13793863709849505,-0.99044077682383902) (0.99960721933710839,-0.028025114614120369) (-0.91640180686638439,-0.40025957624025221) (-0.35067498411090708,-0.9364972266476902) (0.62186327145106435,0.78312583383526535) (0.82422189634143828,-0.56626695611815769) (-0.44861127230567233,-0.89372698647869342) (-0.92555406261376971,0.37861547403552626) (0.4727578029115902,0.88119240792587772) (-0.25504873432465985,-0.96692819956778031) (0.95376735478420738,-0.30054589158385864) (0.58405162915969089,0.81171651115146792) (0.51316863550314817,0.85828780227604151) (0.70748813243171771,-0.70672522416302663) (0.91913007225462451,0.39395419819721189) (0.88972952125479043,-0.45648809295284121) (0.38886203407073261,0.92129599937173978) (0.89805883710780798,-0.4398753517674886) (0.10501494043683643,-0.99447064425504683) (-0.94199010763580493,0.33564063686670076) (-0.99745896831796421,0.071243291067033129) (-0.45292651594175859,0.89154785129955905)
 (1,0) (-0.29005012048737749,-0.95701145636050666) (-0.51008636927824047,0.8601231864544423) (0.99946413398153466,-0.032732932721365515) (0.67178601450083075,-0.74074526709327704) (-0.25589938909547749,-0.96670342021768108) (-0.74165935482566847,-0.6707767150099756) (0.19279705908377015,0.98123865293242973) (-0.22774258692113708,-0.97372137395790392) (-0.64018478566979231,0.76822095792611811) (0.77019724559650293,0.63780577206196598) (0.71883453704141154,-0.69518120541083417) (0.70187535547909019,-0.71229978616527845) (-0.78691184606768605,0.617065431310446) (-0.35067498411090714,-0.93649722664769042) (-0.37622562770828816,-0.92652807677668625) (-0.81860038638390709,-0.57436348022146955) (0.79787340286517217,0.60282504344158738) (0.57150065331077327,-0.82060161056712499) (-0.85138444834338334,0.52454220146622443) (0.6897157204127331,0.72408026144588822) (-0.9997566711783008,-0.022058976279140774) (-0.97410574349780132,0.22609290233131335) (0.70584870946343781,0.70836261854279103) (0.22952787813434034,0.97330208730853307) (0.94417552157107243,-0.32944283945169228) (0.10760842792138528,0.99419335455447932) (0.7608902504001569,-0.64888059521454877) (-0.98984530426045214,0.14214877288789401) (-0.94877536540522567,-0.31595142981189583) (-0.67040316036764946,0.74199703676569184) (0.57021123383908356,0.82149811247726612)
