# Created by Octave 5.1.0, Fri Sep 17 15:12:27 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.1976854801228385e-13


# name: H
# type: complex matrix
# rows: 24
# columns: 24
 (1,0) (0.027158749512536107,-0.99963113313107366) (0.99991589048312046,0.012969655328773533) (-0.84140823049549873,-0.54040002743748361) (-0.67092895165850497,-0.74152163948627914) (-0.77286560750002198,0.63456973828226326) (-0.98058663730518614,0.19608632471058957) (-0.30013458795132342,0.95389686503064286) (0.80722075860390863,-0.59024964792783097) (-0.41078411565172224,0.91173264191221759) (0.31896306053775608,0.94776714756968972) (-0.92393149890895288,-0.38255795028185596) (0.91323508217092209,0.40743304320129481) (0.59333594411518142,0.80495494123643097) (-0.93346315633145349,-0.35867329949651983) (-0.15252862836986525,0.98829905267970819) (0.99452809441393175,0.10446946645500405) (0.53316491989154247,0.84601132864580753) (-0.67907134887928744,-0.73407227377913165) (0.57061737302250182,-0.82121605780994011) (-0.38913810383073671,-0.9211794266846276) (0.86927895334105976,0.49432186000446271) (0.38448520553762838,-0.92313115358690367) (-0.95706316474753561,-0.28987945543523874)
 (1,0) (-0.2809725063821954,0.95971581765505287) (0.99972114955781344,-0.023614045117327519) (-0.72890615380602286,-0.68461362748904564) (0.41789819289207847,0.90849386369833796) (-0.96532893918000284,0.26103647097984084) (-0.62534380947849677,-0.78034935762575031) (-0.60740787856321321,0.79439012396890729) (-0.71268869332996343,0.70148045332683939) (0.0090298048015646018,-0.99995923048154534) (-0.58000602077273633,-0.81461218740415076) (0.62674626502909969,-0.77922340780553601) (-0.36055525902255076,0.93273785448601843) (0.10570880444845354,-0.99439712824508786) (0.5933359441151812,0.80495494123643074) (0.81126057474836832,0.58468476964852401) (-0.11627645653373259,0.99321688752052539) (0.95886455783710867,0.2838639810258522) (-0.25515393096192068,-0.96690044550340248) (-0.31754644518878244,-0.94824271953333117) (0.9916845268816592,0.12869265380548969) (-0.051712959561435137,-0.99866198977101261) (-0.93198340587159356,-0.36250093955738194) (0.01963263834131955,0.99980726118175289)
 (0.99999999999999989,0) (-0.82615794717405611,-0.56343859143756625) (0.52077945665180059,-0.8536912542186752) (0.85792746702264844,-0.51377082568797283) (-0.99783824616405647,-0.065717839984577142) (-0.34662375061942308,0.93800425132646503) (0.99810832259724835,0.061479885833555459) (0.46914411842867298,-0.88312162024478968) (-0.1155196617784959,-0.99330519365529368) (-0.98443614055389872,-0.17574266747532702) (-0.75227680237800665,0.65884718456097191) (-0.76676853845367665,-0.64192367804717432) (0.82341609554898054,-0.56743804383462959) (-0.36055525902255081,0.93273785448601843) (0.91323508217092209,0.40743304320129486) (0.99796439746770271,-0.063773516344363901) (-0.78434527007996535,0.62032450967472386) (-0.81767487284084583,-0.57568029523747544) (0.78697243177539944,-0.61698816165750925) (0.88741762290607895,0.46096633559916655) (0.4685184071577505,0.88345373515219472) (-0.71087748772172032,0.70331585894991422) (-0.9932917849794034,-0.11563489911108804) (-0.2671176399611056,0.96366392815213742)
 (0.99999999999999978,-5.5511151231257827e-17) (-0.95278783149080293,-0.30363686891260822) (0.84111011735193597,0.54086391124589872) (-0.25536864555845229,-0.96684375928359834) (0.052854476491382807,-0.99860222527031273) (-0.84681368262708567,-0.53188963790954857) (0.37977132164497657,-0.92508039826602484) (0.59351468691597609,0.80482315847335684) (0.53987187484621413,0.84174720596508801) (0.52125424505237783,-0.85340143661402068) (0.74576989465649479,0.66620362069268191) (-0.30164790124450874,0.95341939547860122) (-0.76676853845367654,-0.64192367804717421) (0.62674626502909947,-0.77922340780553589) (-0.92393149890895276,-0.38255795028185591) (0.64497211326435555,-0.76420610643419395) (0.076627754387472768,0.99705977115593858) (-0.44600355288391702,-0.89503118985593044) (-0.80842203563401283,0.58860327241815313) (0.21613458877828151,0.97636357958172626) (-0.99969799876485754,-0.024574606111557984) (-0.99328496602333716,0.11569345820753263) (0.78485103567575454,0.6196844776163879) (0.27124827749528158,0.96250941395699718)
 (1,0) (-0.65727587593797809,-0.75365006661577505) (0.67743990998021619,0.73557811846600973) (0.95216209723981693,0.30559342365285286) (-0.63767903521593983,-0.77030217969707582) (0.88802637597959422,-0.4597925136021086) (0.4162304530152367,0.90925915446737693) (0.97188165838225449,0.23546983267534932) (-0.91232826079168405,-0.40945957622312268) (-0.5963157369536809,0.80274998714505552) (-0.99718427819848188,-0.074990101438590862) (0.74576989465649479,0.66620362069268213) (-0.75227680237800665,0.65884718456097202) (-0.58000602077273622,-0.81461218740415087) (0.31896306053775592,0.94776714756968961) (-0.93875490980459853,0.34458557618936864) (0.33122844594474565,0.94355059037500866) (-0.78055153691150814,-0.62509143189223204) (-0.9167914009414958,-0.39936640714978555) (0.35490877123324671,-0.93490093812216624) (-0.12692673830890927,-0.99191209444298045) (0.80834026409956983,-0.58871556581717499) (-0.30194562147666248,0.95332515002546292) (0.73308528662275119,-0.68013672341466536)
 (1,0) (0.97039412272283787,-0.24152690654453793) (-0.96267645063459328,-0.27065485658598648) (-0.86183511093713183,0.50718856607378349) (-0.34343185023749212,0.93917759994713013) (0.68080614003901485,0.73246365076034681) (0.54481469153106266,-0.83855646911338777) (-0.10767417308026209,-0.99418623630156966) (0.1961651733430767,-0.98057086677469618) (0.86102565534660158,0.50856152118986986) (-0.5963157369536809,0.80274998714505563) (0.52125424505237783,-0.85340143661402079) (-0.98443614055389883,-0.17574266747532696) (0.0090298048015645671,-0.99995923048154534) (-0.41078411565172213,0.9117326419122177) (-0.82773555889470474,0.56111838727782737) (0.79385956215534104,0.60810113926429199) (0.77556259600737742,-0.63127067069070808) (0.43571510251446877,-0.90008463459877197) (-0.30070831913932861,0.95371615630668627) (-0.60050836551668429,-0.79961847336369174) (-0.95292461184802257,0.3032073286289344) (0.96470474546639184,0.26333392123808103) (-0.80430140553259366,0.59422154880001909)
 (1,0) (-0.93744099831117178,0.34814418663156349) (-0.59372559884754805,0.80466757936002375) (-0.36606658632067357,0.93058866013912278) (0.56758055450295186,0.82331786944661911) (-0.18054021642219759,0.98356760329639947) (-0.98135349763749569,-0.19221163511778547) (0.70748185745380532,-0.70673150585898736) (0.96644358406272124,-0.25687895753447654) (0.19616517334307676,-0.98057086677469618) (-0.91232826079168416,-0.40945957622312262) (0.53987187484621424,0.84174720596508812) (-0.11551966177849587,-0.99330519365529368) (-0.71268869332996343,0.70148045332683939) (0.80722075860390863,-0.59024964792783086) (0.99917751057671811,0.040549998245522183) (-0.95590337698466654,-0.29368134749981861) (-0.19516873271409829,0.98076968028725875) (-0.85171957808538878,-0.52399786288309003) (0.97279524318893462,0.23166660274838935) (-0.72646898107825364,-0.68719925751642319) (0.59255045351412594,-0.80553333887568179) (0.88872626438656388,0.45843824773845204) (-0.70908909217738292,-0.70511889731807165)
 (1,-5.5511151231257827e-17) (0.20227720654842807,0.97932830639727975) (-0.78012085654643126,-0.62562884299020438) (0.77599716293314835,-0.63073639749082555) (0.43950008237374333,-0.89824254942274462) (0.81347790563037081,-0.5815958193206201) (-0.95678044581089328,0.29081124206933195) (-0.52701470199517964,0.84985616658404672) (0.70748185745380532,-0.70673150585898736) (-0.10767417308026211,-0.99418623630156955) (0.97188165838225438,0.23546983267534921) (0.5935146869159762,0.80482315847335695) (0.46914411842867276,-0.88312162024478968) (-0.60740787856321332,0.79439012396890729) (-0.30013458795132342,0.95389686503064264) (-0.65075891645633921,0.7592844214473059) (0.88490092570731071,-0.46577929503397275) (-0.99997369602052721,0.0072530867253004505) (0.012269519417166697,-0.99992472661359399) (-0.8840194762011151,-0.46745006759771135) (0.66903248676866967,0.74323316102561598) (-0.81556205462145615,-0.57866962514169429) (0.00037317374830903027,0.99999993037067458) (-0.91040399706111441,0.41372039124890259)
 (1,0) (-0.84440043338965076,0.53571252373952349) (-0.89329327506196021,-0.44947427593698508) (-0.53700455363371846,0.84357934385370692) (-0.82142614415898341,-0.57031490397157336) (0.076174653499329337,-0.99709449008820406) (-0.11159536439947598,0.99375372937390682) (-0.95678044581089328,0.29081124206933179) (-0.9813534976374958,-0.19221163511778544) (0.54481469153106266,-0.83855646911338777) (0.41623045301523676,0.90925915446737682) (0.37977132164497668,-0.92508039826602495) (0.99810832259724847,0.061479885833555459) (-0.62534380947849666,-0.78034935762575042) (-0.98058663730518614,0.19608632471058957) (0.95890479342362922,-0.28372803377387096) (-0.98417119968336908,0.17722034226859351) (0.91338079969081865,0.40710626961047985) (0.5253118113303834,0.85090980772158831) (0.91530456506906488,-0.40276240286765791) (0.66600098887569281,-0.74595085817806972) (-0.32942183297993344,0.94418285091190923) (0.37014648982597864,0.92897339901070763) (0.30122830303574222,-0.95355204863195964)
 (1,0) (0.9629858728516677,0.26955186641555606) (-0.80919870693373896,0.5875350650784712) (0.93036259078951522,-0.36664076377214261) (-0.43229874421481929,-0.90173044517210832) (0.48330125112269406,0.87545411111219107) (0.076174653499329281,-0.99709449008820417) (0.81347790563037092,-0.58159581932062021) (-0.18054021642219753,0.9835676032963997) (0.68080614003901485,0.73246365076034703) (0.88802637597959433,-0.4597925136021086) (-0.84681368262708601,-0.53188963790954868) (-0.34662375061942313,0.93800425132646514) (-0.96532893918000295,0.26103647097984084) (-0.77286560750002198,0.63456973828226326) (0.048381499340505257,-0.99882892955779135) (-0.32985086313091039,-0.94403305455465492) (0.00687992228791863,0.99997633305459277) (-0.6531480048622641,0.75723027128109621) (0.98999072293314094,-0.14113245022430135) (0.61798485787885671,-0.78618999957545121) (-0.48457857093698414,-0.87474773997345601) (-0.9842516321457615,-0.17677308793592866) (-0.69287307377939833,0.72105957009909172)
