# Created by Octave 5.1.0, Fri Sep 17 15:44:32 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.2803096059564751e-13


# name: H
# type: complex matrix
# rows: 35
# columns: 35
 (1,1.1102230246251565e-16) (0.92711339136522142,-0.37478094875710805) (-0.87172253296317792,0.48999982196349973) (0.72154225920853055,-0.69237039810801404) (0.46099174627346567,0.88740442294803845) (0.032622189767658238,0.99946775472486515) (0.76966725117912449,-0.63844523842093981) (-0.97655202244268802,-0.21528155393134565) (-0.34496686156350764,0.93861486479973455) (0.93271113572382747,0.36062437146810672) (-0.89131706341096406,-0.45338051620295022) (-0.97470891066445264,0.22347827516632512) (0.88354489847982343,-0.46834646616610337) (0.77846186207845314,0.62769190634366701) (-0.94051222532902545,0.33975984754918298) (-0.96887244294940389,-0.24756047603212913) (0.93724523881526467,0.34867085097282846) (-0.8954014153308919,0.44525981788550734) (0.68412599238373739,-0.72936385058828235) (0.94157552362508512,0.33680191999177606) (-0.710727395387592,-0.7034675326165174) (-0.32056932702061824,0.94722505592575401) (-0.40303564506358835,-0.9151842813380151) (0.18045344692888593,0.98358352644373004) (-0.46390134604055222,-0.88588686701054808) (-0.95950075370064325,-0.28170605894779244) (0.96128525372026519,-0.27555518681375718) (0.98204687584300632,-0.18863704208609344) (0.028937021142752872,-0.99958123672235033) (-0.85679090270555158,-0.51566398850511619) (0.17668288639815893,-0.9842678282124302) (-0.30634431100702314,-0.95192077564975497) (-0.59602749253264853,0.8029640266819198) (0.48483467800238361,0.8746058169291604) (-0.40289100282331675,0.91524796631515226)
 (1,0) (0.62283200379739889,-0.78235560651516811) (-0.84823878333099001,-0.5296139787176718) (-0.55301704591106193,0.83316993880708612) (-0.9576026867083296,-0.28809216304680801) (0.26972261978693685,0.96293806050818853) (0.088044438585331508,0.99611654781666747) (-0.44825655105808648,-0.89390495268429349) (0.13374405007902046,-0.99101590757588753) (-0.52285894528640009,-0.85241921806936838) (-0.055851969910487076,0.99843906046243824) (-0.43224042243760674,0.90175840290565568) (-0.89831044660854464,-0.43936128813762776) (0.97888575817566614,0.20440810267905629) (0.75813925038520835,0.65209269051673457) (-0.89774666823452554,-0.4405121107004995) (0.95515249811861702,0.29611434503881351) (0.23167764251448064,0.97279261405447148) (0.78346720845923601,0.62143312855776545) (-0.84784600454813819,0.53024254126933124) (0.45039568321115708,-0.89282905897196008) (0.95451964189299288,0.29814803913572002) (0.26233163671656567,-0.96497777817813435) (-0.48977348877388061,0.87184971737924144) (-0.43553928051360991,-0.90016972573492349) (-0.46390134604055244,-0.88588686701054808) (-0.97396040859790967,0.22671815649345783) (0.70308642581891356,0.71110440712260048) (-0.91719245232523217,0.398444482202511) (0.69650047641886836,0.71755632973884953) (-0.95494988682329818,-0.29676710339282736) (0.70955261034101536,0.70465246267805737) (0.54605830032304425,-0.83774717704586021) (0.40820526639582611,-0.91289016890681407) (0.14497087608837494,-0.98943592267825475)
 (0.99999999999999989,0) (-0.80846964354695383,0.58853787937826141) (0.95139663042767175,0.30796826396703897) (0.93778213850365166,0.34722422251841711) (-0.94229436382492882,-0.33478550133447127) (0.71969649226858845,0.69428881527523489) (-0.05941073709036282,-0.99823362211377198) (-0.91764072024697863,-0.39741100707530386) (-0.96148035473180704,0.27487365727693719) (-0.47860835781287048,-0.87802849602485378) (-0.82867065819033137,0.55973649180163521) (-0.95489443013341568,-0.29694549550410532) (0.98483748736553578,-0.17347946126137359) (0.15284018099278163,0.98825091908588369) (-0.87429948965628834,-0.48538685848172047) (0.20999080074465792,-0.97770336176297212) (-0.71384751864892015,-0.70030116387078745) (-0.020141309759041048,-0.999797143245164) (-0.91974209669066198,0.39252321660643852) (0.36397389275651387,0.93140915036930483) (-0.16524518946000546,-0.98625251703624439) (0.25600336943976892,-0.96667588923872838) (0.8722319827073417,0.48909239243973301) (0.99401004475483212,-0.10928875022845168) (-0.48977348877388066,0.87184971737924144) (0.18045344692888607,0.98358352644373015) (0.66499168658048413,0.74685075937488565) (0.44401826669204292,0.89601773355430459) (0.66730538182082433,0.74478421532210537) (-0.58972311861019777,0.80760549984300023) (-0.67561313579352245,-0.73725632635009819) (-0.92261781194608306,0.38571540425529011) (0.36098967999206955,-0.93256981022292573) (0.5881619505330743,-0.80874317304390808) (0.97378899240752514,-0.22745328809656051)
 (1,-1.1102230246251565e-16) (0.25157184041870112,0.96783862761740813) (-0.81757775304024782,0.57581821587516646) (-0.46573591363801431,0.88492375872035733) (0.88469769357334105,0.46616519709863857) (0.92893284221641614,-0.37024826083552642) (-0.97702742202542914,0.21311362370891451) (0.72590670607665342,-0.6877931768147636) (0.56530396089193624,0.82488267759717826) (0.51132701064309583,0.85938622759897454) (0.16720122944695259,0.98592279052237486) (-0.99964919752987191,-0.026485503164641544) (0.99848237838796372,0.055072134956932584) (-0.91801712764744259,0.39654073352675856) (-0.86659914066980548,-0.499004939244448) (0.92755710256232771,0.37368144386118574) (-0.61677214608354602,-0.78714174061314846) (0.6748759015445468,0.73793124172543045) (0.1841735781838108,-0.98289373438789074) (-0.47878179994706782,0.87793393147744703) (-0.38507977122319148,0.92288329153511928) (-0.99999981052144116,-0.00061559490179297072) (-0.66587693470185594,-0.74606159788053861) (0.87223198270734192,0.48909239243973301) (0.26233163671656562,-0.96497777817813446) (-0.40303564506358863,-0.9151842813380151) (-0.99866948249781151,0.051568059179629921) (-0.5512895252102904,-0.83431400527224353) (0.99935244821338087,-0.035981721052812499) (0.6325928295495219,-0.77448454600626448) (-0.51106414188383864,-0.85954257770080011) (-0.48525684728334317,0.87437165562741737) (0.90744137209541487,-0.42017871936783263) (-0.69999456376195679,-0.71414817139281983) (0.34644670950077205,-0.93806965491699423)
 (1,5.5511151231257827e-17) (-0.66928804022975474,0.74300304118180627) (-0.68082962396276769,0.73244182235500155) (0.51872491412605304,-0.85494120468305834) (-0.99950185002261671,-0.03156028836000041) (-0.73042555772487894,-0.68299231666417726) (-0.93090482029288701,0.36526184519529076) (0.073727667651155182,-0.9972784119907141) (-0.70355369427856629,-0.71064210350005486) (0.99175746932774889,0.12812931761552454) (0.70463224432783433,-0.7095726884918262) (-0.99147402681879071,0.13030446709046983) (0.71954426748547695,0.69444657615167726) (-0.69002684219878418,-0.72378377782675807) (0.95076662794705102,-0.30990775915132085) (0.18357574582147373,0.98300556740340495) (0.88028770137323353,0.47444026263696121) (-0.36822513185687539,0.92973665748371248) (-0.43688365388497891,0.8995180225921604) (0.48348254482907693,-0.87535400201609881) (-0.77514637686005095,-0.63178168257772094) (0.021324103932627125,0.99977261544386753) (-0.99999981052144105,-0.00061559490179302623) (0.25600336943976887,-0.96667588923872816) (0.95451964189299265,0.29814803913572013) (-0.32056932702061819,0.94722505592575401) (0.76317805612864487,0.64618825015911852) (0.47173681581346039,0.88173940402262641) (-0.67654625997843953,-0.73640013451192854) (0.71473819395154248,-0.69939210326317391) (-0.48408071875222902,0.87502334696413941) (-0.99171823435541739,-0.12843264245110603) (0.99348119785930644,-0.1139960942315052) (0.83049147022580594,-0.5570313437161134) (-0.062798063374156721,-0.99802625378115961)
 (1.0000000000000002,-2.7755575615628914e-17) (-0.91271088332337791,0.40860597580439073) (-0.83521509937418781,-0.54992339264425194) (0.68432806093803611,-0.72917426244539618) (0.87319408493677153,0.48737263980596396) (0.75503698526527296,0.65568220265729893) (0.38661896651766431,0.92223954303034206) (0.32523594562753388,-0.94563289900032776) (-0.89225867534312053,-0.45152459099692432) (-0.93393862386715154,-0.35743341596601119) (0.28876738457752876,-0.95739928849161648) (0.32872895931259516,0.94442430681831691) (0.51729787767437296,0.85580541348696049) (0.35941815906267394,-0.9331766107956192) (0.24958977692765433,0.96835166300946818) (-0.56921353021548227,-0.82218973298115805) (-0.33664384285790189,0.94163205290913066) (0.37267161151545836,-0.92796329128391231) (-0.91477297509751376,-0.40396832057878396) (-0.92767946275543589,0.3733775761635747) (0.44839114234314603,0.893837448011779) (-0.77514637686005095,-0.63178168257772083) (-0.38507977122319159,0.92288329153511928) (-0.16524518946000546,-0.98625251703624428) (0.45039568321115708,-0.89282905897195997) (-0.710727395387592,-0.70346753261651729) (0.28553514160782878,-0.95836823972155727) (0.62842800275590893,-0.77786775569644218) (0.23166889525659018,0.97279469723605649) (-0.87478873196825557,-0.48450456594481239) (-0.85898579445076417,0.51199941887836953) (-0.016345945272462775,0.99986639611157546) (0.07542130550275955,0.99715175709430526) (0.98947541462504196,0.14470108449006408) (0.8585488997984998,0.5127316907065389)
 (1,-5.5511151231257827e-17) (0.85322040790750187,0.52155051100555494) (-0.38728923780190905,0.92195826710476159) (-0.014142887118113623,-0.9998999843704186) (0.11593700660400902,-0.99325656831440146) (-0.55752017344321003,0.83016339126936445) (-0.51058500594764156,0.85982728015657117) (0.28881637735681964,0.95738451009533443) (-0.12441372924854005,0.99223042886945945) (0.52916974455253063,0.84851598773989445) (0.99746435665246436,-0.071167810194530612) (0.1451557132967938,-0.98940882293281551) (-0.97554230824608967,-0.21981174859840794) (-0.99966469950994008,-0.025893793729394488) (0.96223191019348842,0.27223106179381845) (-0.91026038198990911,-0.41403627495617357) (-0.77834007529673488,0.62784291601249431) (-0.36188972236437233,-0.93222091204125901) (-0.17958553549279754,-0.98374236232957113) (-0.52325455150268119,0.8521764338044836) (-0.92767946275543589,0.37337757616357475) (0.48348254482907699,-0.87535400201609892) (-0.47878179994706782,0.87793393147744692) (0.36397389275651382,0.93140915036930472) (-0.84784600454813819,0.53024254126933124) (0.94157552362508534,0.33680191999177589) (0.1418162765983384,-0.9898929960817906) (0.32847332326376172,0.9445132481358105) (-0.9441488667702409,-0.32951922155842595) (0.40214947988442096,-0.91557402531345788) (0.1411565680792522,-0.98998728440727302) (0.99838259510706739,-0.056852385941814187) (-0.70974603627447319,-0.70445763818179641) (0.91421062957602817,-0.40523934257448674) (0.62347412797414292,-0.78184398171686553)
 (1,0) (-0.4021394248860326,0.91557844172541014) (0.33191056910215094,0.94331085762768851) (-0.32739108686814794,-0.94488892269900804) (0.7063685169945273,-0.70784427538756767) (-0.063657725712266966,0.9979717901609948) (0.27381752039783802,-0.96178166208510096) (-0.87516357159989389,-0.48382716226408451) (0.80546928523039485,-0.59263752037011397) (0.86046059892933147,0.50951698469253826) (0.42739859638314337,-0.90406329413914233) (0.3460067897448631,0.93823200832760678) (-0.53747031277928925,0.84328267080554442) (0.79219807481181026,0.61026404962480096) (0.97989704253277798,-0.19950384967592494) (-0.68219453983911826,-0.73117071181338611) (-0.9761501050608965,-0.21709668903417123) (0.9990514948143514,0.043544353356191334) (0.48226268343061424,-0.87602665722585338) (-0.17958553549279743,-0.98374236232957113) (-0.91477297509751376,-0.40396832057878407) (-0.43688365388497885,0.89951802259216029) (0.18417357818381105,-0.98289373438789063) (-0.91974209669066198,0.39252321660643841) (0.78346720845923601,0.62143312855776567) (0.6841259923837375,-0.72936385058828235) (-0.90927182581847354,0.4162027712218393) (-0.81575073316781865,0.57840361456008105) (0.72651593118705782,0.68714962106618516) (-0.75037928465622217,0.6610075106674782) (0.085015924303419865,0.99637959263266429) (-0.88353359258468245,-0.46836779433945341) (-0.83994518836853416,-0.54267124535629097) (-0.95381805356943206,-0.3003849541588588) (0.99970989918769471,-0.024085627791904041)
 (1,0) (0.44365924046284994,0.89619555809651597) (-0.22225162271784826,0.97498934158240003) (-0.93149584748293257,0.36375195686353679) (-0.39730033684772809,-0.9176886412834584) (0.14119941650807122,0.98998117395119078) (-0.90177754689807199,-0.43220048115486226) (0.8097839894863893,-0.58672812304465682) (0.65171741809707617,0.75846186914628722) (-0.89028609623861144,-0.45540165441532321) (-0.78979077799230957,-0.61337633390790425) (0.75574831296714984,-0.65486218966077592) (-0.7208844013979212,-0.69305532233809375) (0.12832199131685018,-0.99173255797340765) (-0.90309032912779807,0.42945064610015898) (-0.86277876446574464,0.50558164878381584) (-0.96599342078623307,0.25856664711000643) (0.99771287607679371,0.067594503552955154) (0.99905149481435129,0.043544353356191223) (-0.36188972236437239,-0.9322209120412589) (0.3726716115154583,-0.92796329128391219) (-0.36822513185687522,0.92973665748371248) (0.6748759015445468,0.73793124172543034) (-0.020141309759041159,-0.99979714324516378) (0.2316776425144807,0.97279261405447137) (-0.89540141533089179,0.4452598178855075) (0.77889927583733942,0.62714903978246372) (0.88183103521163353,-0.47156550482152232) (0.38762635506177845,0.92181658092134589) (0.38653330661122648,-0.92227544848607435) (-0.50024032080377678,-0.86588661003744227) (0.81802022424723309,-0.57518945811141708) (0.97028033898032606,0.24198360231268479) (-0.71338583061935956,0.70077147250121774) (-0.98467755656403899,0.17438494659538048)
 (1,0) (-0.3036150220296111,-0.95279479343558471) (-0.4778570541523493,-0.87843761064564951) (0.94230292417289208,0.33476140622123163) (0.95647256908451661,-0.291822248276008) (-0.92589864951591438,-0.3777720090538792) (0.92385966182662038,0.38273140091923652) (0.30148316987443341,0.95347149841118084) (0.99282154632444608,-0.11960508832794242) (-0.521407264389668,0.85330795416524852) (-0.73187859660618937,-0.68143504446847603) (0.33734200075993515,0.94138216178302647) (0.52798259110786627,-0.84925519338242605) (-0.88784572233188275,-0.46014125367866926) (-0.73142431728498736,-0.68192262617117372) (-0.81277555202256135,0.58257694945339245) (0.11013504555209874,-0.99391663218865378) (-0.96599342078623329,0.25856664711000643) (-0.97615010506089661,-0.21709668903417118) (-0.77834007529673499,0.62784291601249453) (-0.33664384285790194,0.94163205290913077) (0.88028770137323376,0.47444026263696121) (-0.61677214608354614,-0.78714174061314857) (-0.71384751864892038,-0.70030116387078756) (0.95515249811861713,0.29611434503881373) (0.937245238815265,0.34867085097282835) (0.37628972166461111,0.92650204822740068) (0.71980103720898536,0.69418042815457404) (0.12086073320606666,0.99266947327340116) (-0.82104868794144692,0.57085817155369556) (-0.73417382933580599,-0.67896155142864845) (0.62129642444158328,-0.7835756204579778) (0.76182186252636619,-0.64778657733613043) (-0.57802531376711275,0.81601883351086368) (0.44854239205422597,-0.89376155798416002)
