# Created by Octave 5.1.0, Fri Sep 17 15:10:58 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2664474571133143e-13


# name: H
# type: complex matrix
# rows: 23
# columns: 23
 (1,0) (0.78344992791348911,-0.62145491425553101) (-0.9599666899574687,0.28011418059802456) (0.92092059039502283,0.38975026130393114) (-0.64124790094322481,-0.76733377974380168) (0.076500086557996366,0.99706957468203827) (-0.90938266310090665,-0.41596054145976896) (0.95250532446011538,0.3045219316816612) (0.383996178840319,0.92333468181154854) (0.17827260068808973,0.98398113795128528) (-0.41019717700021285,-0.91199686182632) (0.42983436941487363,0.90290775545994584) (-0.84742551276429334,0.53091430600067213) (-0.69229290562037504,0.7216166106927544) (-0.99881323674416067,0.048704395126647232) (0.064531051852588783,-0.99791569951915227) (0.94590093565482125,-0.32445557465904801) (0.044561893167860522,-0.99900662544214236) (-0.35200571939607683,-0.93599784909605976) (-0.95491292773145542,0.2968860058193038) (-0.59523621134096194,0.80355077792785368) (0.84985564390941781,-0.52701554485167645) (0.73115234174454102,-0.68221422820216548)
 (1,5.5511151231257827e-17) (0.95568898432541183,-0.29437826896539099) (-0.8154497824139525,0.57882782618066786) (0.97969217204035552,0.20050747627669363) (0.83107395866010347,0.55616191458695174) (-0.99033099363383936,0.1387246302868077) (0.24109454178746947,-0.97050163416672786) (-0.032262049640368329,-0.99947944458753168) (-0.89306637193381122,-0.4499249440973212) (0.38399617884031889,0.92333468181154865) (-0.19137500506271615,0.98151699294369998) (-0.68605130626486233,-0.7275531631243688) (0.5994340285373112,0.80042416594673571) (0.66403669541780508,-0.74769998471218435) (-0.76351146834231498,-0.64579426887342339) (-0.23209308079538404,-0.97269358065472233) (-0.96184511006155993,0.27359456180754793) (-0.50584874362177634,0.86262219341741253) (-0.16949092953562089,-0.98553174723351766) (-0.25274855826002007,0.96753199755743424) (0.81782886413104239,-0.57546150956786635) (0.85019283276824953,0.52647141148356513) (-0.82896485694184163,0.55930069368399005)
 (1,0) (-0.89779922667490974,0.44040498246719817) (0.91998982338578617,-0.39194224685097251) (-0.95860160002467809,0.28475071980615951) (-0.97273948979433156,-0.23190059291572163) (-0.83573261614062355,0.5491365898560655) (-0.99972034904623608,-0.023647911173516389) (-0.93050111621597642,0.36628905623949543) (-0.03226204964036844,-0.99947944458753157) (0.95250532446011538,0.30452193168166142) (-0.17860819129282013,-0.98392027827619555) (-0.29366573290790343,-0.95590817410233631) (0.89648744394953617,0.44306914002311848) (0.88428059283482585,0.46695592204798819) (-0.87451503979279943,-0.48499839708621473) (-0.35163118688341344,0.93613861602380199) (0.74305138779833813,-0.66923436484609899) (-0.41362194472437552,0.91044872828865242) (0.15757157750079087,-0.98750756856031774) (0.28372372429979409,-0.95890606853302041) (0.2118457501741397,0.97730311476693599) (0.75360405805503805,0.65732862685492099) (0.93633886068007133,0.35109761887592683)
 (1,5.5511151231257827e-17) (0.16174783880991495,-0.98683212181217628) (0.058491243266029946,-0.9982879216244156) (-0.51783099628103979,0.85548293921654817) (-0.35407058800855529,0.93521870100382232) (0.31318871829634398,0.94969091115577908) (0.19867333768342876,-0.98006576559623104) (-0.99972034904623608,-0.023647911173516389) (0.24109454178746942,-0.97050163416672774) (-0.90938266310090654,-0.41596054145976913) (0.90967316339227966,-0.41532485575014988) (-0.99866474594595445,0.051659705813156487) (-0.99937781498572398,0.035270141966817048) (-0.59347798878171465,0.80485022012273233) (0.63366626146931981,0.77360653375956834) (-0.70941923617563396,-0.70478673891041699) (0.46078129791043348,-0.88751371566639736) (0.83155759469476664,0.5554385354883592) (0.78207648311286659,0.62318245687905105) (0.32977547852260858,0.94405939101583203) (0.90593936051537849,0.4234074575028034) (0.16394510739290874,-0.98646946316747486) (-0.90866604452798427,0.41752367540280488)
 (1,0) (-0.8145325926075877,0.58011779457275892) (-0.10410994978125626,-0.99456579388019695) (0.22237050572576347,-0.97496223423436734) (0.40194975112335335,-0.91566172660643319) (-0.82601165966976575,-0.56365302987707) (0.31318871829634426,0.94969091115577919) (-0.83573261614062355,0.54913658985606562) (-0.99033099363383947,0.13872463028680782) (0.076500086557996394,0.9970695746820385) (0.88666040624195019,0.46242115436348774) (-0.46978797750524354,0.88277927943033052) (0.84177380406770086,-0.53983040187209985) (-0.80194144952761848,0.5974026376988496) (0.96823932549129388,0.25002521587264837) (0.36993529563097705,-0.92905752084917814) (0.1200596350998443,-0.99276668156203396) (-0.52369941157104749,-0.85190312026669912) (-0.99854601790845599,-0.053905937698603967) (0.56697281456969517,0.82373650370668838) (0.82368118464765061,0.56705317745114858) (-0.034013596454774808,0.99942137022189614) (-0.19262526265235641,-0.9812723924518163)
 (1,0) (0.75506605651836023,0.65564872477097924) (0.90119349488692158,0.43341698717689547) (-0.98464634930066763,0.17456106899554699) (0.98974943055408171,-0.14281479166344316) (0.40194975112335329,-0.91566172660643319) (-0.35407058800855529,0.93521870100382254) (-0.97273948979433145,-0.23190059291572157) (0.83107395866010381,0.55616191458695163) (-0.6412479009432247,-0.76733377974380179) (-0.96594342983315162,0.25875333884255025) (0.39824567028956848,0.91727879409458324) (-0.96472912432432301,0.2632445947791251) (-0.98743383800413476,-0.158032957209644) (0.30600076286238592,-0.95203126688551454) (-0.88245097154899932,0.47040438222047554) (-0.49663255060709055,-0.86796089179034697) (-0.4115933547601085,0.91136760438218345) (0.24524159742294838,-0.9694619945585492) (-0.11197986095234003,0.99371047631646425) (0.099118717064603512,-0.99507561518081067) (0.99931035712523297,-0.03713233284132017) (0.84651766156936648,-0.53236063777399356)
 (1,0) (0.88317625550400469,-0.46904125800820873) (-0.83703796645272888,-0.54714480964062817) (-0.73531166755029354,-0.67772911370576772) (-0.98464634930066763,0.17456106899554702) (0.22237050572576345,-0.97496223423436723) (-0.51783099628103968,0.85548293921654828) (-0.95860160002467798,0.28475071980615951) (0.97969217204035541,0.20050747627669357) (0.92092059039502283,0.3897502613039312) (-0.49142913548215944,-0.87091756487009486) (-0.70773536077038468,0.7064776423321637) (0.7156037198889118,0.69850648964855844) (0.73799882264301753,-0.67480199894303783) (-0.093165022170110856,-0.99565068103428811) (0.99795807606827169,-0.063872360298584563) (0.85255420081404154,0.5226388185681673) (0.98851757367968884,0.15110594470906447) (-0.019910604823174582,0.99980176425908329) (-0.6238052729707686,0.78157979849396264) (-0.3791922209702222,-0.92531792350287356) (-0.98503265415402597,0.17236783415206591) (-0.96509306580882392,0.26190718647590455)
 (1.0000000000000002,0) (-0.70767529923128747,0.70653780568198066) (0.6052742778858895,-0.79601699010116322) (-0.83703796645272899,-0.54714480964062817) (0.90119349488692135,0.43341698717689536) (-0.10410994978125601,-0.99456579388019684) (0.058491243266029877,-0.9982879216244156) (0.91998982338578605,-0.39194224685097251) (-0.81544978241395261,0.57882782618066797) (-0.95996668995746859,0.28011418059802451) (-0.95927699043300052,-0.28246708768599049) (0.97183501054830879,0.23566228436592973) (0.10183721285571594,-0.99480107663682193) (0.99999660208504693,0.0026068790462248914) (-0.96058078768996047,-0.27800098978409282) (-0.72166307674376284,0.69224446813587903) (0.77795777976571712,0.62831655469356806) (0.79859426926944288,-0.60186974761156142) (-0.85305110021150754,0.52182738566305242) (-0.14880142299360682,0.98886709749848511) (0.12360836912664491,0.99233107936910425) (0.57529888696908338,-0.81794326860249489) (-0.76646390413605592,0.64228738400852659)
 (1,0) (-0.93864614376077726,0.34488174321500464) (-0.70767529923128747,0.70653780568198077) (0.8831762555040048,-0.46904125800820867) (0.75506605651836023,0.65564872477097924) (-0.8145325926075877,0.5801177945727588) (0.16174783880991489,-0.98683212181217617) (-0.89779922667490974,0.44040498246719828) (0.95568898432541183,-0.29437826896539104) (0.78344992791348922,-0.62145491425553101) (0.9994024287662453,0.034565667592698107) (0.99497212846896876,-0.10015220202236777) (-0.99990350196213118,0.013891967602371186) (-0.23401597853052872,-0.97223275083304972) (-0.11305734930385493,-0.99358846398717093) (-0.042886079130080787,0.99907996887979278) (-0.91664593645249071,-0.39970017161009008) (0.99648119035561511,-0.083816688478221629) (-0.61055273489979667,0.79197560436315095) (-0.99991636368688908,-0.012933121478867327) (0.21402167348058082,0.97682891198027744) (-0.96630047320952994,0.25741677388048489) (0.49792519530727314,-0.86721998355562202)

