# Created by Octave 5.2.0, Fri Sep 17 14:33:48 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
1.1899046884347186e-13


# name: H
# type: complex matrix
# rows: 33
# columns: 33
 (0.99999999999999989,0) (0.97948242765478188,-0.20152958570764695) (-0.88289751770548408,-0.46956572833789267) (0.76667736704294542,-0.64203256526760122) (-0.94979001790375228,-0.31288803411186883) (0.77948739117105381,-0.62641791721289786) (0.22790411981996606,0.97368357907951142) (0.697928971663621,0.7161669850757999) (-0.48971946753238338,-0.87188006234791193) (0.94758434127963986,0.31950573729063303) (0.040514286305500413,-0.99917895924862032) (0.98825879693099461,0.15278923485803569) (-0.96962013494417154,-0.24461560438951299) (-0.98452555221745253,0.17524108260028909) (-0.93480273638298028,0.35516734654370047) (-0.96457372246855955,0.26381344530396089) (-0.99814306763447314,-0.060913188500058668) (0.018352382781791687,0.99983158084060919) (0.95921407384337443,0.2826806688487894) (0.16206844735463016,0.98677951862209823) (-0.78261207262293253,-0.62250971380761499) (0.88738327679719198,0.46103245011677685) (-0.99921280634989806,-0.039670740179145791) (-0.24745593164728433,0.96889914949522793) (0.20959579338340772,-0.97778811784352371) (0.55696878698454189,0.830533425170215) (-0.86345406981038686,-0.50442746686503948) (0.22816744528340566,0.97362190654937719) (-0.79984692382578015,-0.60020404734259913) (0.52146577382168735,-0.85327219967168144) (0.90884103868897737,0.41714262116779816) (0.89844020803692848,-0.43909588085355783) (-0.91168090779890054,-0.41089891987564792)
 (1,0) (0.70741169264572801,0.70680173818978698) (0.047604824463198692,-0.99886624764671461) (0.64551715801462239,-0.76374576837369368) (-0.86951628489620825,-0.49390427240538703) (-0.5503888075362765,0.83490847434841309) (-0.74818274575488086,0.66349271205845683) (0.72196329438993578,-0.69193135609945455) (-0.77021715138792501,0.63778173359533352) (-0.89482450857719087,0.44641807630245806) (0.37362545379990836,0.9275796571038043) (0.59111413153463854,0.80658792670114354) (-0.47737538905529125,0.87869945824741946) (0.036742473851443469,-0.99932476733806352) (0.65951150445731255,0.7516944695076927) (0.0023759474861336227,0.99999717743278749) (0.99992283863857834,0.012422430074915947) (0.85116812404541198,-0.52489315542214277) (-0.35925962439978121,0.93323765583913709) (0.9935343908152191,-0.11353155626269945) (-0.036168944334929509,-0.99934568967184556) (-0.98127823385037383,0.1925955029887505) (0.37459179306501322,-0.92718983415929246) (-0.99921280634989817,-0.039670740179146069) (-0.94511284676654861,0.32674409998778703) (0.97366309682633501,-0.22799160922838863) (0.69086242011763632,0.72298624915637377) (-0.74713126904426641,-0.66467651291158458) (-0.51517540525526129,-0.85708476933152644) (0.14766145514416279,-0.98903796421811174) (-0.84889312625208591,-0.52856452794522635) (0.24784213854499373,-0.96880043061584342) (-0.32237559437935437,0.94661184027486034)
 (1,-5.5511151231257827e-17) (-0.77084636303470333,0.63702110215923835) (0.42601681458450308,0.90471524453347885) (-0.34827105708312178,0.93739387175199973) (0.4257824280675313,-0.90482557653335438) (-0.6399418749692648,-0.76842331866024305) (0.80831989784765823,0.5887435288336943) (-0.39519910944740272,0.91859548436293736) (-0.83201173646275373,0.55475802868298607) (-0.85387888986803573,0.52047174893334036) (0.475135029058395,-0.87991289578098431) (0.57296491213853873,-0.8195798981539727) (-0.19176701490394898,-0.98144047807028434) (0.37323606922713554,-0.92773640471196162) (-0.40050277471186269,-0.91629554590650386) (0.26118511952361306,0.96528873055652908) (0.93152145054214885,0.36368638574993489) (-0.48460880995387001,-0.87473098797006954) (0.071498826629409373,0.99744068384572004) (-0.99805924822561609,-0.062271478473836239) (0.10782456444052269,-0.99416993683334232) (0.6918653701398283,-0.72202652970737724) (-0.98127823385037383,0.19259550298875078) (0.88738327679719209,0.46103245011677679) (0.90130346489200186,-0.43318825488887769) (0.77830743680782655,-0.62788337596215316) (0.3019736258781977,0.95331627976971745) (-0.89195862431192352,0.45211703409137488) (-0.48926377249662312,0.87213586150460132) (0.80847909462285705,0.58852489629394977) (0.24909534469585792,-0.96847896686032942) (-0.89054079036128009,-0.45490339711053746) (-0.90376442621243758,0.42803021144879816)
 (0.99999999999999989,0) (-0.079837432910696948,0.99680789739359021) (-0.41292786406916016,0.91076373394820798) (-0.80295021202152994,-0.59604610309486883) (0.64909484847209831,0.76070748496842322) (-0.00062029968386606571,-0.99999980761413287) (-0.12249275529078404,0.99246940753923096) (0.81977574622171046,-0.57268466533218587) (-0.21615335511924127,-0.9763594251456249) (-0.32090931471375328,0.94710992589558951) (-0.37997908402904823,-0.92499507874390619) (-0.63491974023389697,0.77257810185205245) (-0.24677396916169395,0.96907306646309344) (0.89497676527964531,0.446112754367752) (-0.76211122222582417,-0.64744612513896482) (-0.68630228470265964,-0.72731641945710845) (0.77131108195207965,-0.63645833709514099) (-0.81129433662296468,-0.58463792159207784) (0.67845968706362925,-0.73463763382331737) (-0.38372578846340072,0.92344708525618346) (0.49351183914283281,0.8697390784746073) (0.10782456444052292,-0.9941699368333422) (-0.03616894433492962,-0.99934568967184545) (-0.78261207262293242,-0.62250971380761499) (-0.69036981996157298,0.72345664119297759) (0.023449076842803701,0.99972503259407297) (0.99988792731665987,0.01497106563989388) (-0.68698491872582035,0.72667167375870578) (0.99633878323693548,0.085492859455886042) (-0.63603711596323098,-0.77165846533111793) (0.99772473042612386,-0.067419302103463488) (-0.59168318608942061,-0.80617058201045277) (0.85249866655138629,0.52272939799489837)
 (1.0000000000000002,0) (-0.79099836767254728,-0.61181825923991928) (-0.97929342843314249,-0.20244599533619231) (0.87178687372199981,0.48988534046858545) (0.15426409437660105,-0.98802964995295817) (-0.84276011237319215,0.53828932089790182) (-0.17485459780329224,-0.98459426650120652) (-0.85871237171884263,0.5124578642747124) (-0.60955553463832024,-0.79274336969273396) (0.95666451639341843,-0.2911923815516918) (0.87369844208286207,-0.48646791497690689) (-0.92812648981333479,-0.3722649847981635) (0.617236956553748,0.78677731249970939) (0.99616275052387115,-0.087520137503975637) (0.20670937153140445,0.97840238947024794) (0.80657563774183239,-0.59113089971795163) (-0.56761496530900046,-0.82329414619397168) (0.14028418607336632,-0.99011128017901773) (0.63433222910214326,0.7730605559219188) (-0.21695081000215055,0.97618253725387316) (-0.38372578846340066,0.92344708525618358) (-0.99805924822561587,-0.062271478473836434) (0.9935343908152191,-0.11353155626269952) (0.16206844735463002,0.98677951862209823) (0.037565475090621886,0.99929416844151275) (0.9811995752961552,0.19299583787906827) (-0.31647434314888356,-0.94860107006501015) (-0.99624356190880947,-0.086595411860257265) (-0.31428638914485363,0.94932821805647893) (-0.51118679804198652,-0.85946963733897053) (0.69121984761163169,-0.72264453382541616) (0.36527378818058642,0.9309001341004326) (-0.99973377575271827,-0.023073309671844289)
 (1,0) (0.3759900367297212,0.9266237058698551) (-0.96599487382540961,0.25856121855961178) (0.72917859348893721,-0.68432344603812567) (0.52715327515198496,-0.84977021864533253) (-0.68233473961641433,-0.73103987792226466) (0.97664031653776673,-0.2148806462039142) (-0.95244644696276382,0.30470603155830023) (-0.056762789300610794,-0.99838769310865128) (-0.97883120152881586,0.20466919385597498) (0.56730602808813624,0.8235070555222116) (-0.71046130816872477,0.70373626423198121) (0.90273618955762225,-0.4301945746554513) (-0.8891856827876008,0.45754652389188555) (-0.22922932180048203,-0.97337244568915693) (0.85102030861067968,0.52513277781165291) (-0.99888153527591894,-0.047282961887159358) (0.72894667654905587,0.68457048048253333) (0.79978727874534128,-0.60028352364288928) (0.63433222910214326,0.77306055592191891) (0.67845968706362925,-0.73463763382331759) (0.071498826629409151,0.99744068384572004) (-0.35925962439978115,0.93323765583913709) (0.95921407384337443,0.28268066884878962) (-0.94096307410274083,0.33850922169878916) (-0.99692940224421966,0.078305599678330007) (0.91201364943986729,0.41015985083303208) (0.27317882500112844,-0.96196326830654166) (0.9845429607290318,0.17514325130850067) (-0.97490185509759208,-0.22263506670620037) (-0.9918370679367341,0.12751168835312174) (-0.55395138183302173,-0.8325490175150575) (-0.69002865038699601,-0.72378205396728412)
 (1.0000000000000002,0) (0.92139593552350485,0.38862517931905194) (0.86744592642881735,-0.49753147108705825) (-0.42091966806270087,-0.90709791810916729) (-0.997247154122338,-0.07414926563964136) (-0.90728390756357225,-0.42051862155697284) (0.92661478870266467,0.37601201225162473) (-0.90722257355536073,-0.42065092657878334) (-0.57660790656334837,-0.81702100468019401) (-0.92352994964774426,0.3835263121399039) (-0.96357848208385766,-0.26742570718793846) (-0.99584168936771433,0.091100657062708729) (-0.73264177816307174,-0.68061444657754111) (0.86286384131735139,0.50543643650518999) (0.98630043075374263,0.16495896548833455) (-0.96731007553261605,0.2535965649867607) (-0.90199003713057713,-0.43175684466743536) (0.57999990870353746,-0.81461653917894972) (0.72894667654905609,0.68457048048253344) (0.14028418607336623,-0.99011128017901795) (-0.81129433662296491,-0.58463792159207784) (-0.48460880995386985,-0.87473098797006976) (0.85116812404541209,-0.52489315542214299) (0.018352382781791535,0.99983158084060941) (0.63046366079042304,0.77621876582748184) (-0.92165947813888816,-0.38799975045965279) (-0.80438109241585753,0.59411367444612151) (0.97248092257301932,0.23298252130048208) (0.40789655826619325,0.9130281472959062) (0.64828465499217991,0.76139806021664569) (0.15237460992018503,0.98832281075146333) (0.63925911105857725,0.768991410178683) (0.9819852204446613,-0.18895773820685766)
 (1,-5.5511151231257827e-17) (-0.17143787261742544,-0.9851949329104418) (-0.95307063045230167,0.30274803611130319) (0.30095238399457913,-0.95363916790785097) (0.98420083311389672,-0.17705569772788998) (0.81478340978288122,-0.57976546563466569) (-0.54111895523948683,-0.84094606026815177) (-0.44823779496937732,0.89391435784474826) (-0.90380970591115706,0.42793459254982746) (0.99884921489845535,0.04796087881532457) (0.46903108596267984,0.8831816576450553) (-0.97775990171977478,-0.20972738159080584) (-0.76212478370499226,0.64743016153297761) (-0.91348512404262405,0.40687212752022084) (-0.56415551834256683,0.82566854798013711) (-0.90862265415489363,0.4176180939046033) (-0.80415708862686863,-0.59441683759055541) (-0.90199003713057679,-0.43175684466743525) (-0.99888153527591894,-0.047282961887159303) (-0.56761496530900035,-0.82329414619397157) (0.77131108195207954,-0.6364583370951411) (0.93152145054214874,0.36368638574993495) (0.99992283863857823,0.012422430074915836) (-0.99814306763447291,-0.060913188500058724) (0.99992463957298505,0.012276610885524286) (0.87284899805859684,-0.48799039599986255) (0.66742470319750591,0.74467728954341039) (0.98460107035146516,0.17481628145784367) (0.85890595012843551,0.51213335063630483) (0.95469553057811263,-0.29758434752885626) (-0.99652022927390305,0.083351260625660839) (-0.96085532459632039,-0.27705061847052381) (0.7630119982292618,0.64638432109557609)
 (1,0) (-0.87489830553498893,-0.48430667450697462) (0.97983882366115704,-0.19978958843322858) (0.36540666253559817,0.93084798489044041) (0.94578904652010387,-0.32478158735154883) (0.19160067093017635,0.98147296595428712) (0.58463575051371874,-0.8112959011490567) (0.18433644614118275,-0.98286320239595837) (0.96475554201211522,0.26314776107143251) (-0.62301639780862239,-0.78220877523942878) (-0.80728633048364751,-0.5901599618868143) (0.9915305192182311,0.12987389829686299) (-0.27267771528022716,0.96210543267853654) (0.92983951635468987,0.36796531606290717) (-0.94657424860798589,-0.32248595608526176) (-0.77711292053870151,-0.62936119099592391) (-0.90862265415489363,0.41761809390460347) (-0.96731007553261561,0.2535965649867607) (0.85102030861067979,0.5251327778116528) (0.80657563774183227,-0.59113089971795163) (-0.68630228470265964,-0.72731641945710845) (0.26118511952361301,0.96528873055652897) (0.0023759474861337337,0.99999717743278727) (-0.96457372246855955,0.26381344530396078) (0.71829987294257702,0.69573363619324613) (-0.65054014446122077,-0.75947186942267497) (-0.57259238908332288,0.81984020148066161) (-0.72552672890075554,-0.68819398838595569) (0.91523949871413834,-0.40291023813436599) (-0.23506202245075969,-0.97198037305356988) (0.54233755864303723,0.84016068253942322) (-0.51644239710869044,-0.85632193155882042) (-0.70622858443133241,0.70798388861055028)
 (1.0000000000000002,0) (-0.41163714160358594,0.91134782802859082) (-0.92284429262389445,-0.38517322281215838) (-0.9397291864295767,0.34191966333102952) (0.88748671153902248,0.46083330700118758) (0.9102535614195465,-0.41405126967929035) (0.82418311819032397,-0.56632339496975959) (-0.26723476328647,-0.96363145511716486) (0.094293323592549716,0.99554445863852359) (0.99896850579790764,-0.0454084179849326) (0.98547693793412283,-0.16980931894329324) (0.39165073649504273,0.92011396066079276) (-0.99353176618376027,-0.11355452251573886) (-0.29065803845561405,-0.95682699830279372) (0.86385905495698456,-0.50373359344878399) (-0.94657424860798611,-0.32248595608526187) (-0.56415551834256694,0.82566854798013756) (0.98630043075374252,0.1649589654883345) (-0.22922932180048206,-0.97337244568915704) (0.20670937153140451,0.97840238947024794) (-0.76211122222582439,-0.64744612513896493) (-0.40050277471186257,-0.91629554590650397) (0.65951150445731266,0.75169446950769281) (-0.93480273638298061,0.35516734654370058) (0.35245714461242594,-0.93582795492101789) (-0.9994734670247819,0.032446705741288273) (0.32388610422495512,-0.94609607941793172) (-0.90162284862264441,-0.43252310787007459) (-0.08715180095562898,0.99619504294600381) (-0.29535971454309973,0.95538612038537507) (-0.55607739405359202,-0.83113051431322504) (0.89737346590587908,0.44127186935954887) (0.1202862644431304,0.99273924803359992)
