# Created by Octave 5.1.0, Fri Sep 17 15:04:25 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.2520607516757841e-14


# name: H
# type: complex matrix
# rows: 16
# columns: 16
 (1,5.5511151231257827e-17) (-0.19948063521976755,0.97990176863414136) (0.88039607809835985,0.47423912287898268) (-0.96247665308795072,-0.27136450073769225) (0.71933320832845671,-0.69466519662056558) (0.37945089891474781,0.92521187590345466) (0.96273554899817682,-0.27044456492076047) (-0.99064008322856001,0.13649991025971969) (0.99710699554902615,-0.07601078493999891) (0.11509234624631121,-0.99335479655333592) (-0.70829497725921919,0.7059165851496636) (-0.85322143467161138,0.52154883128707885) (-0.87281205752545499,-0.4880564641905501) (-0.45705620634615218,-0.88943781358814722) (0.98050705443219743,-0.19648388282171059) (-0.99064008322856023,0.13649991025972008)
 (0.99999999999999989,0) (-0.33576917629651659,-0.94194429784842293) (-0.56278355037565275,0.82660430402132246) (0.71628711994310756,-0.69780567624777023) (0.99917166567043147,0.040693765141300769) (0.87922026933954311,-0.47641548881464862) (0.3794508989147477,0.92521187590345466) (-0.68433549087406575,0.72916728939945663) (-0.033271424782959608,-0.99944635288389116) (-0.43277821527652655,0.90150042505928085) (0.79802294574622101,-0.60262706383178966) (0.77775540599859194,0.62856704371130134) (-0.61628228997980528,-0.78752532597831215) (-0.98553136695898758,0.1694931406870174) (-0.90818208185000848,0.41857532919008034) (-0.99097470921811959,-0.13404896750837952)
 (1,5.5511151231257827e-17) (-0.57598025814954679,-0.81746360299525367) (-0.21518499250115719,-0.97657330446939672) (0.80759390470885517,0.58973899741928615) (-0.28880685794868066,0.95738738178535165) (0.99917166567043159,0.040693765141300742) (0.71933320832845671,-0.69466519662056558) (-0.93342129680519981,-0.35878222178711555) (-0.83318119760362142,-0.55300008314628246) (0.97611567242056441,0.21725145351630987) (-0.83318945342000594,0.55298764426492564) (-0.85499470052157023,-0.5186367342177286) (-0.28880685794868055,0.95738738178535132) (-0.99899777131017931,0.044759947690932056) (0.38839557337381658,0.92149274472652498) (0.93195336170651721,-0.36257817309364004)
 (1,5.5511151231257827e-17) (0.10810457609496396,0.99413952774614489) (-0.017223333573428201,0.99985166738902764) (0.94873358708914202,0.31607685889506276) (0.80759390470885528,0.58973899741928615) (0.71628711994310756,-0.69780567624777023) (-0.9624766530879505,-0.27136450073769247) (0.47388538680578218,-0.88058653190469238) (-0.64781917286049828,0.76179414494621844) (-0.97432934865095255,0.22512734253619809) (-0.30413828879099508,-0.95262789235424206) (-0.44324086655040651,-0.8964025514352606) (-0.61628228997980572,0.78752532597831204) (-0.15249386384670602,-0.98830441741859187) (0.23005786055425342,-0.97317695245890401) (-0.16665861785536196,0.98601465764690355)
 (0.99999999999999989,0) (0.79802294574622101,-0.60262706383178954) (-0.99987578185551451,0.015761372364840848) (-0.01722333357342816,0.99985166738902731) (-0.21518499250115714,-0.9765733044693965) (-0.56278355037565275,0.82660430402132234) (0.88039607809835951,0.47423912287898251) (0.5419926542682687,0.8403832237254838) (-0.28880685794868061,0.95738738178535132) (0.79802294574622124,-0.60262706383178921) (0.2736812438749523,-0.96182044933088151) (-0.65996454606255261,-0.75129674426317639) (0.77005422102065657,0.63797844531635184) (-0.94906822521179945,0.3150706331813945) (-0.40287131787749975,-0.91525663135081736) (-0.96639148334839431,-0.25707489358490421)
 (0.99999999999999989,5.5511151231257827e-17) (-0.67380276002600004,-0.73891125352192621) (0.7980229457462209,-0.60262706383178943) (0.1081045760949641,0.99413952774614478) (-0.57598025814954668,-0.81746360299525356) (-0.33576917629651665,-0.94194429784842271) (-0.19948063521976744,0.97990176863414113) (-0.90214890492526156,0.43142479453799404) (-0.64781917286049784,0.76179414494621855) (-0.91320500635827229,-0.40750044952390807) (0.97250242663877962,-0.23289274394382675) (-0.97432934865095244,0.22512734253619854) (0.33137001655849807,-0.94350088082948824) (0.9267126689808729,-0.37577071353465941) (0.6246209115895488,0.78092811244380278) (0.46120171687793082,0.88729531518477445)


# name: N
# type: scalar
16


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 15
 (2.2204460492503131e-16,-1.1102230246251565e-16) (-3.3306690738754696e-16,1.2490009027033011e-16) (1.6653345369377348e-16,0) (0,2.2204460492503131e-16) (-5.5511151231257827e-17,-6.6613381477509392e-16) (0,2.2204460492503131e-16) (2.2204460492503131e-16,-7.2858385991025898e-16) (7.7715611723760958e-16,-1.1102230246251565e-16) (-6.6613381477509392e-16,3.3306690738754696e-16) (5.5511151231257827e-16,4.4408920985006262e-16) (-4.9960036108132044e-16,5.5511151231257827e-16) (5.5511151231257827e-16,-5.5511151231257827e-17) (-4.4408920985006262e-16,-1.1102230246251565e-16) (0,-2.7755575615628914e-16) (-5.5511151231257827e-17,3.3306690738754696e-16)


# name: is_convergent
# type: scalar
7.2630785211111247e-15


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 16
